Katsesõna	Tähendus	Kasutus	Põhjendus	mõttekäik
asjaline	asjamees, (tähtis) tegelane see, kes asju ajab või korraldab	informaalsetes	"Sõna ""asjaline"" tähenduses ""asjamees, tähtis tegelane"" on pigem rahvapärase ja kõnekeelse varjundiga väljend. Selles tähenduses kasutatakse seda tüüpiliselt vabamates suhtlusolukordades, ilukirjanduses tegelaste kõnes või muudes informaalsetes tekstides. Ametlikes või akadeemilistes tekstides eelistatakse selle asemel neutraalsemaid väljendeid nagu ""spetsialist"", ""asjatundja"" või ""ametiisik""."	"Pean otsustama, kas sõna 'asjaline' tähenduses 'asjamees, (tähtis) tegelane, see, kes asju ajab või korraldab' kasutatakse pigem informaalsetes, neutraalsetes/formaalsetes tekstides või ei ole selget erinevust kasutuses.  Sõna 'asjaline' selles tähenduses on veidi vanaaegse või rahvapärase kõlaga. See ei ole väga tavaline sõna igapäevases neutraalses keelekasutuses. Kuid ma ei saa ka kindlalt öelda, et seda kasutatakse ainult informaalsetes tekstides.  Sõna 'asjaline' võib esineda: - ilukirjanduses (eriti vanemas kirjanduses) - rahvapärasemas kõnekeeles - vahel ka ametlikes tekstides, näiteks seadustes või ametlikes dokumentides, kuid seal pigem tähenduses 'asjaga seotud isik'  Kuna küsitud tähendus on 'asjamees, (tähtis) tegelane', siis see viitab pigem piltlikule, informaalsemale kasutusele, mitte ametlikus-juriidilises tähenduses kasutamisele.  Arvan, et sõna 'asjaline' selles tähenduses kaldub informaalsema kasutuse poole, kuna: 1. Sellel on teatud rahvakeelne varjund 2. Ametlikumas kontekstis kasutatakse tavaliselt neutraalsemaid sõnu nagu 'spetsialist', 'ekspert', 'tegelev isik' jne. 3. Tähendusvarjund 'tähtis tegelane' viitab pigem kõnekeelisusele  Seega arvan, et seda võib pidada pigem informaalseks, kuigi see võib esineda ka neutraalsetes tekstides.  Samas ma ei ole täiesti kindel, sest mul ei ole piisavalt konkreetseid näiteid selle sõna kasutuse kohta erinevates registrites. Seega oleks mõistlik vastata ""ei kohaldu"", kuid proovin siiski teha informeeritud otsuse.  Kuna antud tähendus ('asjamees, (tähtis) tegelane, see, kes asju ajab või korraldab') kaldub olema pigem rahvapärane, mitteametlik väljendus, siis kaldun vastama, et see on pigem informaalsetes tekstides kasutatav."
asjalugu	asjade seis või käik, olukord teatud hetkel	neutraalsetes/formaalsetes	"Sõna ""asjalugu"" tähenduses ""asjade seis või käik, olukord teatud hetkel"" on eesti keeles neutraalse registriga sõna, mis sobib nii formaalsesse kui ka ametlikku keelekasutusse. Seda võib kohata ilukirjanduses, ajakirjanduses, ametlikes dokumentides ja muudes neutraalse või formaalse registriga tekstides. Sõnal puuduvad informaalsele keelekasutusele omased tunnetuslikud varjundid, slängile viitavad jooned või kõnekeelsuse märgid."	"Pean otsustama, kas sõna ""asjalugu"" tähenduses ""asjade seis või käik, olukord teatud hetkel"" on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides, või ei saa selget eristust teha.  Esmalt püüan meenutada oma teadmisi selle sõna kasutuse kohta erinevates kontekstides.  ""Asjalugu"" tundub olevat pigem neutraalne sõna, mida kasutatakse, kui räägitakse mingi olukorra või asjade seisu selgitamisest. See võiks olla kasutusel näiteks ajakirjandustekstides, ametlikes dokumentides, aga ka ilukirjanduses või kõnekeeles.  Näited, kuidas seda võidakse kasutada: - ""Selgitasin talle kogu asjalugu algusest peale."" - ""Asjalugu on keerulisem, kui esmapilgul paistab."" - ""Ajalehes ilmus pikk artikkel, mis kirjeldas kogu asjalugu detailselt.""  Sõna tundub olevat piisavalt neutraalne, et sobida nii formaalsesse kui ka veidi informaalsemasse keelekasutusse. See pole eriti argikõneline ega slängisõna, aga ka mitte väga ametlik või kõrgkeelne väljend.  Kuna küsimus keskendub selle sõna kasutusele ja registrile, siis püüan teha otsuse selle põhjal, kuidas ma seda sõna eestlaste keelekasutuses olen kohanud.  ""Asjalugu"" on minu hinnangul neutraalne sõna, mis võib esineda nii formaalsetes tekstides (näiteks ajakirjanduses, teadus- või ametlikes tekstides) kui ka igapäevasemas kõnepruugis. Sel pole tugevat informaalset varjundit ega ka erilist formaalset kõla.  Seega vastaksin: Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna ""asjalugu"" tähenduses ""asjade seis või käik"" on eesti keeles neutraalse registriga, sobides nii ametlikesse kui ka ilukirjanduslikesse kontekstidesse. See ei ole spetsiifiliselt argikõnele omane väljend."
asjamees	(tähtis) ametimees, (tähtsalt) milleski osalev inimene	informaalsetes	"""Asjamees"" on kõnekeelne väljend, mida kasutatakse sageli vabamas suhtluskontekstis, blogides, sotsiaalmeedia postitustes ja foorumites. Sellel sõnal on tihti veidi familiaarne või isegi veidi ironiseeriv alatoon. Ametlikes dokumentides ja formaalsetes tekstides kasutatakse selle asemel täpsemaid ametinimetusi või neutraalsemaid väljendeid nagu ""spetsialist"", ""ametnik"" või konkreetne ametinimetus."	"Pean analüüsima sõna ""asjamees"" kasutuskonteksti, et otsustada, kas see sõna on pigem informaalne, neutraalne/formaalne või kui selget erinevust ei ole, siis vastata ""ei kohaldu"".  ""Asjamees"" tähenduses ""(tähtis) ametimees, (tähtsalt) milleski osalev inimene"" tundub mulle olevat pigem informaalne sõna. See ei ole neutraalne ametinimetus, vaid pigem piltlik või kõnekeelne väljend. Minu teadmiste põhjal kasutatakse seda tihti kõnekeeles või informaalsetes tekstides, võib-olla isegi veidi iroonilise tooniga.  Mõned tähelepanekud: 1. Ametlik keelepruuk kasutaks ilmselt täpsemaid ametinimetusi või neutraalsemaid termineid 2. ""Asjamees"" kõlab familiaarsena või kõnekeelsena 3. Seda võidakse kasutada, kui viidatakse kellelegi, kes peab end tähtsaks või osaleb millegis aktiivselt, kuid tihti kerge iroonilise alatooniga  Seega mu arvamus on, et sõna ""asjamees"" antud tähenduses on kasutuselt pigem informaalne ning seda leiab tõenäolisemalt blogidest, foorumitest, sotsiaalmeediast, kõnekeelsest suhtlusest ja teistest informaalsetest tekstidest. Formaalsetes dokumentides, ametlikes kirjades, akadeemilistes tekstides kasutatakse tõenäoliselt täpsemaid ametinimetusi või neutraalsemaid sõnu.  Seega vastus oleks: Kasutus: informaalsetes Põhjendus: Sõna ""asjamees"" on kõnekeelne, mitteametlik väljend, mida kasutatakse pigem vabamas õhkkonnas ja informaalsetes tekstides. Formaalsetes tekstides eelistatakse täpsemaid ametinimetusi."
augutäide	see, mis või kes mingit lünka, tühikut täidab	informaalsetes	"Sõna 'augutäide' on tõenäoliselt pigem kõnekeelne või informaalne väljend, mida kasutatakse peamiselt argikontekstis. Kui seda kasutatakse inimeste kohta (nt ""Ta on lihtsalt augutäide selles meeskonnas""), kannab see sageli pisut halvustavat varjundit. Formaalsetes ja neutraalsetes tekstides eelistatakse tavaliselt täpsemaid või neutraalsemaid väljendeid nagu ""asendaja"", ""lünga täitja"" või ""puuduva elemendi kompensatsioon""."	"Pean otsustama, kas sõnal 'augutäide' tähenduses 'see, mis või kes mingit lünka, tühikut täidab' peaks olema registrimärgend, mis viitab selle kasutusstiilidele - kas seda kasutatakse informaalsetes, neutraalsetes/formaalsetes tekstides, või pole võimalik selget eristust teha.  Analüüsime sõna 'augutäide': - See on liitsõna, mis koosneb sõnadest 'auk' (genitiivis 'augu') ja 'täide' - Tähenduselt on see 'miski, mis täidab auku või lünka' - Tähenduslik aspekt on veidi metafoorne, kui seda kasutatakse inimeste või olukordade kohta, mitte otseselt füüsiliste aukude täitmise kontekstis  Oma teadmiste põhjal (ilma välisotsingu ja välisandmebaasideta):  1. Sõna 'augutäide' pole eriti sage eesti kirjakeele sõna.  2. Pigem on see kõnekeelne või informaalne moodustis. 3. Kui seda kasutatakse inimeste kohta (nt ""Ta on lihtsalt augutäide selles meeskonnas""), siis see kõlab veidi halvustava või informaalse väljendina. 4. Formaalsetes tekstides (ametlikud dokumendid, teadusartiklid jne) tõenäoliselt eelistatakse neutraalsemaid väljendeid nagu ""asendaja"", ""lünga täitja"", ""puuduva elemendi asendus"" vms.  Kuna mu teadmiste baasis pole palju konkreetseid näiteid selle sõna kasutuse kohta erinevates registrites, siis pean otsuse tegema piiratud info põhjal.   Arvestades sõna moodustusviisi, tähendust ja potentsiaalset kasutuskonteksti, kalduks väitma, et seda kasutatakse pigem informaalsetes tekstides. See sõna tundub olevat pisut kõnekeelne ja pole tõenäoliselt esimene valik formaalses või neutraalses kirjakeeles.  Siiski, kuna mul pole konkreetseid näiteid selle sõna kasutuse kohta eri registrites, tuleb oma otsuses olla ettevaatlik.  Lõplik hinnang:"
autolammutus	töökoda, kus lammutatakse autosid ja kaubeldakse nende töökõlblike osadega	neutraalsetes/formaalsetes	"Sõna ""autolammutus"" on laialdaselt kasutusel neutraalse terminina, millega tähistatakse ettevõtteid ja teenuseid, kus tegeletakse autode lammutamisega. Seda mõistet kasutatakse nii ametlikes dokumentides, ettevõtete nimedes, äriregistris kui ka tavakasutuses. See ei ole slängisõna ega sisalda halvustavat varjundit, samuti pole see spetsiifiline erialatermin, vaid üldtuntud neutraalne liitsõna, mis on moodustatud eesti keele tavapäraste sõnamoodustusreeglite järgi."	"Pean hindama, kas sõna ""autolammutus"" tähenduses ""töökoda, kus lammutatakse autosid ja kaubeldakse nende töökõlblike osadega"" on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  ""Autolammutus"" on liitsõna, mis koosneb sõnadest ""auto"" ja ""lammutus"". See on päris tavapärane eestikeelne sõnamoodustus.  Analüüsin sõna kasutust oma teadmiste põhjal:  1. ""Autolammutus"" on tehniline termin, mis tähistab kohta või ettevõtet, kus tehakse kindlat tegevust. See on võrdlemisi neutraalne kirjeldus.  2. Seda sõna kasutatakse tõenäoliselt:    - Ettevõtete nimedes ja kirjeldustes (nt ""Pärnu Autolammutus OÜ"")    - Internetiportaalides, kus otsitakse autoosi    - Ajalehekuulutustes    - Ametlikes dokumentides (tegevuslubades, äriregistris jne)     3. Võib-olla on olemas ka formaalsem või ametlikum nimetus nagu ""kasutatud autode osade edasimüük"" vms, kuid ""autolammutus"" tundub olevat laialt levinud termin, mida kasutatakse nii tavakõnes kui ka ametlikes kontekstides.  4. Võrreldes võimalike slängisõnadega nagu ""autolaip"" vms, on ""autolammutus"" ametlikum ja neutraalsem.  Ma ei näe, et ""autolammutus"" oleks eriti informaalne sõna - see ei ole slängisõna ega argikeel. Teisalt ei ole see ka spetsiifiline oskussõna, mis oleks kasutusel ainult väga formaalses kontekstis.  Järeldus: ""Autolammutus"" tundub olevat neutraalse registriga sõna, mida kasutatakse nii tavapärases suhtluses kui ka ametlikus kontekstis."
baarman	baaris hrl baarileti taga külastajaid teenindav kelner inimene, kelle töö on baaris leti taga külastajaid teenindada	informaalsetes	"Sõna ""baarman"" on laensõna inglise keelest (barman) ning eesti keeles kasutatakse seda pigem kõnekeeles ja informaalsetes kontekstides. Formaalsemas keelekasutuses või ametlikes tekstides eelistatakse tavaliselt neutraalsemaid vasteid nagu ""baarmen"" või ""baari teenindaja"". Sõna esineb sagedamini blogides, foorumites ja kõnekeelses vestluses, mitte niivõrd ametlikus kirjakeeles."	"Pean otsustama, kas sõna ""baarman"" tähenduses ""baaris hrl baarileti taga külastajaid teenindav kelner inimene, kelle töö on baaris leti taga külastajaid teenindada"" kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Minu teadmiste kohaselt on sõna ""baarman"" laensõna inglise keelest (barman), millel on eesti keeles olemas ka neutraalsem/formaalsem vaste - ""baarmen"". Sõna ""baarman"" võib olla pigem kõnekeelne variant.  Oma treeningandmete põhjal võin öelda, et: - ""Baarman"" on sõna, mida kasutatakse pigem informaalsetes kontekstides - vestlustes, blogipostitustes, foorumites ja sotsiaalmeedia tekstides - Ametlikumates tekstides (nagu tööpakkumised, formaalsed kirjeldused vms) võidakse eelistada sõnu nagu ""baarmen"" või ""baari teenindaja"" - ""Baarman"" on kõnekeelne variant ingliskeelsest sõnast ""barman"" ja kannab seega teatavat informaalset varjundit  Seega, sõna ""baarman"" kasutatakse pigem informaalsetes tekstides.  Põhjendus: ""Baarman"" on laensõna inglise keelest, millel on eesti keeles olemas neutraalsem vaste. Kõnekeeles ja informaalsetes tekstides (blogid, foorumid, sotsiaalmeedia) kasutatakse vormi ""baarman"" sagedamini kui ametlikes tekstides või formaalsetes kontekstides."
banaanivabariik	väike, hrl ühele (kitsale) valdkonnale keskendunud maa, mis on seetõttu majanduslikult ja poliitiliselt ebakindel	informaalsetes	"""Banaanivabariik"" on halvustava konnotatsiooniga sõna, mis sisaldab irooniat ja kriitilist hoiakut. Seda kasutatakse enamasti publicistikas, sotsiaalmeedia aruteludes, kommentaariumides ja poliitilistes debattides, kui soovitakse väljendada kriitikat riigi majanduslikult või poliitiliselt ebakindla olukorra suhtes. Akadeemilistes ja ametlikes dokumentides eelistatakse neutraalsemaid väljendeid. Sõna kõnekeelne ja hinnanguline iseloom viitab selgelt informaalsele kasutusregistrile."	"Ma pean otsustama, kas sõna ""banaanivabariik"" tähenduses ""väike, hrl ühele (kitsale) valdkonnale keskendunud maa, mis on seetõttu majanduslikult ja poliitiliselt ebakindel"" on pigem informaalsetes või neutraalsetes/formaalsetes tekstides kasutatav.  Analüüsime sõna ""banaanivabariik"":  1. Sõna päritolu ja kujunemine: ""Banaanivabariik"" on tõenäoliselt tõlkelaen ingliskeelsest väljendist ""banana republic"", mis algselt viitas Ladina-Ameerika ja Kariibi mere riikidele, mis olid majanduslikult sõltuvad banaanide ekspordist ning kus valitses poliitiline ebastabiilsus. Sellest on kujunenud laiem tähendus väikeste, ebakindla majanduse ja poliitilise olukorraga riikide kohta.  2. Sõna konnotatsioon: ""Banaanivabariik"" kannab endas teatavat halvustavat või iroonilset varjundit, mis viitab riigi ebastabiilsusele, korruptsioonile või sõltuvusele ühest majandusharust.  3. Kasutuskontekst: Selliseid halvustavaid või iroonilisi poliitilisi termineid kasutatakse sageli: - Ajakirjanduses (eriti arvamuslugudes) - Poliitilistes debattides - Sotsiaalmeedia aruteludes - Informaalsetes vestlustes  4. Formaalsus: Kuna sõnal on halvustav varjund, siis väga formaalsetes akadeemilistes või diplomaatilistes tekstides kasutatakse selliseid termineid pigem ettevaatlikult või üldse mitte, eelistades neutraalsemaid väljendeid. Samas võib seda kohata ka poolformaalsetes kontekstides, näiteks ajakirjanduses.  Arvestades eeltoodut: - Sõna ""banaanivabariik"" on pigem informaalne oma konnotatsiooni ja kasutuse poolest - Seda võib leida nii informaalsetes kontekstides (sotsiaalmeedia, kommentaariumid) kui ka poolformaalsetes kontekstides (ajakirjandus, poliitilised debatid) - Väga formaalsetes või akadeemilistes tekstides kasutatakse seda tõenäoliselt ettevaatlikumalt ja/või tsitaatides  Seega liigitaksin sõna ""banaanivabariik"" pigem informaalseks, kuigi see võib esineda ka poolformaalsetes tekstides, eriti siis kui autor soovib väljendada irooniat või kriitilist suhtumist.  Kasutus: informaalsetes Põhjendus: ""Banaanivabariik"" kannab endas teatavat halvustavat või iroonilisi varjundeid, mistõttu seda kasutatakse pigem informaalsetes kontekstides (nt sotsiaalmeedia, kommentaariumid) või poolformaalsetes tekstides (ajakirjandus, poliitilised debatid), kui soovitakse väljendada kriitilist suhtumist. Formaalsetes ja akadeemilistes tekstides eelistatakse tavaliselt neutraalsemaid termineid."
bolonka	Lõuna-Itaaliast pärit väike valge karvaga koer, üks koeratõuge	neutraalsetes/formaalsetes	"Sõna ""bolonka"" on koeratõu nimetus, mida kasutatakse tavaliselt neutraalselt koeratõu kirjeldamiseks nii tavakõnes kui ka formaalsetes kontekstides nagu koeranäituste kataloogid, lemmikloomade registrid ja loomakliinikute dokumendid. See pole kõnekeelne väljend ega slängisõna, vaid standardne termin, mis tähistab konkreetset koeratõugu."	"Mul tuleb vastata, kas sõna ""bolonka"" kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides või ei saa seda eristust teha.  ""Bolonka"" on koeratõugu tähistav sõna, mis tähistab väikest valge karvaga koera, mis pärineb Lõuna-Itaaliast.  Koeratõugude nimetusi kasutatakse tavaliselt neutraalsetes kontekstides, sest need on lihtsalt teatud koertele viitavad nimetused, mis ei kanna eriti emotsionaalset ega registrilist koormust. Sellised nimetused nagu ""labrador"", ""dalmaatsia koer"", ""taksis"" jne on neutraalsed terminid, mida kasutatakse nii igapäevavestlustes kui ka formaalsetes tekstides (nt loomaarsti dokumentides, koeranäituste kirjeldustes, koerteteemalistes teadusartiklites jne).  Eesti keeles on ""bolonka"" tõenäoliselt neutraalne termin koeratõu kohta, mitte kõnekeelne, slängisõna või väga formaalne termin. Ma ei näe põhjust, miks see sõna peaks olema eriti informaalne või formaalne.  Samas tuleb tunnistada, et mul pole väga palju eestikeelseid tekste, kus just seda konkreetset koeratõugu mainitakse, mistõttu ei saa ma täie kindlusega väita, et sõna ""bolonka"" kasutatakse alati neutraalses kontekstis. Kuid koeratõugude nimetuste üldise kasutuspraktika põhjal eeldan, et see on neutraalne termin.  Seega vastus on:"
bronn	hotellikoha, pileti vm tagamine, eelnevalt kinnipanek seda tõendav dokument	informaalsetes	"Sõna ""bronn"" on kõnekeelne lühendvorm sõnast ""broneering"". Seda kasutatakse pigem informaalsetes suhtlusolukordades nagu sotsiaalmeedia postitused, foorumid, blogid ja igapäevased vestlused. Ametlikes dokumentides, ärikirjades ja formaalsetes tekstides kasutatakse tavaliselt täispikka vormi ""broneering""."	"Ma pean otsustama, kas sõna ""bronn"" (hotellikoha, pileti vm tagamine, eelnevalt kinnipanek, seda tõendav dokument) kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Sõna ""bronn"" on ilmselt lühend või kõnekeelne vorm sõnast ""broneering"".   Analüüsime selle sõna kasutust:  1. ""Bronn"" on kõnekeelne vorm, mis on lühenenud ametlikust sõnast ""broneering"". 2. Ametlikes dokumentides, formaalses kirjavahetuses ja neutraalsetes tekstides kasutatakse tõenäoliselt täispikka vormi ""broneering"". 3. ""Bronn"" on tõenäoliselt levinud informaalsetes suhtluskanalites - sotsiaalmeedia, foorumid, kiirsõnumid, isiklikud vestlused, kus hinnatakse lühidust. 4. Samuti võib see esineda inimeste igapäevases kõnekeeles, nt ""Tegin hotelli bronni"" on lühem kui ""Tegin hotelli broneeringu"".  Kuna tegemist on lühendatud, kõnekeelse vormiga pikemast ametlikust sõnast, siis tõenäoliselt kasutatakse seda pigem informaalsetes kontekstides.  Tõenäoliselt sõna ""bronn"" leiab kasutust rohkem: - sotsiaalmeedia postitustes - foorumites - isiklikes vestlustes - reisiblogides - kommentaariumides - igapäevavestlustes  Ametlikes dokumentides, pressiteadetes, akadeemilistes tekstides jm formaalses kontekstis kasutatakse pigem täisvormi ""broneering"".  Seega vastus on, et sõna ""bronn"" kasutatakse pigem informaalsetes tekstides.  Põhjendus: Sõna ""bronn"" on kõnekeelne lühendvorm sõnast ""broneering"". Formaalses ja neutraalses keelekasutuses eelistatakse täispikka vormi, samas kui lühendvorm on levinud igapäevases kõnekeeles, sotsiaalmeedia postitustes, reisiblogides ja muudes informaalsetes suhtluskontekstides."
bronnima	(kohta, ruumi, pileteid vm) ette tellima või kinni panema, millegi saamist tagama midagi enda jaoks kinni panema, näiteks tuba hotellis, kohti või ruumi restoranis	informaalsetes	"""Bronnima"" on sõna ""broneerima"" kõnekeelne variant, mis on levinud peamiselt suulises kõnes ja informaalsetes kirjalikes tekstides nagu sotsiaalmeedia vestlused, foorumid ja blogid. See on argikeelne sõna, mida ametlikes dokumentides ja formaalses keelekasutuses tavaliselt välditakse, eelistades standardkeelset vastet ""broneerima""."	"Ma pean hindama sõna ""bronnima"" kasutusregistrit eesti keeles. See tähendab kohta või piletite ettetellimist, broneerimist.  ""Bronnima"" on kõnekeelne vorm verbist ""broneerima"", mis on ametlikum. ""Bronnima"" on venepärane tuletis, mis on eesti kõnekeelde juurdunud just selles ettetellimise, kinnipanemise tähenduses.  Minu teadmiste põhjal: - ""Bronnima"" on selgelt kõnekeelne, informaalne vorm. - Ametlikes või formaalsetes tekstides kasutatakse tavaliselt verbi ""broneerima"". - ""Bronnima"" esineb peamiselt suulises kõnes, sotsiaalmeedia postitustes, foorumites, blogides ning muudes informaalsetes keskkondades. - See on slängisõna, mis on levinud eriti nooremate kõnelejate seas.  Näiteks võiks keegi informaalses kontekstis öelda: ""Ma bronnisin meile kohad restoranis"" või ""Kas keegi on juba hotellitoa bronnima pannud?"".  Seega järeldan, et sõna ""bronnima"" kasutatakse pigem informaalsetes tekstides ja see vajaks sõnaraamatus märgendit ""informaalne"" või ""kõnekeelne"".  Vastus: Kasutus: informaalsetes Põhjendus: Sõna ""bronnima"" on kõnekeelne, venepärane vorm verbist ""broneerima"" ning seda kasutatakse peamiselt informaalsetes kontekstides nagu suuline kõne, sotsiaalmeedia, foorumid ja blogid. Formaalses kirjakeeles ja ametlikes tekstides eelistatakse vormi ""broneerima""."
bänner	pikk kitsas kujundatud reklaamtekst (nt veebilehel)	neutraalsetes/formaalsetes	"Sõna ""bänner"" on internetiturunduse ja veebidisaini valdkonna tehniline termin, mida kasutatakse nii erialases kirjanduses, ärilistes kontekstides kui ka tavalistes veebiaruteludes. See esineb nii formaalsetes tehnilistes juhendites, turunduslepingutes kui ka neutraalsetes kasutuskontekstides, olles seega laialt aktsepteeritud termin digivaldkonnas."	"Mul tuleks otsustada, kas sõna ""bänner"" tähenduses ""pikk kitsas kujundatud reklaamtekst (nt veebilehel)"" on kasutusel pigem informaalsetes, neutraalsetes/formaalsetes tekstides või ei saa seda selgelt määratleda.  Analüüsin sõna ""bänner"" kasutuse konteksti ja stiili:  1. Sõna ""bänner"" on ingliskeelse sõna ""banner"" eestindatud variant.  2. Veebilehtedel ja digitaalses turunduses on see üsna tavapärane ja neutraalne termin reklaambännerite kohta.  3. Otsekõnes, blogides ja mitteametlikes tekstides võidakse seda vabalt kasutada, kuid samas kasutatakse sama terminit ka ametlikes kontekstides, nagu veebidisaini juhendites, turunduskirjanduses ja tehnilistes kirjeldustes.  4. Terminoloogiliselt on see väljakujunenud sõna digitaal- ja veebivaldkonnas.  5. Samas pole see võõrsõna veel täielikult kodunenud, millele viitab selgelt inglisepärane kirjapilt (ä-täht + konsonandi geminatsioon ""nn"").  Bänner tundub olevat valdavalt neutraalses registris kasutatav termin, kuigi võib esineda ka informaalsetes tekstides. Samas on see valdkonnaspetsiifiline sõna, mida kasutatakse eelkõige veebidisaini, digiturunduse ja tehnoloogia kontekstis. See on tehniline termin, mida kasutatakse nii formaalsetes juhendites kui ka tavalises kõnepruugis.  Seega minu järeldus on, et sõna ""bänner"" kasutatakse enamasti neutraalsetes/formaalsetes tekstides, kuna see on valdkonnaspetsiifiline tehniline termin, mis on kasutusele võetud eestikeelsesse veebivaldkonna terminoloogiasse. Informaalsete tekstide jaoks pole see sõna piisavalt argikõneline või slängilaadne.  Kasutus: neutraalsetes/formaalsetes Põhjendus: Tegu on veebivaldkonna tehnilise terminiga, mis on kasutusel nii erialases kontekstis kui ka üldisemates aruteludes veebisisu kohta. Kuigi on tegemist laensõnaga, on see eesti digitaalses terminoloogias laialt kasutusel ja selle kasutus ulatub formaalsete tehniliste kirjelduste ja juhendmaterjalideni."
dalmaatslane	mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv	neutraalsetes/formaalsetes	"Sõna ""dalmaatslane"" koeratõu tähenduses on tavaline, üldaktsepteeritud nimetus, mida kasutatakse nii tavapärases kõnepruugis kui ka formaalsetes tekstides (teatmeteosed, koerakasvatuse materjalid, loomaarstiteaduslikud tekstid). See pole slängilik ega kõnekeelne väljend, vaid ametlik koeratõu nimetus eesti keeles."	Ma pean otsustama, kas sõna 'dalmaatslane' tähenduses 'mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv' on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  'Dalmaatslane' on üsna standardne nimetus dalmaatsia koeratõu kohta. See on üldtuntud koeratõu nimetus, mida kasutatakse tavaliselt neutraalses kontekstis, näiteks: - Teaduskirjanduses ja entsüklopeediates - Koerakasvatajate ja loomaarstide materjalides - Koertega seotud uudistes - Koerte näituste ja võistluste kontekstis  Sõna ei sisalda slängilikke või vulgaarseid elemente. See ei ole samuti väga spetsiifiline erialane termin, vaid üldtuntud nimetus, mida võib kohata igapäevases keelekasutuses. Samuti pole see arhailine või väga formaalne termin.  Seega näib, et 'dalmaatslane' tähenduses 'mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv' on kasutusel neutraalsetes/formaalsetes tekstides.  Kontrollime, kas see on õige järeldus.  Nimetus 'dalmaatslane' võib tegelikult viidata kas: 1) Dalmaatsiast (Horvaatia piirkond) pärit inimesele 2) Dalmaatsia koeratõule  Antud definitsioon viitab selgelt koeratõule. Koeratõu nimetus 'dalmaatslane' on eesti keeles neutraalne ja üldaktsepteeritud termin, mida kasutatakse nii tavakõnes kui ka formaalsetes kontekstides, näiteks teaduslikes ja hariduslikel eesmärkidel loodud tekstides.  Minu teadmiste põhjal ei ole 'dalmaatslane' (koera tähenduses) märkimisväärselt seotud informaalse keelekasutusega - see ei ole släng, kõnekeelne väljend ega midagi sellist, mis oleks piiratud ainult informaalsete suhtlussituatsioonidega.  Seega on minu otsus, et sõna 'dalmaatslane' tähenduses 'mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv' kasutatakse pigem neutraalsetes/formaalsetes tekstides.
diil	rahaline, äriga seotud toiming või kokkulepe toiming või seotud toimingute kogum, milles sisaldub vähemalt üks õiguslikku tagajärge kaasa toov tahteavaldus	informaalsetes	"""Diil"" on inglise keelest laenatud sõna, millel on eesti keeles olemas formaalsemad vasted nagu ""tehing"", ""kokkulepe"" või ""leping"". Seda kasutatakse peamiselt kõnekeeles, blogides, foorumites ja muudes vabama keelekasutusega keskkondades. Ametlikes dokumentides ja formaalses kirjakeeles kasutatakse tavaliselt omasõnu."	"Pean otsustama, kas eestikeelne sõna ""diil"" tähenduses ""rahaline, äriga seotud toiming või kokkulepe"" on kasutusel pigem informaalsetes, neutraalsetes/formaalsetes tekstides või ei saa selget eristust teha.  ""Diil"" on ingliskeelse sõna ""deal"" eestindatud variant. Tegemist on laensõnaga, mis on tulnud eesti keelde inglise keelest.  Analüüsin sõna kasutuskonteksti:  1. ""Diil"" on küllaltki uuem laensõna eesti keeles. Tavaliselt uuemad laensõnad ilmuvad esmalt informaalsesse keelekasutusse ja võivad seejärel liikuda neutraalsemasse kasutussesse.  2. Ärivaldkonnas on eesti keeles olemas ka formaalsemad terminid nagu ""tehing"", ""kokkulepe"", ""leping"" jne. ""Diil"" tundub olevat kõnekeelsem vaste nendele sõnadele.  3. Tõenäoliselt leiab seda sõna rohkem informaalsetes kontekstides nagu igapäevane ärisuhtlus, suuline kõne, blogid, sotsiaalmeedia, foorumid jne.  4. Ametlikumates dokumentides, lepingutes või akadeemilises kirjanduses eelistatakse tõenäoliselt neutraalsemat ja formaalsemat terminoloogiat.  Minu kogemus on, et sõna ""diil"" on eesti keeles pigem informaalse registri sõna, mida kasutatakse kõnekeeles ja vabamas keelekasutuses. Formaalsemas kontekstis kasutatakse tõenäoliselt sõnu ""tehing"", ""kokkulepe"" või ""leping"".  Seega on minu järeldus, et ""diil"" on informaalse registri sõna.  Kasutus: informaalsetes Põhjendus: ""Diil"" on inglise keelest laenatud sõna, millel on eesti keeles olemas formaalsemad vasted nagu ""tehing"", ""kokkulepe"" või ""leping"". Seda kasutatakse peamiselt kõnekeeles, blogides, foorumites ja muudes vabama keelekasutusega keskkondades. Ametlikes dokumentides ja formaalses kirjakeeles kasutatakse tavaliselt omasõnu."
