Katsesõna	Tähendus	vastus	põhjendus
pask	(vedel) väljaheide, roe	informaalsetes	"Sõna 'pask' tähenduses '(vedel) väljaheide, roe' on selgelt informaalse registri sõna. See on vulgaarne või madalstiilne väljend, mida kasutatakse peamiselt kõnekeeles ja informaalsetes kontekstides nagu sotsiaalmeedia, foorumid, blogid või kõnekeelses suhtluses. Neutraalsetes või formaalsetes tekstides (nt ametlikud dokumendid, teaduskirjandus, uudised) kasutatakse selle asemel neutraalseid termineid nagu ""väljaheide"", ""roe"" või ""fekaalid"". Sõna ""pask"" kasutamine formaalses kontekstis oleks ebasobiv ja võiks mõjuda lugejale/kuulajale solvavalt või šokeerivalt."
pipardama	"tujude järgi talitama, tujukas olema	 ülearu valiv olema"	informaalsetes	"Sõna ""pipardama"" tähenduses ""tujude järgi talitama, tujukas olema, ülearu valiv olema"" on pigem kõnekeelne väljend, mida kohtab sagedamini informaalsetes kontekstides. See ei ole neutraalne või formaalne keelekasutus, vaid pigem värvikam, ekspressiivne sõna, mida kasutatakse argikeeles, foorumites, sotsiaalmeedia postitustes ja muudes mitteametlikes suhtlusolukordades. Sõna kõlab veidi kujundlikult ja emotsionaalselt laetult, mis on tüüpiline informaalsele keelekasutusele."
pirakas	kogult, mõõtmetelt hästi suur	informaalsetes	Sõna 'pirakas' tähenduses 'kogult, mõõtmetelt hästi suur' on pigem kõnekeelne ja informaalne väljend. See on ekspressiivne sünonüüm neutraalsematele sõnadele nagu 'suur', 'mahukas' või 'ulatuslik'. Sõna kasutatakse tihti emotsionaalse rõhutusena, et väljendada millegi märkimisväärset suurust, ja see esineb sagedamini informaalsetes kontekstides nagu vestlused, blogid, sotsiaalmeedia postitused ja foorumid. Formaalsetes tekstides (nt ametlikud dokumendid, teadusartiklid) eelistatakse tavaliselt neutraalsemaid sünonüüme.
plekk	metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)	neutraalsetes/formaalsetes	Sõna 'plekk' tähenduses 'metallist või metallisulamist ese või detail' on neutraalse registriga sõna, mida kasutatakse nii igapäevases kõnes kui ka formaalsetes kontekstides. See on tehniline termin, mis tähistab konkreetset materjali või sellest valmistatud eset, ning seda kasutatakse nii tavalises kõnekeeles kui ka tehnilisemates tekstides (nt ehituse, tööstuse või käsitöö valdkonnas). Sõnal puuduvad selged slängilised või informaalsed konnotatsioonid, mis piiraksid selle kasutust vaid mitteametlikes olukordades.
rihtima	oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades	informaalsetes	"Sõna ""rihtima"" antud tähenduses (tegevuse või jutu suunamise kohta) on pigem kõnekeelne väljend, mida kohtab sagedamini informaalsetes kontekstides. See on kujundlik kasutus, mis on arenenud sõna algsest tähendusest (millegi füüsiliselt õigesse asendisse seadmine). Sellises ülekantud tähenduses esineb see rohkem vabamas keelekasutuses, näiteks blogides, foorumites, sotsiaalmeedia postitustes ja argivestlustes. Neutraalses või formaalses kirjakeeles kasutatakse sama mõtte väljendamiseks pigem sõnu nagu ""suunama"", ""kohandama"" või ""orienteerima""."
rokk	jahust ja veest segatud loomatoit	neutraalsetes/formaalsetes	Sõna 'rokk' tähenduses 'jahust ja veest segatud loomatoit' on neutraalne oskussõna põllumajanduse ja loomakasvatuse valdkonnas. See on spetsiifiline termin, mida kasutatakse asjalikus kontekstis, kui räägitakse loomade toitmisest. Sõnal puuduvad informaalsed konnotatsioonid, see ei ole slängisõna ega kõnekeelne väljend, vaid pigem neutraalne või isegi formaalne erialatermin, mida võib kohata nii põllumajandusalastes tekstides kui ka tavalistes neutraalsetes kirjeldustes loomapidamise kohta.
sitsima	(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides	neutraalsetes/formaalsetes	"Sõna ""sitsima"" antud tähenduses on neutraalne koerandustermin, mis kirjeldab koera konkreetset käitumist. See ei ole slängisõna ega madalstiilne väljend, vaid pigem kirjeldav termin, mida kasutatakse nii igapäevases kõnes kui ka koerte käitumist kirjeldavates tekstides. Sõna on kasutusel koertekoolituse kontekstis, lemmikloomadega seotud artiklites ja juhendites, mis on sageli neutraalse või formaalse stiiliga. Kuigi sõna võib esineda ka informaalsetes kontekstides, ei ole see piiratud ainult informaalse kasutusega."
sortsutama	"sel viisil kusema	 väikese koguse kaupa korduvalt valama või voolata laskma"	informaalsetes	"Sõna ""sortsutama"" tähenduses ""väikese koguse kaupa korduvalt valama või voolata laskma"" on pigem kõnekeelne, ekspressiivne väljend, mida kasutatakse informaalsetes kontekstides. See on onomatopoeetiline sõna, mis jäljendab vedeliku väikeste koguste kaupa valamise heli. Eriti kui see on seotud kusemisega, on tegemist selgelt informaalse keelekasutusega, mida ametlikes või formaalsetes tekstides välditakse. Sellist sõna võib kohata pigem blogides, foorumites, sotsiaalmeedia postitustes või ilukirjanduses kõnekeelse väljendusena."
ära kukkuma	(nurisünnituse kohta)	neutraalsetes/formaalsetes	"Väljend ""ära kukkuma"" tähenduses ""nurisünnituse kohta"" on meditsiiniline termin, mida kasutatakse pigem neutraalses või formaalses kontekstis, kui räägitakse raseduse katkemisest või nurisünnitusest. See ei ole slängilik ega eriti informaalne väljend, vaid pigem levinud termin, mida kasutatakse nii meditsiinilises kontekstis kui ka tavakõnes, kui räägitakse delikaatsest teemast. Kuigi see on eufemism, on see siiski üsna neutraalne viis raseduse katkemisest rääkimiseks."
diiler	narkootikumide vahendaja või edasimüüja	neutraalsetes/formaalsetes	Sõna 'diiler' tähenduses 'narkootikumide vahendaja või edasimüüja' esineb sageli uudistes, ajakirjanduses ja ametlikes tekstides, kus käsitletakse kuritegevust või narkootikumidega seotud probleeme. See on eesti keeles kinnistunud laensõna, mida kasutatakse neutraalse terminina narkokaubanduse kontekstis. Kuigi sõna võib esineda ka informaalsetes tekstides, on see pigem neutraalne termin, mida kasutatakse ka formaalsetes kontekstides, näiteks politsei pressiteadetes või kohtudokumentides.
frukt	"toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn	 vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom"	informaalsetes	Sõna 'frukt' on laensõna vene keelest (фрукт) ja eesti keeles kasutatakse seda pigem kõnekeelses, informaalses kontekstis. Neutraalses või formaalses keelekasutuses eelistatakse selle asemel sõnu 'puuvili' või 'vili'. 'Frukt' esineb sagedamini suulises kõnes, internetikommentaarides, foorumites ja muudes informaalsetes suhtluskeskkondades, sageli ka humoristliku või iroonilise varjundiga. Formaalses või neutraalses kirjakeeles ei ole see sõna levinud.
frukt	(eriline, iseäralik, konfliktne) tüüp, tegelane	informaalsetes	Sõna 'frukt' tähenduses '(eriline, iseäralik, konfliktne) tüüp, tegelane' on selgelt kõnekeelne ja slängilik väljend, mida kasutatakse peamiselt informaalsetes kontekstides. See esineb tüüpiliselt argivestlustes, internetikommentaarides, foorumites ja sotsiaalmeedia postitustes, kus kõnekeelsus on tavaline. Seda kasutatakse sageli halvustava või iroonilise varjundiga, kirjeldamaks ebatavalise või problemaatilise käitumisega inimesi. Formaalsetes tekstides või ametlikus keelekasutuses eelistatakse neutraalsemaid väljendeid nagu 'isik', 'inimene' või täpsemaid kirjeldavaid sõnu.
jurama	"tüütut, mõttetut, rumalat juttu ajama	 õiendama"	informaalsetes	"Sõna ""jurama"" tähenduses ""tüütut, mõttetut, rumalat juttu ajama, õiendama"" on pigem kõnekeelne ja informaalne väljend. See esineb sagedamini vabamas suhtluses, foorumites, kommentaariumides ja sotsiaalmeedia postitustes. Sõnal on kergelt halvustav varjund, mis viitab tüütule või sisutule rääkimisele. Ametlikes või formaalsetes tekstides (nt ametlikud dokumendid, teadusartiklid) kasutatakse tavaliselt neutraalsemaid väljendeid nagu ""arutlema"", ""vestlema"" või täpsemaid kirjeldusi. ""Jurama"" on seega registrilt informaalne sõna."
kannikas	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku	informaalsetes	"Sõna ""kannikas"" tähenduses ""tagumiku osa"" on pigem informaalse registri sõna. See on kõnekeelne, veidi familiaarne väljend, mida kasutatakse enamasti mitteametlikus suhtluses. Neutraalsemas või formaalses kontekstis (nt meditsiinitekstides, ametlikes dokumentides) kasutatakse selle asemel pigem sõnu nagu ""tuhar"", ""istmik"" või ""gluteus"". ""Kannikas"" selles tähenduses esineb sagedamini igapäevases kõnekeeles, humoristlikes tekstides või vabamas suhtluses."
kara	mehe suguliige	informaalsetes	Sõna 'kara' tähenduses 'mehe suguliige' on slängisõna, mida kasutatakse peamiselt informaalsetes kontekstides nagu kõnekeel, internetifoorumid, kommentaariumid või vabamas õhkkonnas toimuvad vestlused. See ei ole meditsiiniline ega neutraalne termin, mida leiaks formaalsetest või ametlikest tekstidest. Tegemist on pigem vulgaarse või argise väljendiga, mis on omane vabamale keelekasutusele.
ketrama	millestki korduvalt, vahetpidamata rääkima	informaalsetes	"Sõna 'ketrama' tähenduses 'millestki korduvalt, vahetpidamata rääkima' on pigem kõnekeelne ja informaalne väljend. Seda kasutatakse sageli olukorras, kus keegi räägib tüütuseni samast teemast või kordab sama juttu. Näiteks: ""Ta ketras jälle oma vana lugu"" või ""Ära enam selle teema ümber ketra"". Formaalsetes tekstides (ametlikud dokumendid, teadusartiklid) kasutatakse selle asemel neutraalsemaid väljendeid nagu ""korduvalt rääkima"", ""arutama"" või ""käsitlema"". 'Ketrama' selles tähenduses on metafoorne laiendus sõna põhitähendusest (lõnga valmistamine) ja selline kujundlik keelekasutus on iseloomulikum informaalsele suhtlusele."
kiilakas	kiilasjää	neutraalsetes/formaalsetes	Sõna 'kiilakas' tähenduses 'kiilasjää' on pigem neutraalse või formaalse registri sõna, mida kasutatakse ilmastikunähtuse kirjeldamiseks. See on spetsiifiline termin, mis tähistab libedaks muutunud jääd või jäätunud pinda. Seda kasutatakse sageli ilmateadetes, hoiatustes ja muudes formaalsetes kontekstides, kus on vaja täpselt kirjeldada teeolusid või ilmastikutingimusi. Sõnal puuduvad slängile või informaalsele keelekasutusele omased tunnused.
klaaruma	"segavatest asjaoludest vabanema (nt udust, pilvedest)	 vaadeldavana puhtamalt, selgemalt paistma hakkama"	neutraalsetes/formaalsetes	"Sõna ""klaaruma"" tähenduses ""selgemalt paistma hakkama"" (eriti ilmastikunähtuste kontekstis) on eesti keeles levinud neutraalses keelekasutuses. See esineb sageli ilmateadetes, looduskirjeldustes ja muudes neutraalsetes või formaalsetes tekstides, kus kirjeldatakse näiteks taeva selginemist või udu hajumist. Kuigi sõnal on mõningaid kõnekeelseid kasutusi, siis antud tähenduses on see pigem neutraalne kirjakeelne sõna, mida ei tajuta informaalsena. Sõna päritolu on küll laensõna (klaari/klaar), kuid see on eesti keeles hästi kodunenud ja stiililiselt neutraalne."
kontra	(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule	neutraalsetes/formaalsetes	"Sõna ""kontra"" antud sporditerminoloogilises tähenduses on levinud spordiuudistes, -reportaažides ja -kommentaarides, mis on üldjuhul neutraalse või formaalse registriga tekstid. See on spordivaldkonna oskussõna, mida kasutatakse erialases kontekstis ilma märgatava stiilivarjundita. Sõna esineb sageli väljendites nagu ""kontra-rünnak"", ""kiirest kontrast värav"", ""kontrast skoorima"" jms. Kuigi sõna võib esineda ka informaalsetes spordiaruteludes, on see põhiliselt neutraalse registriga sporditermin."
koperdama	vaevaliselt, komistades, aeglaselt käima	neutraalsetes/formaalsetes	"Sõna ""koperdama"" tähenduses ""vaevaliselt, komistades, aeglaselt käima"" on eesti keeles üsna neutraalse registriga sõna, mida kasutatakse nii ilukirjanduses kui ka ajakirjanduses liikumisviisi kirjeldamiseks. See ei ole eriti kõnekeelne ega slängilik väljend, vaid pigem tavaline kirjeldav tegusõna, mis on kasutusel ka formaalsemas keeles. Sõna on ekspressiivne, kuid mitte tingimata informaalne. Seda kasutatakse sageli kirjeldustes, kus on vaja täpselt edasi anda liikumise viisi, näiteks ""vanake koperdas trepist alla"" või ""laps koperdas esimesi samme tehes""."
kräkk	eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast	neutraalsetes/formaalsetes	"Sõna ""kräkk"" on narkootikumi nimetus, mis on eesti keelde tulnud ingliskeelsest sõnast ""crack"". Kuigi tegemist on slängipäritolu sõnaga, on see muutunud üldkasutatavaks terminiks, mida kasutatakse neutraalselt nii uudistes, teadusartiklites kui ka ametlikes dokumentides, kui räägitakse sellest konkreetsest narkootilisest ainest. Sõna esineb ka tervishoiu- ja ennetustöö materjalides ning õigustekstides ilma informaalse varjundita. Seega ei ole see pelgalt kõnekeelne väljend, vaid konkreetse aine üldtunnustatud nimetus."
