"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"
"klaarima"	"probleeme, suhteid vms selgitama või lahendama"	"informaalsetes"	"Sõna ""klaarima"" kasutamine tähenduses ""probleeme, suhteid vms selgitama või lahendama"" esineb sagedamini igapäevases kõnekeeles ja mitteametlikes kontekstides. Seda kasutatakse tihti vestlustes, mis on vähem formaalsed, näiteks sõpradevahelistes aruteludes, sotsiaalmeedias või foorumites. Formaalsetes tekstides eelistatakse tavaliselt täpsemaid ja neutraalsemaid väljendeid nagu ""lahendama"" või ""selgitama""."
"klappima"	"(kokku) sobima	 kooskõlas olema"	"informaalsetes"	"Sõna ""klappima"" kasutatakse sageli igapäevases kõnekeeles, et kirjeldada olukordi, kus asjad sobivad või on kooskõlas. Seda võib kohata vestlustes, blogides, foorumites ja sotsiaalmeedias, kus inimesed räägivad oma kogemustest ja arvamustest. Formaalsetes tekstides eelistatakse tavaliselt täpsemaid ja neutraalsemaid väljendeid, nagu ""sobima"" või ""kooskõlas olema"". Seetõttu on ""klappima"" kasutus pigem informaalne."
"kompu"	"suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus	 väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist"	"informaalsetes"	"Sõna ""kompu"" kasutamine maiustuse tähenduses on pigem kõnekeelne ja mitteametlik. Sellised lühendid ja hellitusnimetused on tavaliselt levinud igapäevases vestluses, sotsiaalmeedias ja muudes mitteametlikes kontekstides, kus kasutatakse lõbusamat ja vähem formaalset keelt. Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt täpsemaid ja ametlikumaid termineid nagu ""maiustus"" või ""kompvek""."
"kõnetoru"	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"	"neutraalsetes/formaalsetes"	"Sõna ""kõnetoru"" kasutamine tähenduses, mis viitab kellegi põhimõtteid ja ideid levitavale väljaandele või meediakanalile, on pigem neutraalne või formaalne. Seda tüüpi väljendeid kasutatakse sageli ametlikes kontekstides, näiteks ajakirjanduses, poliitilistes aruteludes või akadeemilistes tekstides, kus on oluline täpsus ja selgus. Selline kasutusviis ei ole tavaliselt seotud informaalsete tekstidega, nagu blogid või sotsiaalmeedia postitused, kus keelekasutus on tihti vabam ja vähem struktureeritud."
"parkima"	"rohkesti ja aplalt sööma"	"informaalsetes"	"Sõna ""parkima"" kasutamine tähenduses ""rohkesti ja aplalt sööma"" on pigem slängilik ja mitteametlik väljend, mis sobib hästi igapäevasesse kõnekeelde, nagu seda kasutatakse sõprade vahelises vestluses, sotsiaalmeedias või foorumites. Selline tähendus ei ole tavapärane ega ametlik, mistõttu ei sobi see neutraalsetesse või formaalsetesse tekstidesse."
"pask"	"(vedel) väljaheide, roe"	"informaalsetes"	"Sõna ""pask"" kasutatakse eesti keeles pigem slängina või vulgaarse väljendina, viidates (vedelale) väljaheitele. Sellised sõnad on tavaliselt omased mitteametlikule suhtlusele, nagu näiteks vestlused sõprade vahel, sotsiaalmeedia postitused või foorumid. Neutraalses või formaalses kontekstis kasutatakse tavaliselt korrektsemaid ja vähem vulgaarseid termineid."
"pipardama"	"tujude järgi talitama, tujukas olema	 ülearu valiv olema"	"informaalsetes"	"Sõna ""pipardama"" oma tähenduse poolest viitab käitumisele, mis on seotud tujude ja kapriisidega, ning selline kirjeldus on tavaliselt omane mitteametlikule suhtlusele. Selliseid väljendeid kasutatakse tihti igapäevases kõnepruugis, et kirjeldada kellegi käitumist humoorikalt või pisut halvustavalt. Seetõttu on tõenäoline, et seda sõna kasutatakse pigem informaalsetes tekstides nagu vestlused, sotsiaalmeedia postitused või blogid."
"pirakas"	"kogult, mõõtmetelt hästi suur"	"informaalsetes"	"Sõna ""pirakas"" kasutatakse sageli igapäevases kõnekeeles, et kirjeldada midagi suurt või mahukat. See sõna kannab endas veidi mängulist ja mitteametlikku tooni, mis sobib hästi sõpradevahelisse vestlusesse, sotsiaalmeedia postitustesse või muusse mitteametlikku konteksti. Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt täpsemaid ja neutraalsemaid väljendeid, nagu ""suur"" või ""mahukas""."
"plekk"	"metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)"	"neutraalsetes/formaalsetes"	"Sõna 'plekk' tähenduses 'metallist või metallisulamist ese või detail' on tehniline termin, mida kasutatakse sageli neutraalsetes ja formaalsetes kontekstides, näiteks tööstuses, ehituses, inseneriteaduses ja muudes tehnilistes valdkondades. Sellistes kontekstides on täpsus ja selgus olulised, mistõttu kasutatakse seda sõna pigem ametlikes dokumentides, spetsifikatsioonides ja tehnilistes kirjeldustes."
"rihtima"	"oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades"	"neutraalsetes/formaalsetes"	"Sõna ""rihtima"" kasutatakse sageli kontekstides, kus on vaja täpsust ja teadlikkust, näiteks strateegilise planeerimise või tegevuse suunamise puhul. Sellised kontekstid esinevad tihti neutraalsetes või formaalsetes tekstides, nagu ametlikud aruanded, analüüsid või juhised. Sõna ei ole tavaliselt seotud slängi või väga igapäevaste vestlustega, mis viitab selle sobivusele pigem neutraalsetes või formaalsetes olukordades."
"rokk"	"jahust ja veest segatud loomatoit"	"informaalsetes"	"Sõna ""rokk"" tähenduses ""jahust ja veest segatud loomatoit"" on tõenäoliselt kasutusel pigem igapäevases kõnepruugis ja mitteametlikes olukordades. Selline sõna võib esineda näiteks vestlustes, kus räägitakse loomapidamisest või toidujääkidest, kuid see ei ole tõenäoliselt kasutusel ametlikes dokumentides või teaduslikes tekstides, kus eelistatakse täpsemat ja neutraalsemat sõnavara."
"sitsima"	"(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides"	"informaalsetes"	"Sõna ""sitsima"" kasutatakse pigem igapäevases kõnepruugis ja see on seotud koerte käitumise kirjeldamisega, mis on tavaliselt osa kodusest või vabaaja vestlusest. Sellised kirjeldused esinevad tihti mitteametlikes kontekstides, nagu vestlused lemmikloomade omanike vahel, sotsiaalmeedia postitused või blogid, kus inimesed räägivad oma lemmikloomade käitumisest. Formaalsetes tekstides, nagu teaduslikud artiklid või ametlikud dokumendid, kasutatakse tõenäoliselt täpsemaid ja neutraalsemaid termineid."
"sortsutama"	"sel viisil kusema	 väikese koguse kaupa korduvalt valama või voolata laskma"	"informaalsetes"	"Sõna ""sortsutama"" viitab tegevusele, mis on seotud väikeste koguste vedeliku valamise või voolamisega, sealhulgas ka kusemisega. Selline väljend on tõenäoliselt kasutusel pigem igapäevases kõnekeeles ja mitteametlikes olukordades, näiteks sõprade vahelises vestluses või vabas stiilis kirjutistes nagu blogid ja foorumid. Formaalsetes või neutraalsetes tekstides kasutatakse tõenäoliselt täpsemaid ja neutraalsemaid väljendeid."
"ära kukkuma"	"(nurisünnituse kohta)"	"informaalsetes"	"Väljend ""ära kukkuma"" nurisünnituse kohta on kõnekeelne ja seda kasutatakse pigem mitteametlikes kontekstides. Selline väljend võib esineda igapäevastes vestlustes, sotsiaalmeedias või muudes mitteametlikes tekstides, kus inimesed väljendavad end vabamalt ja otsesemalt. Formaalsetes või neutraalsetes tekstides, nagu meditsiinilised aruanded või ametlikud dokumendid, kasutatakse tõenäoliselt täpsemaid ja neutraalsemaid termineid."
"diiler"	"narkootikumide vahendaja või edasimüüja"	"informaalsetes"	"Sõna ""diiler"" tähenduses ""narkootikumide vahendaja või edasimüüja"" on seotud ebaseadusliku tegevusega ja seda kasutatakse sageli kontekstides, mis ei ole ametlikud või formaalsed. Sellised kontekstid võivad hõlmata näiteks vestlusi, kus arutatakse ebaseaduslikku tegevust, või kirjandust, mis püüab edasi anda realistlikku tänavakeelt. Seetõttu on tõenäolisem, et seda sõna kasutatakse pigem informaalsetes tekstides."
"frukt"	"toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn	 vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom"	"informaalsetes"	"Sõna ""frukt"" on laenatud vene keelest ja seda kasutatakse eesti keeles pigem mitteametlikes kontekstides. See on levinud slängis ja igapäevases kõnepruugis, eriti noorte seas või mitteametlikes vestlustes. Neutraalsetes või formaalsetes tekstides eelistatakse tavaliselt sõna ""vili"" või ""puuvili""."
"frukt"	"(eriline, iseäralik, konfliktne) tüüp, tegelane"	"informaalsetes"	"Sõna ""frukt"" tähenduses ""(eriline, iseäralik, konfliktne) tüüp, tegelane"" on pigem slängi või kõnekeele väljend, mida kasutatakse mitteametlikes olukordades. Selline väljend sobib hästi sõpradevahelisse vestlusesse, sotsiaalmeedia postitustesse või muusse mitteametlikku konteksti, kus keelekasutus on vaba ja vähem formaalne. Formaalsetes tekstides eelistatakse tavaliselt neutraalsemaid ja täpsemaid väljendeid."
"jurama"	"tüütut, mõttetut, rumalat juttu ajama	 õiendama"	"informaalsetes"	"Sõna ""jurama"" tähendus viitab tegevusele, mis on seotud tüütuse, mõttetuse ja rumalusega, mis on iseloomulikud pigem igapäevasele ja mitteametlikule suhtlemisele. Selliseid väljendeid kasutatakse tihti sõprade vahelises vestluses, sotsiaalmeedias või muudes mitteametlikes kontekstides, kus keelekasutus on vabam ja vähem formaalne. Formaalsetes või neutraalsetes tekstides eelistatakse tavaliselt täpsemat ja neutraalsemat keelekasutust."
"kannikas"	"üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku"	"informaalsetes"	"Sõna ""kannikas"" tähenduses ""üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku"" kasutatakse pigem informaalsetes kontekstides. Selline sõna valik on tavaliselt omane igapäevasele kõnekeelele, sõpradevahelistele vestlustele või humoorikatele olukordadele, kus kasutatakse vähem formaalset keelt. Neutraalses või formaalses kontekstis eelistatakse tõenäoliselt meditsiinilisemaid või ametlikumaid termineid."
"kara"	"mehe suguliige"	"informaalsetes"	"Sõna ""kara"" tähenduses ""mehe suguliige"" on släng ja seda kasutatakse tõenäoliselt pigem mitteametlikes ja igapäevastes vestlustes, nagu näiteks sõpradevahelistes jutuajamistes, sotsiaalmeedias või foorumites. Selline tähendus ei ole tavapärane formaalsetes või neutraalsetes tekstides, kus kasutatakse tõenäolisemalt meditsiinilisi või ametlikke termineid."
"ketrama"	"millestki korduvalt, vahetpidamata rääkima"	"informaalsetes"	"Sõna ""ketrama"" tähenduses ""millestki korduvalt, vahetpidamata rääkima"" omab kõnekeelset varjundit, mis viitab pigem informaalsetele kontekstidele. Seda kasutatakse sageli igapäevases suhtluses, näiteks vestlustes, blogides või sotsiaalmeedias, et väljendada tüütust või korduvust teatud teema käsitlemisel. Neutraalses või formaalses keeles eelistatakse tõenäoliselt teisi väljendeid, mis on vähem kõnekeelsed."
"kiilakas"	"kiilasjää"	"informaalsetes"	"Sõna ""kiilakas"" tähenduses ""kiilasjää"" on pigem slängi või kõnekeele väljend, mida kasutatakse mitteametlikes olukordades. Selline keelekasutus on tavaliselt omane igapäevasele vestlusele, sotsiaalmeediale ja muudele mitteametlikele tekstidele, kus ei järgita rangelt keelelisi norme. Neutraalses või formaalses kontekstis eelistatakse tõenäoliselt kasutada sõna ""kiilasjää""."
"klaaruma"	"segavatest asjaoludest vabanema (nt udust, pilvedest)	 vaadeldavana puhtamalt, selgemalt paistma hakkama"	"neutraalsetes/formaalsetes"	"Sõna ""klaaruma"" tähendus viitab loodusnähtustele ja nende selginemisele, mis on teemad, mida sageli käsitletakse neutraalsetes või formaalsetes kontekstides, nagu teaduslikud artiklid, ilmateated või kirjeldavad tekstid. Sellised sõnad on tavaliselt kasutusel neutraalsetes või formaalsetes tekstides, kus on oluline täpsus ja selgus. Informaalses keeles võiks kasutada lihtsamaid või üldisemaid väljendeid nagu ""selginema"" või ""puhtamaks muutuma""."
"kontra"	"(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule"	"neutraalsetes/formaalsetes"	"Sõna ""kontra"" sporditerminina kasutatakse sageli spordireportaažides, analüüsides ja ametlikes spordikommentaarides, mis on tavaliselt neutraalsed või formaalsed tekstid. Sellistes kontekstides on oluline täpsus ja selgus, mistõttu kasutatakse kindlaksmääratud termineid, nagu ""kontra"", et kirjeldada konkreetseid mängusituatsioone. Kuigi sõna võib esineda ka mitteametlikes aruteludes, on selle peamine kasutus siiski seotud neutraalsete ja formaalsete tekstidega."
"koperdama"	"vaevaliselt, komistades, aeglaselt käima"	"informaalsetes"	"Sõna ""koperdama"" kasutatakse sageli igapäevases kõnekeeles, et kirjeldada kellegi kohmakat või komistavat liikumist. See sõna kannab endas veidi humoorikat või kergelt negatiivset varjundit, mis sobib hästi mitteametlikesse kontekstidesse nagu vestlused, blogid või sotsiaalmeedia postitused. Formaalsetes tekstides eelistatakse tõenäoliselt neutraalsemaid väljendeid, mis ei kanna sellist kõnekeelset varjundit."
"kräkk"	"eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast"	"informaalsetes"	"Sõna ""kräkk"" tähenduses ""eriti kiiresti sõltuvust tekitav kokaiiniderivaat"" on seotud narkootikumide ja nende tarvitamisega, mis on teemad, mida arutatakse sagedamini mitteametlikes kontekstides. Sellised arutelud võivad esineda näiteks foorumites, sotsiaalmeedias või vestlustes, kus kasutatakse slängi ja mitteametlikku keelt. Formaalsetes ja neutraalsetes tekstides, nagu teadusartiklid või ametlikud aruanded, kasutatakse tõenäoliselt täpsemaid ja meditsiiniliselt korrektseid termineid."
"kupatama"	"kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama"	"informaalsetes"	"Sõna ""kupatama"" kasutatakse sageli igapäevases kõnekeeles, et kirjeldada kellegi kiiret või sunniviisilist saatmist kuhugi või millegi tegemiseks. See väljend omab veidi familiaarset ja mitteametlikku tooni, mis sobib hästi informaalsetesse kontekstidesse nagu vestlused, blogid või sotsiaalmeedia postitused. Neutraalses või formaalses tekstis eelistatakse tõenäoliselt teisi väljendeid, mis on vähem kõnekeelsed."
"käkkima"	"midagi kiiruga, kehvasti tegema	 midagi ära rikkuma"	"informaalsetes"	"Sõna ""käkkima"" kasutatakse tavaliselt kontekstides, kus rõhutatakse tegevuse kiirust ja hooletust, mis viib ebarahuldava tulemuseni. Selline väljendusviis on omane igapäevasele kõnekeelele ja mitteametlikele olukordadele, nagu vestlused sõprade vahel, sotsiaalmeedia postitused või foorumiarutelud. Formaalsetes või neutraalsetes tekstides eelistatakse sageli täpsemaid ja neutraalsemaid väljendeid, mis ei kanna endas hinnangulist alatooni."
"leegionär"	"välismaalt palgatud, mitte oma maa klubis mängiv sportlane"	"neutraalsetes/formaalsetes"	"Sõna ""leegionär"" tähenduses ""välismaalt palgatud, mitte oma maa klubis mängiv sportlane"" kasutatakse sageli spordiuudistes, ametlikes spordikommentaarides ja analüüsides, mis on tavaliselt neutraalsed või formaalsed tekstid. Sellistes kontekstides on oluline täpsus ja selgus, mistõttu kasutatakse terminoloogiat, mis on laialdaselt mõistetav ja aktsepteeritud. Kuigi sõna võib esineda ka mitteametlikes aruteludes, on selle kasutus siiski levinum neutraalsetes ja formaalsetes tekstides."
"libekala"	"osava jutuga silmakirjalik tüüp"	"informaalsetes"	"Sõna ""libekala"" kasutamine tähenduses ""osava jutuga silmakirjalik tüüp"" viitab pigem slängile või kõnekeelsele väljendile, mida kasutatakse mitteametlikes olukordades. Sellised väljendid on tavaliselt levinud igapäevases kõnes, sotsiaalmeedias, foorumites ja muudes mitteametlikes tekstides, kus inimesed väljendavad end vabamalt ja vähem formaalselt."
"luhvtitama"	"(raha raiskamise, hoogsa kulutamise kohta)"	"informaalsetes"	"Sõna ""luhvtitama"" oma tähenduses, mis viitab raha raiskamisele või hoogsale kulutamisele, on tõenäoliselt kasutusel pigem mitteametlikes kontekstides. Sellised väljendid on sageli levinud kõnekeeles ja slängis, mida kasutatakse igapäevastes vestlustes, blogides, foorumites või sotsiaalmeedias, kus keelekasutus on vabam ja vähem formaalne. Formaalsetes või neutraalsetes tekstides eelistatakse tavaliselt neutraalsemaid ja standardsemaid väljendeid."
"lutikas"	"väike pealtkuulamisseade"	"informaalsetes"	"Sõna ""lutikas"" tähenduses ""väike pealtkuulamisseade"" on pigem slängi või kõnekeele väljend, mida kasutatakse mitteametlikes olukordades. Selline terminoloogia on tavaliselt levinud vestlustes, kus kasutatakse lihtsamat ja igapäevasemat keelt, näiteks sõpradevahelistes vestlustes, foorumites või sotsiaalmeedias. Formaalsetes või ametlikes tekstides eelistatakse tõenäoliselt täpsemaid ja neutraalsemaid termineid nagu ""pealtkuulamisseade""."
"läbu"	"sisutühi, halvustav vm häiriv jutt internetifoorumis"	"informaalsetes"	"Sõna ""läbu"" kasutatakse sageli internetifoorumites ja sotsiaalmeedias, et kirjeldada sisutühja või häirivat juttu. Selline sõnavara on iseloomulik mitteametlikule suhtlusele, kus keelekasutus on vabam ja vähem formaalne. Sõna ""läbu"" kannab endas ka halvustavat alatooni, mis sobib paremini mitteametlikesse kontekstidesse."
"läbu"	"joomapidu, kus enda järelt ei koristata"	"informaalsetes"	"Sõna ""läbu"" kasutamine viitab sageli olukordadele, mis on seotud lõdva käitumise ja korratusega, nagu joomapeod, kus enda järelt ei koristata. Sellised teemad ja sõnavara on tavaliselt omased mitteametlikele vestlustele, nagu need, mis toimuvad sotsiaalmeedias, foorumites või sõprade vahelises kõnepruugis. Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt neutraalsemaid või viisakamaid väljendeid."
"läbu"	"maha jäetud sodi, räpased jäägid"	"informaalsetes"	"Sõna ""läbu"" kasutatakse sageli igapäevases kõnepruugis, et kirjeldada midagi räpast või korratut, näiteks peo järel maha jäänud segadust. See on pigem slängi kuuluv väljend ja seetõttu sobib see rohkem mitteametlikesse kontekstidesse nagu vestlused, blogid või sotsiaalmeedia postitused. Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt neutraalsemaid väljendeid nagu ""prügi"" või ""jäägid""."
"läbustama"	"(hoogsalt, kärarikkalt) pidutsema"	"informaalsetes"	"Sõna ""läbustama"" tähenduses ""(hoogsalt, kärarikkalt) pidutsema"" on stiililt pigem slängi või kõnekeele väljend, mida kasutatakse mitteametlikes olukordades. Selline sõna on tõenäolisemalt leitav noorte kõnepruugis, sotsiaalmeedias, blogides või vestlustes, kus keelekasutus on vaba ja vähem formaalne. Neutraalsetes või formaalsetes tekstides eelistatakse tõenäoliselt teisi väljendeid, mis kirjeldavad pidutsemist ilma slängile omase varjundita."
