"Katsesõna","Tähendus","vastus","põhjendus"
"peale minema","meeldima, sobima","informaalsetes","Väljend ""peale minema"" tähenduses ""meeldima, sobima"" on kõnekeelne ja pigem argipäevane. Seda kasutatakse peamiselt suulises kõnes või mitteametlikes tekstides, näiteks sõpradevahelises vestluses. Formaalses või ametlikes kontekstides eelistatakse neutraalsemaid või täpsemaid väljendeid, nagu ""meeldima"" või ""sobima"". Seetõttu sobib sellele väljendile registrimärgend ""informaalne""."
"pooletoobine","väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel","informaalsetes","Sõna ""pooletoobine"" on kõnekeelne ja pigem halvustava või iroonilise varjundiga, mis ei sobi formaalsetesse ega täiesti neutraalsetesse kontekstidesse. Seda kasutatakse pigem igapäevases suhtluses või mitteametlikes tekstides, kus lubatakse emotsionaalsemat või hinnangulist keelt. Formaalses keeles eelistataks täpsemaid ja neutraalsemaid väljendeid, nagu ""keskpärane"" või ""ebapiisav""."
"putk","karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus","neutraalsetes","Sõna ""putk"" on üldkeelne ja neutraalne nimetus, mida kasutatakse karuputke ja teiste sarikaliste sugukonna taimede tähistamiseks. See ei ole seotud kindla emotsionaalse või stilistilise varjundiga ning sobib kasutamiseks nii igapäevases kõnes kui ka ametlikumas kontekstis, näiteks loodusteaduslikes tekstides või õppematerjalides. Sõna ei ole märgatavalt informaalne ega formaalne, mistõttu registrimärgendit ei ole vaja lisada."
"sell","(mehe kohta)","informaalsetes","Sõna ""sell"" tähenduses ""mees"" või ""meesterahvas"" on kõnekeelne ja pigem mitteametlik. Seda kasutatakse igapäevases suhtluses, kuid see ei sobi formaalsetesse kontekstidesse, kus eelistatakse neutraalseid või ametlikke väljendeid nagu ""mees"" või ""meesterahvas"". Seetõttu on sobiv lisada registrimärgend, mis viitab sõna kasutamisele pigem informaalses keeles."
"sitt","looma või inimese väljaheide, roe, sõnnik (põllu väetisena)","informaalsetes","Sõna ""sitt"" on eesti keeles kõnekeelne ja peetakse pigem labasteks või ebaviisakaks, mistõttu seda kasutatakse peamiselt informaalsetes kontekstides, näiteks argivestlustes. Neutraalsetes või formaalsetes tekstides eelistatakse kasutada sõnu nagu ""väljaheide"", ""roe"" või ""sõnnik"", mis on viisakamad ja sobivad ametlikku keelekasutusse. Seega on sõnale ""sitt"" antud tähenduses sobiv lisada registrimärgend, mis viitab selle kasutamisele pigem informaalses keeles."
"sott","(rahaline) arvestus, arvepidamine millegi kohta","informaalsetes","Sõna ""sott"" tähenduses ""(rahaline) arvestus, arvepidamine"" on pigem kõnekeelne ja mitteametlik. See ei ole tavapärane ametlikes või formaalsetes kontekstides, kus eelistatakse täpsemaid ja neutraalseid termineid nagu ""arvestus"" või ""arvepidamine"". Sõna ""sott"" võib esineda pigem igapäevases vestluses või mitteametlikes tekstides, kus see võib viidata rahalisele olukorrale või arvestusele lõdvalt ja familiaarselt. Seetõttu sobib sellele registrimärgend ""informaalne""."
"suts","lühiajaline sooritus, eriti väike teatri- või filmiroll","informaalsetes","Sõna ""suts"" tähenduses ""lühiajaline sooritus, eriti väike teatri- või filmiroll"" on kõnekeelne ja pigem vaba, mitte ametlik väljend. See ei ole tavapärane ametlikes või formaalsetes kontekstides, kus eelistatakse täpsemaid ja neutraalsemaid termineid nagu ""väike roll"" või ""episoodiline roll"". Sõna ""suts"" kannab endas kergust ja familiaarsust, mis sobib pigem sõpradevahelisse vestlusse või mitteametlikesse tekstidesse."
"vurts","hoog, energia","informaalsetes","Sõna ""vurts"" tähenduses ""hoog, energia"" on pigem kõnekeelne ja mitteametlik, kasutatakse seda igapäevases suhtluses või sõbralikus kontekstis, näiteks väljendites nagu ""panna vurtsi juurde"". Formaalses või ametlikes tekstides eelistatakse neutraalsemaid või täpsemaid sõnu, nagu ""energia"", ""jõud"" või ""elavus"". Seetõttu sobib sõnale ""vurts"" registrimärgend ""informaalne""."
"kah","peale selle, lisaks, samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval","informaalsetes","Sõna ""kah"" kasutatakse eesti keeles sageli kõnekeeles ja mitteametlikes kontekstides tähenduses ""lisaks"", ""samuti"" või ""ka"". See on pigem familiaarne ja lõdva tooniga, mistõttu ei sobi see formaalsetesse tekstidesse, kus eelistatakse neutraalsemaid või ametlikumaid väljendeid nagu ""ka"" või ""samuti"". Näiteks lausetes nagu ""Tulen mina kah"" või ""See on kah tore"" ilmneb sõna kõnekeelne ja sõbralik iseloom. Seetõttu on sobiv märkida see kui informaalse kasutusega sõna."
"klaarima","probleeme, suhteid vms selgitama või lahendama","informaalsetes","Sõna ""klaarima"" tähenduses ""probleeme, suhteid vms selgitama või lahendama"" on pigem kõnekeelne ja argipäevane. See ei ole tavapärane ametlikes või formaalsetes kontekstides, kus eelistatakse neutraalsemaid või formaalsemaid väljendeid nagu ""selgitama"", ""lahendama"" või ""arutama"". Sõna ""klaarima"" kasutamine on omane pigem vabamas, sõbralikus või igapäevases suhtluses, mistõttu sobib see kõige paremini informaalseks registrimärgendiks."
"klappima","(kokku) sobima, kooskõlas olema","informaalsetes","Sõna ""klappima"" tähenduses ""(kokku) sobima, kooskõlas olema"" on pigem kõnekeelne ja igapäevane väljend, mida kasutatakse enamasti vabas, mitteformaalses kontekstis. Näiteks öeldakse ""Meie mõtted klapivad"" või ""See plaan klapib minu ajakavaga"" pigem sõprade vahelises vestluses kui ametlikes dokumentides või kõnedes. Formaalsemas keeles eelistatakse neutraalsemaid või täpsemaid väljendeid, nagu ""sobima"", ""vastama"" või ""kooskõlas olema"". Seetõttu sobib sõnale ""klappima"" registrimärgend ""informaalne""."
"kompu","suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus, väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist","informaalsetes","Sõna ""kompu"" on eesti keeles kõnekeelne ja pigem lapsepärane või mänglev väljend maiustuse kohta. See ei ole ametlikes või formaalsetes kontekstides tavapärane, vaid esineb pigem igapäevases, sõbralikus või perekondlikus suhtluses. Neutraalseks või formaalseks kasutuseks eelistatakse täpsemaid ja standardsemaid termineid nagu ""komm"" või ""maiustus"". Seetõttu sobib sõnale ""kompu"" registrimärgend, mis viitab informaalsele kasutusele."
"kõnetoru","(sõnumi edasiandmise abinõu, vahendi kohta), kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms","informaalsetes","Sõna ""kõnetoru"" kasutatakse antud tähenduses sageli metafooriliselt ja kujundlikult, mis viitab pigem kõnekeelsele või mitteformaalsele kontekstile. See võib esineda ajakirjanduses, arvamuslugudes või igapäevases vestluses, kuid ametlikes või formaalsetes tekstides eelistatakse täpsemaid ja neutraalsemaid väljendeid, nagu ""esindaja"", ""vahendaja"" või ""meediakanal"". Seetõttu sobib sõna ""kõnetoru"" pigem informaalsesse või kergelt kõnekeelsesse registrisse."
"parkima","rohkesti ja aplalt sööma","informaalsetes","Sõna ""parkima"" tähenduses ""rohkesti ja aplalt sööma"" on slängiväljend, mis ei ole neutraalne ega formaalne. See on pigem kõnekeelne ja võib esineda sõpradevahelises vestluses või mitteametlikes olukordades, kuid ei sobi ametlikku või tõsisesse konteksti. Seetõttu sobib sellele sõnale registrimärgend ""informaalne""."
"pask","(vedel) väljaheide, roe","informaalsetes","Sõna ""pask"" tähenduses ""(vedel) väljaheide, roe"" on kõnekeelne ja pigem labane väljend, mida kasutatakse igapäevases, mitteametlikus suhtluses. See ei sobi formaalsetesse ega neutraalsetesse kontekstidesse, kus eelistatakse meditsiinilisi või neutraalseid termineid nagu ""väljaheide"" või ""roe"". Seetõttu on sõna kasutamine piiratud informaalsete olukordadega, näiteks kõnekeeles või tuttavlikus vestluses."
"pipardama","tujude järgi talitama, tujukas olema, ülearu valiv olema","informaalsetes","Sõna ""pipardama"" kasutatakse antud tähenduses pigem kõnekeeles ja mitteametlikes olukordades, kuna see kannab emotsionaalset või hinnangulist varjundit ning ei ole tavapärane ametlikes või formaalsetes tekstides. Sõna võib esineda näiteks igapäevases vestluses või ilukirjanduses, kuid tõenäoliselt välditakse seda ametlikes dokumentides või akadeemilistes tekstides, kus eelistatakse neutraalsemaid või formaalsemaid väljendeid nagu ""tujukas olema"" või ""valiv olema"". Lisaks viitab sõna kasutamine pigem tuttavlikule või mängulisele toonile, mis sobib rohkem informaalse kontekstiga."
"pirakas","kogult, mõõtmetelt hästi suur","informaalsetes","Sõna ""pirakas"" kasutatakse eesti keeles pigem kõnekeeles ja mitteametlikes kontekstides, et rõhutada millegi suurt suurust või kogust. See kannab sageli emotsionaalset või rõhutavat tooni, mis ei sobi formaalsetesse või neutraalsetesse tekstidesse, kus eelistatakse täpsemaid ja neutraalsemaid väljendeid nagu ""suur"" või ""mahukas"". Seetõttu on sõna ""pirakas"" kasutamine omane pigem informaalsele keelepruugile, näiteks sõpradevahelises vestluses või argises olukorras."
"plekk","metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)","neutraalsetes","Sõna ""plekk"" selles tähenduses ei ole selgelt seotud ainult informaalse või formaalse keelega. Seda kasutatakse igapäevases keeles, kuid ka tehnilistes ja ametlikes kontekstides, näiteks rääkides metallitöödest või esemete osadest (nt ""kontsaplekk"" või ""plekknõu""). Seetõttu sobib see neutraalsesse registrisse, kuna ei ole ei liigselt kõnekeelne ega ülemäära ametlik."
"rihtima","oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades","informaalsetes","Sõna ""rihtima"" antud tähenduses on pigem kõnekeelne ja igapäevases kasutuses esinev, kuid mitte ametlikes või formaalsetes kontekstides. See kannab sageli veidi vabamat või kujundlikku tooni, mis sobib rohkem sõbralikku või mitteametlikku suhtlusse. Näiteks võib öelda ""rihtisin jutu selle peale, et ta rahuneks"", kuid ametlikes tekstides eelistatakse täpsemaid või neutraalsemaid väljendeid nagu ""suunama"" või ""kohandama"". Seetõttu sobib sõnale lisada registrimärgend ""informaalne""."
"rokk","jahust ja veest segatud loomatoit","informaalsetes","Sõna ""rokk"" tähenduses ""jahust ja veest segatud loomatoit"" on pigem rahvapärane ja piirkondlik väljend, mida kasutatakse igapäevases kõnes, eriti maapiirkondades või põllumajandusega seotud kontekstis. See ei ole ametlik ega standardne termin, mistõttu see ei sobi formaalsetesse tekstidesse. Neutraalseks ei saa seda samuti pidada, kuna sõna kasutamine on piiratud kindla konteksti ja kõnelejate ringiga, mis viitab pigem informaalsele keelekasutusele."
"sitsima","(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides","informaalsetes","Sõna ""sitsima"" kasutatakse peamiselt kõnekeeles ja igapäevases suhtluses, eriti loomade käitumise kirjeldamisel. See ei ole ametlik ega formaalne termin ning sobib pigem vabamas kontekstis, näiteks pere- või sõpruskonna vestlustes. Sõna tähendus ja kasutamine on seotud konkreetse, sageli mängulise või armsa olukorraga (koer küsib süüa), mis ei ole tavapärane formaalsetes või neutraalsetes tekstides. Seetõttu on sobiv lisada registrimärgend, mis viitab informaalsele kasutusele."
"sortsutama","sel viisil kusema, väikese koguse kaupa korduvalt valama või voolata laskma","informaalsetes","Sõna ""sortsutama"" on kõnekeelne ja pigem labane väljend, mis viitab füsioloogilisele tegevusele (kusemisele) või vedeliku voolamisele väikeste kogustena. Sellist sõnavalikut kasutatakse pigem vabas, mitteametlikus kontekstis, näiteks sõpradevahelises vestluses või naljatlevas toonis. Formaalses või neutraalses keeles eelistatakse täpsemaid ja viisakamaid väljendeid, nagu ""tilkuma"" või ""nirisema"", kui räägitakse vedeliku voolamisest, või meditsiinilisi termineid, kui viidatakse füsioloogilisele protsessile. Seetõttu sobib sõna ""sortsutama"" kasutamine pigem informaalsesse konteksti."
"ära kukkuma","(nurisünnituse kohta)","informaalsetes","Väljend ""ära kukkuma"" tähenduses ""nurisünnitus"" on pigem kõnekeelne ja emotsionaalselt laetud. See ei ole meditsiiniline ega ametlik termin, vaid pigem rahvapärane või igapäevases suhtluses kasutatav väljend, mis võib tunduda kohatu formaalsetes või neutraalsetes kontekstides. Seetõttu sobib see kasutamiseks pigem informaalsetes olukordades, näiteks lähedaste inimeste vahelises vestluses. Ametlikes tekstides või meditsiinilises kontekstis eelistatakse täpsemaid ja neutraalsemaid termineid nagu ""nurisünnitus"" või ""raseduse katkemine""."
"diiler","narkootikumide vahendaja või edasimüüja","informaalsetes","Sõna ""diiler"" tähenduses ""narkootikumide vahendaja või edasimüüja"" on slängiväljend, mis on laenatud inglise keelest (dealer). Seda kasutatakse peamiselt kõnekeeles ja mitteametlikes kontekstides, näiteks noorte slängis või meediatekstides, mis käsitlevad kuritegevust või tänavakultuuri. Formaalses keeles eelistatakse neutraalsemaid või ametlikke termineid, nagu ""narkootikumide levitaja"" või ""vahendaja"". Seetõttu sobib sõnale ""diiler"" registrimärgend, mis viitab selle kasutamisele pigem informaalses keeles."
"frukt","toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn, vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom","informaalsetes","Sõna ""frukt"" ei ole eesti keeles laialdaselt kasutusel ega standardne termin viljade tähistamiseks. See võib esineda pigem kõnekeeles või slängis, eriti noorte seas või teatud subkultuurides, kuid ei ole tavapärane neutraalsetes või formaalsetes kontekstides. Eesti keeles kasutatakse viljade kohta üldiselt sõna ""vili"" või täpsemaid nimetusi nagu ""õun"", ""pirn"" jne. Sõna ""frukt"" võib olla mõjutatud võõrkeeltest (nt vene keelest, kus ""фрукт"" tähendab puuvilja), kuid see ei ole eesti keele normi kohane. Seetõttu sobib see pigem informaalsetesse kontekstidesse, kui üldse kasutatakse."
"frukt","(eriline, iseäralik, konfliktne) tüüp, tegelane","informaalsetes","Sõna ""frukt"" tähenduses ""iseäralik või konfliktne tüüp, tegelane"" on slängiväljend, mida kasutatakse pigem kõnekeeles ja mitteametlikes olukordades. See ei sobi formaalsetesse ega neutraalsetesse kontekstidesse, kuna kannab endas emotsionaalset või hinnangulist varjundit ning võib tunduda kohatu tõsistes või ametlikes tekstides. Seetõttu on sobiv lisada registrimärgend, mis viitab selle kasutamisele informaalses keeles."
"jurama","tüütut, mõttetut, rumalat juttu ajama, õiendama","informaalsetes","Sõna ""jurama"" kasutatakse peamiselt kõnekeeles ja mitteametlikes olukordades, kuna see kannab endas emotsionaalset või hinnangulist varjundit, mis ei sobi formaalsetesse kontekstidesse. Sõna tähendus viitab pigem tuttavlikule või argisele suhtlusstiilile, kus väljendatakse pahameelt või kriitikat kellegi jutu või käitumise suhtes. Formaalses keeles eelistatakse neutraalsemaid või täpsemaid väljendeid, nagu ""tühja juttu rääkima"" või ""vaidlema"". Seetõttu sobib sõnale ""jurama"" registrimärgend ""informaalne""."
"kannikas","üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku","informaalsetes","Sõna ""kannikas"" on kõnekeelne ja pigem labane väljend, mida kasutatakse argises, mitteametlikus kontekstis. See ei sobi formaalsetesse ega neutraalsetesse tekstidesse, kus eelistatakse meditsiinilisi või neutraalseid termineid nagu ""tuHAR"" või ""istmik"". Sõna ""kannikas"" võib kanda ka mänglevat või halvustavat varjundit, mis rõhutab selle kasutust pigem sõpradevahelises suhtluses või naljatlevas toonis. Seetõttu sobib see kõige paremini informaalsetesse kontekstidesse."
"kara","mehe suguliige","informaalsetes","Sõna ""kara"" tähenduses ""mehe suguliige"" on slängiväljend, mida kasutatakse pigem kõnekeeles ja mitteametlikes olukordades. See ei ole neutraalne ega formaalne termin, vaid pigem familiaarne või vulgaarne, mistõttu sobib see kasutamiseks ainult informaalsetes kontekstides. Meditsiinilistes või ametlikes tekstides kasutatakse selle asemel täpseid ja neutraalseid termineid nagu ""peenis""."
"ketrama","millestki korduvalt, vahetpidamata rääkima","informaalsetes","Sõna ""ketrama"" kasutamine tähenduses ""millestki korduvalt, vahetpidamata rääkima"" on pigem kõnekeelne ja mitteametlik. See kannab sageli emotsionaalset või kujundlikku varjundit, viidates jutustamisele, mis võib tunduda lõputu või tüütu, ning sobib seetõttu pigem igapäevasesse vestlusse või sõbralikku konteksti. Formaalses või ametlikes tekstides eelistatakse neutraalsemaid väljendeid, nagu ""korduvalt rääkima"" või ""pidevalt mainima""."
"kiilakas","kiilasjää","informaalsetes","Sõna ""kiilakas"" tähenduses ""kiilasjää"" on pigem kõnekeelne ja mitteametlik väljend, mida kasutatakse igapäevases suhtluses, kuid mitte ametlikes või formaalsetes kontekstides. Sõna ""kiilasjää"" ise on neutraalsem ja sobib kasutamiseks ka kirjalikes tekstides, kuid ""kiilakas"" kui selle sünonüüm kannab kergelt mängulist või familiaarset tooni, mis viitab informaalsele keelekasutusele. Seetõttu oleks sobiv lisada registrimärgend, mis viitab informaalsele kontekstile."
"klaaruma","segavatest asjaoludest vabanema (nt udust, pilvedest), vaadeldavana puhtamalt, selgemalt paistma hakkama","neutraalsetes","Sõna ""klaaruma"" kasutatakse antud tähenduses pigem neutraalsetes kontekstides, kuna see ei ole selgelt seotud ei formaalse ega informaalse keelega. See on pigem kirjeldav ja neutraalne väljend, mis sobib kasutamiseks näiteks ilmakirjeldustes või üldises kõnes, kuid ei ole spetsiifiliselt ametlik ega argine. Sõna ei ole ka piiratud kindla registri või žanriga, mistõttu see ei vaja erilist registrimärgendit."
"kontra","(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule","informaalsetes","Sõna ""kontra"" spordikontekstis, tähendades vasturünnakut, on pigem kõnekeelne ja sportlaste ning fännide seas kasutatav termin. See ei ole ametlikes või formaalsetes tekstides tavapärane, vaid esineb enamasti vabas, igapäevases suhtluses, spordikommentaarides või ajakirjanduse kergemas stiilis. Formaalsemates kontekstides võiks kasutada täpsemaid või neutraalsemaid väljendeid, nagu ""vasturünnak""."
"koperdama","vaevaliselt, komistades, aeglaselt käima","informaalsetes","Sõna ""koperdama"" kasutatakse pigem kõnekeeles ja mitteametlikes kontekstides, kuna see kannab endas teatavat kujundlikkust ja emotsionaalset varjundit, mis ei sobi formaalsetesse tekstidesse. See väljendab kohmakust või raskusi liikumisel viisil, mis on pigem igapäevane ja tuttavlik, mitte ametlik või tõsine. Formaalses keeles eelistataks neutraalsemaid või täpsemaid väljendeid, nagu ""raskustega liikuma"" või ""komistama"". Seetõttu sobib sõna ""koperdama"" kõige paremini informaalsesse registrisse."
"kräkk","eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast","informaalsetes","Sõna ""kräkk"" viitab narkootilisele ainele, mis on seotud pigem argikeelse või subkultuurilise kontekstiga. Seda kasutatakse tõenäoliselt kõnekeeles või mitteametlikes tekstides, näiteks noorte slängis või meediaväljaannetes, mis käsitlevad narkoprobleeme populaarsel tasandil. Formaalses või ametlikes tekstides (nt teadusartiklites, ametlikes dokumentides) eelistatakse tõenäoliselt täpsemaid ja neutraalsemaid termineid või aine keemilist nimetust. Seetõttu sobib sõnale registrimärgend ""informaalne""."
"kupatama","kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama","informaalsetes","Sõna ""kupatama"" kasutatakse pigem kõnekeeles ja mitteametlikes kontekstides, kuna sellel on sageli irooniline või emotsionaalne varjund, mis viitab sunniviisilisele või järsule tegutsemisele. Formaalses keeles eelistatakse neutraalsemaid väljendeid, nagu ""saatma"" või ""suunama"". Seetõttu sobib sõna ""kupatama"" pigem informaalsetesse tekstidesse, näiteks vestlustesse või ilukirjandusse, kuid mitte ametlikesse dokumentidesse või kõnedesse."
"käkkima","midagi kiiruga, kehvasti tegema, midagi ära rikkuma","informaalsetes","Sõna ""käkkima"" kasutatakse eesti keeles kõnekeelses ja mitteametlikus kontekstis. See väljendab sageli kriitilist või halvustavat hinnangut kellegi töö või tegevuse kohta, mis ei vasta ootustele. Sõna ei ole tavapärane ametlikes või formaalsetes tekstides, kuna sellel puudub neutraalne või tõsine toon. Seetõttu sobib see pigem sõpradevahelisse vestlusse, argikeelde või mitteametlikesse olukordadesse."
"leegionär","välismaalt palgatud, mitte oma maa klubis mängiv sportlane","informaalsetes","Sõna ""leegionär"" kasutatakse spordikontekstis välismaalt palgatud sportlase tähenduses peamiselt kõnekeeles ja ajakirjanduses, mis on pigem vabamas toonis. See ei ole ametlikes või formaalsetes tekstides tavapärane, kuna seal eelistatakse neutraalsemaid või täpsemaid väljendeid, nagu ""välismängija"" või ""välismaalt pärit sportlane"". Seetõttu sobib sõnale registrimärgend ""informaalne"", kuna see peegeldab sõna kasutust igapäevases ja mitteametlikus keeles."
"libekala","osava jutuga silmakirjalik tüüp","informaalsetes","Sõna ""libekala"" tähenduses ""osava jutuga silmakirjalik tüüp"" on selgelt kõnekeelne ja kujundlik väljend, mida kasutatakse pigem igapäevases suhtluses või mitteametlikes kontekstides. See kannab endas emotsionaalset või hinnangulist varjundit, mis ei sobi formaalsetesse tekstidesse, nagu ametlikud dokumendid või akadeemilised kirjutised. Neutraalsetes kontekstides võib see samuti tunduda kohatu, kuna sõna on pigem värvikas ja mitteametlik. Seetõttu sobib see kõige paremini informaalsetesse olukordadesse, näiteks sõpradevahelisse vestlusse või populaarsesse meediasse."
"luhvtitama","(raha raiskamise, hoogsa kulutamise kohta)","informaalsetes","Sõna ""luhvtitama"" on kõnekeelne ja pigem slängiväljend, mida kasutatakse igapäevases, vabas suhtluses. See ei sobi ametlikesse või formaalsetesse kontekstidesse, kuna sellel puudub neutraalne või tõsine toon. Sõna kasutamine viitab emotsionaalsele või hinnangulisele suhtumisele raha kulutamisse, mis on tüüpiline pigem sõpradevahelisele jutule või mitteametlikule olukorrale. Seetõttu sobib see kasutamiseks informaalsetes tekstides."
"lutikas","väike pealtkuulamisseade","informaalsetes","Sõna ""lutikas"" tähenduses ""väike pealtkuulamisseade"" on slängiväljend, mis ei ole ametlik ega neutraalne termin. Seda kasutatakse pigem kõnekeeles või mitteametlikes kontekstides, näiteks sõpradevahelises vestluses või meediatekstides, kus taotletakse kõnekeelset või kujundlikku tooni. Formaalses või ametlikes tekstides eelistatakse täpsemaid ja neutraalseid termineid, nagu ""pealtkuulamisseade"" või ""jälgimisseade"". Seetõttu sobib sellele sõnale registrimärgend ""informaalne""."
