Katsesõna	Tähendus	vastus	põhjendus
suts	lühiajaline sooritus, eriti väike teatri- või filmiroll	informaalsetes	"Sõna 'suts' selles tähenduses on pigem kõnekeelne ja mitteametlik väljend, mida kasutatakse vabamas suhtluses. See on metafoorne laiendus sõna 'suts' põhitähendusest (väike kogus, natuke) ning selline ülekantud tähendus on tüüpiline just informaalsele keelekasutusele. Seda tüüpi väljendeid kohtab sageli meelelahutusajakirjanduses, blogides ja vestlustes, kus räägitakse näiteks ""tegema ühe sutsu"" või ""saama väikese sutsu"" filmis või teatris. Ametlikes teatriarvustustes või CV-des kasutataks pigem neutraalsemaid väljendeid nagu ""episoodiline roll"" või ""väike roll""."
vurts	hoog, energia	informaalsetes	Sõna 'vurts' tähenduses 'hoog, energia' on pigem kõnekeelne ja emotsionaalne väljend, mida kohtab sagedamini informaalsetes kontekstides. See on ekspressiivne sõna, mida kasutatakse tihti just vabamas suhtluses, blogides, sotsiaalmeedia postitustes või kõnekeelses dialoogis. Formaalsetes tekstides (nt ametlikud dokumendid, teadusartiklid) eelistatakse neutraalsemaid sünonüüme nagu 'energia', 'hoog' või 'ind'. Sõna 'vurts' kõlab mänguliselt ja dünaamiliselt, mis sobib paremini just vabama suhtlusstiili juurde.
kah	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"	informaalsetes	"Sõna ""kah"" on ""ka"" kõnekeelne variant, mida kasutatakse valdavalt informaalses suhtluses. See esineb sageli blogides, foorumites, sotsiaalmeedia postitustes ja vestlustes, samuti ilukirjanduses tegelaste otsekõnes, kus püütakse edasi anda loomulikku kõnekeelt. Formaalsetes tekstides (nt ametlikud dokumendid, teadusartiklid) kasutatakse selle asemel neutraalset sõna ""ka"". ""Kah"" annab tekstile vabama, sundimatu tooni ning on iseloomulik just argisele keelekasutusele."
klaarima	probleeme, suhteid vms selgitama või lahendama	informaalsetes	"Sõna ""klaarima"" selles tähenduses on kõnekeelne variant neutraalsematest sõnadest nagu ""lahendama"", ""selgitama"" või ""korda ajama"". See esineb sagedamini informaalsetes suhtlusolukordades ja tekstides, näiteks internetifoorumites, sotsiaalmeedia postitustes ja igapäevases kõnekeeles. Formaalsetes dokumentides või ametlikus kirjavahetuses kasutatakse pigem neutraalsemaid sünonüüme. Sõna päritolu (laen saksa või alamsaksa keelest) ja kasutuskontekst viitavad selgelt selle informaalsele registrile."
klappima	"(kokku) sobima	 kooskõlas olema"	informaalsetes	"Sõna ""klappima"" tähenduses ""(kokku) sobima, kooskõlas olema"" on pigem argikeel ja kasutatakse rohkem informaalsetes kontekstides. Selle asemel kasutatakse formaalsetes tekstides tavaliselt neutraalsemaid sünonüüme nagu ""sobima"", ""kooskõlas olema"" või ""ühtima"". ""Klappima"" on eriti levinud suulises kõnes ja vabamas kirjalikus suhtluses, näiteks sotsiaalmeedias või foorumites kasutatavates väljendites nagu ""asjad klappivad"" või ""numbrid ei klapi""."
kompu	"suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus	 väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist"	informaalsetes	Sõna 'kompu' on selgelt mitteametlik, hellitav või lapsekeelne variant sõnadest 'kompvek' või 'komm'. Selline deminutiivne vorm on tüüpiline just argikeelele ja informaalsele suhtlusele. Seda tüüpi sõnu kohtab sageli lastega rääkides, perekondlikus suhtluses või vabamas õhkkonnas. Ametlikes tekstides või neutraalses keelekasutuses kasutatakse pigem sõnu 'komm' või 'kompvek'.
kõnetoru	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"	neutraalsetes/formaalsetes	"See sõna esineb sageli ajakirjanduses, akadeemilistes tekstides ja poliitilistes analüüsides, kus räägitakse meediakanalite või isikute rollist info vahendajana või ideede levitajana. Näiteks võidakse öelda, et ""ajaleht on valitsuse kõnetoru"" või ""organisatsioon toimib erakonna kõnetoruna"". Kuigi sõnal on veidi metafoorne iseloom, on see kujundlikkus keeles sedavõrd juurdunud, et seda kasutatakse neutraalselt ka formaalsetes kontekstides. Sõna ei kanna endas märgatavat informaalset või kõnekeelset varjundit."
parkima	rohkesti ja aplalt sööma	informaalsetes	"See on slängilik, kõnekeelne tähendusülekanne, kus auto parkimise tegevus on ülekantud söömisele. Selline metafoorne kasutus on tüüpiline just argisele keelekasutusele ja slängile. Seda tähendust kohtab peamiselt vabamas suhtluses, sotsiaalmeedia postitustes ja foorumites, mitte ametlikes või neutraalsetes tekstides, kus sama mõtte väljendamiseks kasutatakse neutraalsemaid väljendeid nagu ""aplalt sööma"" või ""õgima""."
pask	(vedel) väljaheide, roe	informaalsetes	Sõna 'pask' on selgelt informaalse registri sõna, mida kasutatakse peamiselt argikeeles ja vabamas suhtluses. Neutraalsetes või formaalsetes kontekstides kasutatakse selle asemel sõnu nagu 'väljaheide', 'roe' või 'fekaalid'. 'Pask' esineb tüüpiliselt just informaalsetes keskkondades nagu internetikommentaarid, argikõne, slängitekstid ja vabamas stiilis kirjanduslik otsekõne. Sõnal on ka teatud määral vulgaarne või madalstiilne konnotatsioon.
pipardama	"tujude järgi talitama, tujukas olema	 ülearu valiv olema"	informaalsetes	"Sõna 'pipardama' on pigem kõnekeelne ja emotsionaalse varjundiga väljend, mida kasutatakse enamasti mitteametlikus suhtluses. See on ekspressiivne sõna, mis sobib hästi just vabamas õhkkonnas kasutamiseks, näiteks argivestlustes või sotsiaalmeedias, kus kirjeldatakse kellegi tujukat või kapriisset käitumist. Sõna kõlab liiga familiaarselt, et seda kasutada ametlikes või formaalsetes tekstides. Selle asemel kasutataks formaalses kontekstis neutraalsemaid väljendeid nagu ""tujutsema"" või ""valiv olema""."
pirakas	kogult, mõõtmetelt hästi suur	informaalsetes	Sõna 'pirakas' on oma olemuselt kõnekeelsem variant sõnadest 'suur' või 'mahukas'. Seda kasutatakse tihti vabamas suhtluses ja informaalsetes kontekstides, kus kõneleja/kirjutaja soovib väljendada end emotsionaalsemalt või ekspressiivsemalt. Ametlikes dokumentides või formaalsetes tekstides (nt teadusartiklid, ametikirjad) eelistatakse neutraalsemaid sünonüüme. 'Pirakas' sobib hästi sotsiaalmeedia postitustesse, blogidesse ja igapäevasesse suhtlusesse, kus keelekasutus on vabam.
plekk	metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)	neutraalsetes/formaalsetes	"Sõna 'plekk' selles tähenduses on tavapärane tehniline termin, mida kasutatakse nii igapäevases kõnes kui ka ametlikes dokumentides, ehitusalastes tekstides, tootekataloogides ja -kirjeldustes. See ei kanna endas informaalset varjundit ega ole piiratud vabama suhtluse kontekstiga. Sõna on neutraalne ja sobib kasutamiseks nii tehnilistes spetsifikatsioonides, kauplustes kui ka tavalises suhtluses, näiteks ""katuseplekk"", ""plekknõud"" või ""plekksepatööd""."
rihtima	oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades	informaalsetes	"Sõna ""rihtima"" antud tähenduses on pigem kõnekeelne ja informaalne variant neutraalsematest väljenditest nagu ""suunama"", ""orienteerima"" või ""kohandama"". See on levinud vabamas suhtluses, blogides, foorumites ja sotsiaalmeedia postitustes. Näiteks võib kohata väljendeid nagu ""jutt rihtis sinna poole"" või ""üritus rihtiti noorematele"". Ametlikes dokumentides või formaalses kirjakeeles eelistatakse tavaliselt neutraalsemaid sünonüüme."
rokk	jahust ja veest segatud loomatoit	neutraalsetes/formaalsetes	See on neutraalne, tehniline termin, mida kasutatakse põllumajanduses ja loomakasvatuses loomatoidu kirjeldamiseks. See ei ole slängilik ega informaalne väljend, vaid tavaline oskussõna, mida võib kohata nii põllumajandusalastes tekstides kui ka tavalistes loomapidamisega seotud juhistes. Sõna kasutus ei viita mingile erilisele kõnekeelsusele ega familiaarsusele.
sitsima	(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides	informaalsetes	"See on pigem argine, kõnekeelne sõna, mida kasutatakse enamasti mitteametlikus kontekstis, näiteks lemmikloomadest rääkides või nendega suheldes. Sõna on mänguline ja emotsionaalne, mitte neutraalne kirjeldus. Formaalsemas kontekstis (nt teadustekstides või ametlikes dokumentides) kasutataks tõenäoliselt neutraalsemat kirjeldust nagu ""tagakäppadel istumine"" või ""kerjav asend"". Sõna ""sitsima"" on tüüpiline näide lemmikloomadega seotud familiaarsest sõnavarast."
sortsutama	"sel viisil kusema	 väikese koguse kaupa korduvalt valama või voolata laskma"	informaalsetes	Sõna 'sortsutama' on oma kõlalt ja kasutuselt pigem argine, kõnekeelne väljend. See on onomatopoeetiline ehk helijäljenduslik sõna, mida kasutatakse eelkõige vabamas suhtluses ja mitteametlikes olukordades. Eriti viitab informaalsusele selle kasutus kusemise tähenduses, mis on selgelt argikõne väljend. Ka vedeliku tilkumise või valamise kirjeldamisel on see pigem kõnekeelne sõna, mida ametlikes või formaalsetes tekstides asendataks neutraalsema väljendiga (nt tilkuma, voolama).
ära kukkuma	(nurisünnituse kohta)	informaalsetes	"See väljend on pigem kõnekeelne ja delikaatse teema puhul kasutatav eufemism, mida kohtab sagedamini mitteametlikes vestlustes, foorumites ja informaalsetes kontekstides. Meditsiinilises või ametlikus kontekstis kasutatakse tavaliselt neutraalsemaid termineid nagu ""nurisünnitus"" või ""spontaanabort"". Väljendi ""ära kukkuma"" kasutamine selles tähenduses võib tunduda liiga familiaarne või lihtsakoeline ametlikus või formaalses kontekstis."
diiler	narkootikumide vahendaja või edasimüüja	informaalsetes	"Sõna 'diiler' narkootikumide müüja tähenduses esineb sagedamini informaalsetes kontekstides nagu foorumid, kommentaariumid ja argikõne. Ametlikes või formaalsetes tekstides (nt õigustekstid, ametlikud dokumendid) kasutatakse pigem neutraalsemaid väljendeid nagu ""narkootikumide vahendaja"" või ""edasimüüja"". Sõna 'diiler' sellises tähenduses kannab endas teatavat slängilist varjundit ja on seotud kriminaalse subkultuuriga."
frukt	"toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn	 vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom"	informaalsetes	Sõna 'frukt' on laensõna vene keelest (фрукт) ning seda kasutatakse eesti keeles peamiselt kõnekeelses, argises kontekstis. Neutraalsetes ja formaalsetes tekstides kasutatakse selle asemel sõna 'puuvili'. 'Frukt' esineb sagedamini just informaalsetes keskkondades nagu foorumid, sotsiaalmeedia postitused ja argikõne. See sõna kannab teatud slängilist või kõnekeelset varjundit ning ei ole ametlikus keelekasutuses eelistatud variant.
frukt	(eriline, iseäralik, konfliktne) tüüp, tegelane	informaalsetes	Sõna 'frukt' selles tähenduses on selgelt kõnekeelne ja slängilik väljend, mida kasutatakse peamiselt informaalses suhtluses. See on tihti negatiivse või iroonilise varjundiga sõna, mida võib kohata internetikommentaarides, foorumites ja argivestlustes, kui räägitakse kellestki, kes on imelik, problemaatiline või silmatorkav. Formaalsetes tekstides kasutataks selle asemel neutraalsemaid väljendeid nagu 'isik', 'inimene' või konkreetsemaid kirjeldavaid sõnu.
jurama	"tüütut, mõttetut, rumalat juttu ajama	 õiendama"	informaalsetes	"Sõna ""jurama"" on oma olemuselt kõnekeelne ja mitteametlik väljend. See esineb peamiselt vabamas suhtluses ja informaalsetes kontekstides nagu sotsiaalmeedia postitused, foorumid või igapäevane suuline suhtlus. Sõnal on kerge halvustav või tauniv varjund, mis viitab tüütu või mõttetu jutu ajamisele. Ametlikes või formaalsetes tekstides kasutatakse selle asemel neutraalsemaid väljendeid nagu ""arutlema"", ""vestlema"" või ""rääkima"". Sõna emotsionaalne laeng ja kõnekeelne iseloom viitavad selgelt selle kuulumisele informaalsesse registrisse."
kannikas	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku	informaalsetes	Sõna 'kannikas' selles tähenduses on pigem kõnekeelne ja familiaarne väljend, mida kasutatakse vabamas suhtluses. See ei ole vulgaarne, kuid siiski mitteametlik alternatiiv neutraalsematele väljenditele nagu 'tuhar' või 'istmik'. Seda kohtab sagedamini informaalsetes kontekstides nagu igapäevane suhtlus, humoorikas kirjandus või vabamas stiilis internetisuhtlus. Ametlikes dokumentides või meditsiinilises kontekstis seda väljendit tavaliselt ei kasutata.
kara	mehe suguliige	informaalsetes	See on slängilik ja vulgaarne väljend suguelundi kohta, mida kasutatakse peamiselt argikeeles ja informaalsetes suhtlusolukordades. Sellist sõna ei kasutata ametlikes dokumentides, teadustekstides ega formaalses suhtluses, kus eelistatakse neutraalseid meditsiinilisi termineid. Sõna esineb pigem internetifoorumites, sotsiaalmeedia postitustes ja argivestlustes.
ketrama	millestki korduvalt, vahetpidamata rääkima	informaalsetes	"Sõna 'ketrama' ülekantud tähenduses 'millestki korduvalt, tüütuseni rääkima' on pigem kõnekeelne ja emotsionaalselt laetud väljend, mida kasutatakse sageli negatiivse varjundiga. See esineb tihti informaalsetes kontekstides nagu foorumid, kommentaariumid ja igapäevane suhtlus, kus soovitakse väljendada teatavat tüdimust või kriitikat kellegi korduva jutu suhtes (nt ""Ta ketrab sama juttu juba mitmendat korda""). Neutraalses või formaalses kontekstis kasutatakse pigem neutraalsemaid väljendeid nagu ""kordama"" või ""üha uuesti rääkima""."
kiilakas	kiilasjää	informaalsetes	Sõna 'kiilakas' tähenduses 'kiilasjää' on pigem kõnekeelne, argine variant neutraalsemast sõnast 'kiilasjää'. Selline lühenenud ja sufiksiga -kas tuletatud vorm on iseloomulik just informaalsele keelekasutusele. Seda tüüpi sõnu kohtab sagedamini suulises kõnes, foorumites ja sotsiaalmeedia postitustes, mitte ametlikes või formaalsetes tekstides, kus eelistatakse neutraalsemat terminit 'kiilasjää'.
klaaruma	"segavatest asjaoludest vabanema (nt udust, pilvedest)	 vaadeldavana puhtamalt, selgemalt paistma hakkama"	neutraalsetes/formaalsetes	"Sõna 'klaaruma' antud tähenduses esineb sageli ilmateadetes, looduskirjeldustes ja muudes neutraalsetes kontekstides, kus kirjeldatakse ilmastikunähtusi või olukorra selginemist. See ei ole eriti argine ega kõnekeelne väljend, vaid pigem kirjakeelne ja neutraalne sõna, mida kasutatakse ka formaalsemas keskkonnas. Näiteks võib seda kohata ilmaprognoosides (""taevas hakkab klaaruma"") või looduskirjeldustes (""udu klaarus aeglaselt""). Sõnal puuduvad tugevad stiililised markeeringud, mis viitaksid informaalsele kasutusele."
kontra	(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule	neutraalsetes/formaalsetes	"See on sporditermin, mida kasutatakse regulaarselt spordiajakirjanduses, spordireportaažides ja -ülevaadetes. Sõna esineb sageli professionaalses kontekstis, kui kirjeldatakse mängutaktikaid või mängu käiku. Kuigi see on laensõna, on see eesti spordikeeles juurdunud neutraalse terminina, mida kasutatakse nii ajakirjanduses kui ka spordispetsialistide poolt ilma kõnekeelsuse või informaalsuse varjundita. Näiteks võib seda kohata spordivõistluste ülevaadetes: ""Meeskond vastas vastase rünnakule kiire kontraga."""
koperdama	vaevaliselt, komistades, aeglaselt käima	informaalsetes	"Sõna 'koperdama' on pigem kõnekeelne ja ekspressiivne väljend, mida kasutatakse sageli just informaalsetes kontekstides, kui tahetakse värvikalt kirjeldada kellegi kohmakat või ebakindlat liikumist. See sõna kannab endas teatavat hinnangulist või pilkavat varjundit. Neutraalsemas kontekstis kasutataks pigem väljendeid nagu ""vaevaliselt käima"" või ""komistades liikuma"". 'Koperdama' sobib hästi just vabamas suhtluses, blogitekstides või ilukirjanduslikus dialoogis."
kräkk	eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast	informaalsetes	Kuigi 'kräkk' on narkootilise aine nimetus, kasutatakse seda vormi (kirjapildiga 'kräkk') peamiselt informaalsetes kontekstides. Formaalsetes või neutraalsetes tekstides (nt uudised, teadusartiklid) kasutatakse pigem täpsemat terminit 'crack-kokaiin' või 'crack'. Sõna 'kräkk' on eestindatud slängilik variant, mida kohtab rohkem argikõnes, foorumites, sotsiaalmeedia postitustes ja muudes mitteametlikes suhtlussituatsioonides. Sõna foneetiline kirjapilt (k ja ä kasutamine) viitab samuti informaalsele kasutusele.
kupatama	kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama	informaalsetes	"Sõna ""kupatama"" antud tähenduses on pigem kõnekeelne ja emotsionaalselt laetud väljend, mida kasutatakse sageli informaalses kontekstis. See väljendab tegevuse sunniviisilist ja võib-olla isegi veidi agressiivset iseloomu. Näiteks laused nagu ""Ema kupatas lapsed õue mängima"" või ""Ülemus kupatas kõik koosolekule"" on tüüpilised just vabamas suhtlussituatsioonis, mitte ametlikus või formaalses kontekstis. Formaalses tekstis kasutataks selle asemel neutraalsemaid väljendeid nagu ""saatis"", ""suunas"" või ""palus minna""."
käkkima	"midagi kiiruga, kehvasti tegema	 midagi ära rikkuma"	informaalsetes	"Sõna 'käkkima' on oma olemuselt kõnekeelne ja mitteametlik väljend. See on levinud just vabamas suhtluses, sotsiaalmeedias, foorumites ja igapäevases kõnekeeles. Sõna kannab endas teatavat hooletuse ja kiirustamise varjundit ning seda ei peeta sobivaks kasutada ametlikes dokumentides või formaalses kirjavahetuses. Formaalsemas kontekstis kasutatakse selle asemel neutraalsemaid väljendeid nagu ""ebaõnnestuma"", ""ära rikkuma"" või ""kehvasti tegema""."
leegionär	välismaalt palgatud, mitte oma maa klubis mängiv sportlane	neutraalsetes/formaalsetes	"Sõna 'leegionär' selles tähenduses esineb sageli spordiajakirjanduses ja -uudistes, kus seda kasutatakse neutraalse terminina välismaal mängivate sportlaste kohta. See ei ole slängilik ega informaalne väljend, vaid pigem ajakirjanduslik ja spordimaailmas üldlevinud termin. Seda kasutatakse tihti ka ametlikes spordiülevaadetes ja intervjuudes. Näiteks: ""Eesti jalgpalli leegionärid tegid välismaa klubides head mängu"" või ""Klubi otsustas palgata kaks uut leegionäri"" on tüüpilised näited selle sõna neutraalsest kasutusest."
libekala	osava jutuga silmakirjalik tüüp	informaalsetes	See on kujundlik, halvustava varjundiga väljend, mida kasutatakse peamiselt kõnekeelses ja mitteametlikus suhtluses. Sõna 'libekala' selline ülekantud tähendus viitab inimesele, kes on kaval ja libekeelne, ning sellist metafoorset keelekasutust kohtab tavaliselt just informaalsetes kontekstides nagu argivestlused, sotsiaalmeedia postitused või foorumikommentaarid. Ametlikes või formaalsetes tekstides eelistatakse neutraalsemaid väljendeid.
