Katsesõna	ÜS_definitsioon
aasialane	"Aasia elanik	 Aasia päritolu inimene"
aasialik	"nende kultuurile, elulaadile iseloomulik	 Aasiale või asiaatidele omane"
aasima	(naljatlevalt, lõõpivalt) nöökama, nöökima
Aasov	sisemeri Ukraina kagupiiril, mis on Kertši väina kaudu ühenduses Musta merega
Aasovi meri	sisemeri Ukraina kagupiiril, mis on Kertši väina kaudu ühenduses Musta merega
Aaspere	küla Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
aasristmik	mitmetasandiline, paljude loogetega ristmik
aasta	365 või 366 päeva pikkune periood, mis on jagatud 12 kuuks ja algab 1. jaanuaril ning lõpeb 31. detsembril
aasta-aastalt	aastast aastasse, iga aastaga
aasta otsa	kogu aasta jooksul ilma katkestamata, terve aasta
aasta ringi	kogu aasta jooksul ilma katkestamata, terve aasta
aastaaeg	igal aastal korduv, looduslikult erineva ilmega osa aastast (kevad, suvi, sügis või talv)
aastake	(lüheldasena näiv, ainult üks) aasta
aastakene	(lüheldasena näiv, ainult üks) aasta
aastakäik	aasta, mis seob omavahel asjad või inimesed, kes või mis on sel aastal sündinud või loodud
aastakümme	kümme aastat, kümneaastane ajavahemik (hrl ühest täiskümnest teise täiskümneni)
aastaleping	leping aasta peale, aastase tähtajaga leping
aastane	"üks aasta vana	 üks aasta kestev"
aastanumber	kalendriaastat märkiv arv
aastapikkune	üks aasta kestev
aastapreemia	preemia aasta töö eest
aastapäev	päev, mil möödub teatud arv aastaid mingist sündmusest, millegi asutamisest, rajamisest vms
aastaraamat	iga aasta ilmuv väljaanne, raamat (hrl ühingu, teadusasutuse vms artiklite, ülevaadete kogumik)
aastaring	rõngana nähtav aastane juurdekasv puutüve ristlõikel, kalade soomustel, kilpkonna kilbil vm, aastane kasvurõngas
aastaringne	läbi aasta kestev või toimuv
aastaringselt	kogu aasta jooksul ilma katkestamata, terve aasta
aastarõngas	rõngana nähtav aastane juurdekasv puutüve ristlõikel, kalade soomustel, kilpkonna kilbil vm, aastane kasvurõngas
aastasada	(ajaarvamises:) sada aastat kestev ajavahemik
aastaselt	ühe aasta vanusena
aastatepikkune	aastaid kestev või kestnud
aastati	eri aastatel
aastatuhat	(ajaarvamises:) tuhat aastat kestev ajavahemik
aastavahetus	kalendriaasta vahetumine
aastavanune	üks aasta vana
Aasu	küla Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
Aasukalda	küla Lääne-Viru maakonnas Viru-Nigula vallas (Viru-Nigula kihelkonnas)
Aasumetsa	küla Lääne-Viru maakonnas Haljala vallas (Kadrina kihelkonnas)
Aasuvälja	küla Järva maakonnas Türi vallas (Türi kihelkonnas)
aažio	raha või väärtpaberi tegeliku börsihinna ja sellest madalama nimiväärtuse vahe
aateline	aadetest lähtuv, neid tähtsaks pidav
aatom	aine, keemilise elemendi väikseim osake, mis koosneb tuumast ja elektronkattest
aatomielektrijaam	tuumkütusel töötav soojuselektrijaam
aatomifüüsika	aatomi, eriti aatomi elektronkatte ehitust uuriv füüsika haru
aatomireaktor	seade tuumaenergia saamiseks
aatomispekter	isoleeritud aatomi kiirgusspekter või neeldumisspekter, mis on tingitud aatomite üleminekust ühelt elektronkatteolekust tulenevalt energiatasemelt teisele
aatomituum	aatomi positiivselt laetud keskosa, mis koosneb prootonitest ning neutronitest
aatommass	aine ühe aatomi mass mõõdetuna süsinikuühikul põhinevates aatommassiühikutes
aatommassiühik	aatomite jt mikroosakeste massi mõõtühik (1/12 süsiniku isotoobi 12C aatomi massist)
Aavere	küla Harju maakonnas Anija vallas (Harju-Jaani kihelkonnas)
Aavidu	paik (küla) Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
Aaviku	küla Harju maakonnas Rae vallas (Jüri kihelkonnas)
Abaja	küla Järva maakonnas Järva vallas (Koeru kihelkonnas)
Abakan	linn Venemaal, Hakassia pealinn
abažuur	valgust suunav ning mahendav (pehmest materjalist) kate elektrilambil
abatükk	looma lihakeha abaluuga tükk
abdoomen	rindkere ja vaagna vahel asetsev seedeelundeid sisaldav kehaosa
Aberdeen	linn Ühendkuningriigis Šotimaa kirdeosas
aberratsioon	kõrvalekalle või hälve
Abessiinia	merepiirita riik Aafrika idaosas
abessiinlane	"Etioopia päritolu inimene	 Etioopia kodanik või elanik"
abessiiv	(grammatikas:) kääne, mis vastab küsimustele kelleta?, milleta? (nt vennata, majata)
abhaas	ühe Taga-Kaukaasia rahva liige
Abhaasia	autonoomne vabariik Gruusias Musta mere ääres
abi	(inimese kohta:) abiks, toeks olev, vajadusel asendav
abi	"see, mis või kes aitab	 aitamine, abistamine"
abiaine	(hrl ravimi kohta:) teatud lisaaine, mis tagab põhiaine õige koostise, hea toime, säilivuse vms
Abidjan	linn Elevandiluurannikul, endine pealinn
abielluma	abiellu astuma, abielu sõlmima, naist võtma või mehele minema
abiellumine	abielu ametlik registreerimine
abielu	kahe inimese, hrl mehe ja naise ametlikult registreeritud perekondlik liit ning kooselu
abieluettepanek	ettepanek selle tegijaga abielluda, abiellumisettepanek
abielukolmnurk	olukord, mis on tekkinud ühe abielupoole armuvahekorrast kellegagi väljaspool abielu
abielulahutus	abielu lõpetamine seadusega kehtestatud korras abielupoolte eluajal
abieluline	abielule iseloomulik, sellega seotud, sellesse puutuv
abieluvõrdsus	olukord, kus seaduslik õigus abielluda on nii sama- kui erisoolistel paaridel
abijoon	abiks olev, põhijoonest peenem joon, nt telg-, mõõt-, viirutusjoon
abijõud	"abistav või abitöid tegev töötaja, kellegi abiline	 sellised inimesed kogumina"
abikaasa	inimene, kellega ollakse abielus, üks abielupool teise abielupoole suhtes
abikeel	suhtlemise abivahendiks olev keel põhikeele, nt riigi-, rahvus-, õppekeele kõrval
abikõlblik	abi saamise tingimustele vastav, sobiv toetust saama
abikäsi	abi (osutamine), toetus
abil	midagi kasutades või appi võttes, millegi vahendusel, millegagi
abiline	inimene, kes abistab kedagi, abiks olev inimene (kas ajutiselt, juhuslikuna või pidevalt)
abilöök	sõjas, lahingus pealöögi edu tagamiseks teisal antav vähemajõuline löök
abimees	abistav isik, olend, ese vm
abinõu	mingi eesmärgi saavutamiseks rakendatav tegevus või toiming(ud)
abiogenees	elusolendi tekkimine elutust ainest
abipersonal	lihtsamaid või abitöid tegev personal
abiprogramm	mingi tegevuse toetamiseks või kellegi abistamiseks mõeldud hrl riigi, fondi vm (rahvusvahelise) ühenduse rahastatud kava
Abissaare	küla Põlva maakonnas Kanepi vallas (Kambja kihelkonnas)
abistama	kellelegi abi osutama, nõu, jõuga vm moel abiks või toeks olema
abistamine	kellelegi abi osutamine, nõu, jõuga vm moel abiks või toeks olemine
abitu	"hädas olev, kaitset, tuge, abi vajav	 kaitsetust või jõuetust väljendav"
abiturient	keskkooli või gümnaasiumi lõpuklassi õpilane
abitus	tunne, et ei ole võimalik midagi teha
abituurium	"lõpuklassi(de) õpilased	 gümnaasiumi või keskkooli lõpuklass(id)"
abitöö	põhitööd teenindav töö
abivaim	abistav jõud või vägi (nt šamanismis)
abivalmis	selline, kes on meelsasti nõus abistama
abivägi	"abistav või abitöid tegev töötaja, kellegi abiline	 sellised inimesed kogumina"
Abja	paik Viljandi maakonnas Mulgi vallas (Halliste kihelkonnas)
Abja-Paluoja	linn Viljandi maakonnas Mulgi vallas (Halliste kihelkonnas)
Abja-Vanamõisa	küla Viljandi maakonnas Mulgi vallas (Halliste kihelkonnas)
Abjaku	küla Viljandi maakonnas Mulgi vallas (Halliste kihelkonnas)
ablas	(hrl looma, harvemini inimese kohta:) ahne sööma või jooma, ahmides ja palju sööv
ablastuma	aplaks muutuma
ablatiiv	(grammatikas:) kääne, mis vastab küsimustele kellelt?, millelt? (nt vennalt, majalt)
ablatsioon	liustiku pealispinna kulumine aurumise, sulamise ja liustiku pinnal voolavate vete toimel
abnormne	"ebaloomulik, selline, nagu ei tohiks olla	 tavapärasest, harjunud normist kõrvale kalduv"
abnormsus	kõrvalekalle, erinevus tavapärasest
abolitsionism	mingi seaduse (nt surmanuhtluse) tühistamist taotlev ühiskondlik liikumine
abolitsioon	seaduse või otsuse tühistamine
abonement	"ettetasumisega saadud õigus midagi kasutada või külastada, nt loengud, etendused, võistlused vm	 seda õigust tõendav kaart, pilet vms"
abonent	eelnevalt ostetud õiguse kasutaja ning omaja (nt telefoninumbri, telekanali vm korral)
aborigeen	mingi maa või paiga algse rahva, põlisrahva liige
aborigeenne	"kohapealsest lähtematerjalist tekkinud	 pärismaine, samas paigas kujunenud või moodustunud"
abort	raseduse või tiinuse katkemine või katkestamine enne loote ellujäämisvõime saavutamist
aborteerima	loodet enneaegselt väljutama, aborti tegema
abortima	loodet enneaegselt väljutama, aborti tegema
abrasiiv	peeneteraline väga kõva aine, millest tehakse lõikeriistu (nt korund, smirgel, teemant)
abrasiivaine	peeneteraline väga kõva aine, millest tehakse lõikeriistu (nt korund, smirgel, teemant)
Abruka	väike saar Liivi lahes Saaremaa lõunaranniku lähedal
absint	koirohu- ja aniisilisandiga kange alkohoolne jook
absoluteerima	täiuslikuks, kõikehõlmavaks vms taoliseks pidama või muutma
absolutiseerima	täiuslikuks, kõikehõlmavaks vms taoliseks pidama või muutma
absolutism	riigi valitsemise vorm, kus ühele isikule (monarhile) kuulub nii seadusandlik, täidesaatev kui ka kohtuvõim (levinud 17.-18. sajandil)
absoluut	selline, mis on ise lähtesuurus või põhiühik ega sõltu, ei ole tingitud millestki muust
absoluutne monarhia	riigi valitsemise vorm, kus ühele isikule (monarhile) kuulub nii seadusandlik, täidesaatev kui ka kohtuvõim (levinud 17.-18. sajandil)
absoluutselt	täiel määral, kogu ulatuses
absoluutväärtus	reaalarvu positiivsena esitatav väärtus
absorbeerima	"kiirgust, heli, elementaarosakeste voogu tugevuselt nõrgendama	 mingit ainet imama"
absorbeeruma	(kiirguste, helide, elementaarosakeste voogude kohta:) teatud aines, keskkonnas tugevuselt nõrgenema
absorptsioon	"protsess, milles kiirgus või heli neeldub keskkonnas või aines, kiirguse absorbeerimine või absorbeerumine	 neelamine, imamine või neeldumine"
abstraheerima	"üldistele mõistetele ja arenemisseadustele siirduma	 asjade ja nähtuste omadusi või seoseid mõtteliselt üldistama, iseseisva mõistena vaatlema, neid abstraktseks kujundama"
abstraheeruma	üldistatud mõtteliseks konstruktsiooniks kujunema, millekski abstraktseks muutuma
abstraktsionism	maalis, skulptuuris ja graafikas viljeldav modernistlik kunstisuund, mis on loobunud reaalsuse esemete ja figuuride kujutamisest äratuntaval kujul, kunstiline väljendus saavutatakse looduslikke vorme abstraheerides ja deformeerides, värve, jooni, pindu ja vorme ühendades
abstraktsioon	abstraheerimine, mõistuslik menetlus, mille käigus üldistatakse tegelikkuses esinevate asjade ja nähtuste omadusi või seoseid, vaadeldakse neid iseseisva mõistena
abstsess	põletiku tagajärjel loomsetes kudedes tekkiv piirdunud mädakogum
absurd	terve mõistuse või loogilise mõtlemisega vastuolus olev nähtus, väljend, mõte
absurdne	"ebaloogiline või terve mõistusega vastuolus olev	 seetõttu jabur"
Abu Dhabi	Araabia Ühendemiraatide pealinn
Abuja	Nigeeria pealinn
Abula	küla Saare maakonnas Saaremaa vallas (Mustjala kihelkonnas)
Aburi	küla Lääne-Viru maakonnas Väike-Maarja vallas (Väike-Maarja kihelkonnas)
abüssaal	"väga sügav meri	 veekiht, mis asub ookeani või mere pinnast rohkem kui 3000 meetrit sügavamal"
accelerando	kiirenedes, üha kiirenevas tempos
Accra	Ghana pealinn
Aceh	Indoneesia provints
Achilleuse kand	nõrk koht, puudus
action	"suur lärm	 äge (lärmakas) tegevus või liikumine (nt tänavarahutustega seonduv, põgenemine ja tagaajamine)"
action-film	katkematu tegevuse ja kaskadööritrikkidega tempokas film, milles on võitlust, tagaajamist, päästeaktsioone vms
ad hoc-komisjon	kindlaks juhtumiks moodustatav töörühm
ad hoc-komitee	kindla ülesande juhtimiseks moodustatav komitee, ajutine juhtrühm
adaadžo	"hrl sümfoonia või sonaadi aeglane (teine) osa	 ka aeglase tempoga iseseisev helitöö"
Adaka	küla Lääne-Viru maakonnas Haljala vallas (Haljala kihelkonnas)
adaptatsioon	"vastav olek	 organismide või nende osade ehituse või talitluse kujunemine selliseks, et see tagab teatud elutingimustes parimini isendi või liigi säilimise ja populatsiooni suurenemise"
adapter	seade või detail, mis võimaldab ühendada omavahel eri elektriseadmeid
adaptsioon	"lihtsustatud ja/või kärbitud tekst	 teksti muutmine mõistetavamaks, seda lihtsustades ja kärpides"
Adavere	alevik Jõgeva maakonnas Põltsamaa vallas (Põltsamaa kihelkonnas)
Addis Abeba	Etioopia pealinn
adekvaatne	millelegi täiesti vastav, millegi suhtes õige, täpne
Adelaide	linn Austraalias
Aden	linn Jeemenis, endine Lõuna-Jeemeni pealinn
adeniit	mingi näärme põletik organismis
ader	maaharimisriist kündmiseks, muldamiseks vms
adessiiv	(grammatikas:) kääne, mis vastab küsimustele kellel?, millel? (nt vennal, majal)
Adila	küla Rapla maakonnas Kohila vallas (Hageri kihelkonnas)
Adiste	küla Põlva maakonnas Põlva vallas (Põlva kihelkonnas)
adjektiiv	omadust väljendav sõna (nt punane)
adjektiveeruma	(grammatikas:) omadussõnaks ehk adjektiiviks muutuma
adjutant	kõrgema ülema või asutuse käsutuses olev eriülesandeid täitev ohvitser
adjöö	hüvasti, jumalaga
adm	"viitseadmiralile järgnev kõrgeim ohvitseri auaste Eesti jt riikide mereväes	 selles auastmes ohvitser"
administraator	hotelli vm asutuse igapäevast tööd korraldav ametiisik
administratiiv	millegi juhtimise ja korraldamisega seotud
administratiivne	millegi juhtimise ja korraldamisega seotud
administreerima	asutust, teatavat töölõiku vms juhtima ja korraldama, selle eest vastutama
Admiraliteedisaared	Paapua Uus-Guineale kuuluv saarestik
adopteerima	võõrast last oma seaduslikuks lapseks võtma
adoptsioon	võõra lapse oma seaduslikuks lapseks võtmine
Adra	küla Harju maakonnas Harku vallas (Keila kihelkonnas)
Adraku	küla Jõgeva maakonnas Mustvee vallas (Torma kihelkonnas)
Adrianoopol	linn Türgi Euroopa-osas
adžaar	Adžaariast pärit, sealset murret kõnelev grusiin
Adžaaria	autonoomne vabariik Gruusias Musta mere ääres
aduma	mõistuse abil või tajudes milleski selgusele jõudma või selgusel olema
adventiiv	(taime kohta:) võõrsilt toodud või tulnud, tulnukana elutsev
adventiivne	(taime kohta:) võõrsilt toodud või tulnud, tulnukana elutsev
adventist	adventismi pooldav ja sellesse uskkonda kuuluv inimene
adverb	muutumatu sõna, mis väljendab aega, kohta, viisi, määra vm (nt nüüd, ruttu) või annab eri tähendusvarjundi mõnele sõnale (või fraasile, lausele)
adverbiaal	(grammatikas:) lauseliige, mis on omadussõna või määrsõna laiend või niisugune pöördsõna laiend, mis ei ole sihitis ega öeldistäide
adverbistuma	määrsõnaks muutuma
advokaat	õigusabi osutav, kedagi kohtus esindav ning kaitsev jurist
advokatuur	advokaatide kutseühendus, mis korraldab õigusabi andmist ja kaitseb advokaatide õigusi
Adõgee	Venemaa koosseisu kuuluv vabariik Põhja-Kaukaasias
AE-koostöö	avaliku ja erasektori partnerlus
aedik	taraga piiratud väike ala või ruum (noor)loomade eraldamiseks
aedkannike	lillakas- ja kollakaskirjude suurte õitega ilutaim
aedkool	lasteaed ja algklassid ühe asutusena
aedmurakas	Põhja-Ameerikast pärinev aedades kasvatatav mustade vaarikasarnaste viljadega poolpõõsas
aednik	aiandusega, aiakultuuride kasvatamisega (elukutseliselt) tegelev isik
aedtill	maitsetaimena kasvatatav aromaatne köögivili
aedvili	hrl kasvatatav taim, mille osi või tervet taime tarvitatakse söögiks, nt kartul, kapsas, porgand, tomat, aedhernes, salat
aeg-ajalt	aeg-ajalt (ette tulles), mõne aja tagant (kordudes), mõnel juhul
aega nõudev	rohkesti aega kulutav, ajaliselt kaua kestev
aega viitev	tarbetult aega nõudev
aega viitmata	kohe, ilma et muule aega raiskaks, pikemalt mõtlemata
aega võttev	rohkesti aega kulutav, ajaliselt kaua kestev
aegajaline	aeg-ajalt toimuv
aegamisi	vähehaaval, aja jooksul, järk-järgult
aegamööda	vähehaaval, aja jooksul, järk-järgult
aeganõudev	rohkesti aega kulutav, ajaliselt kaua kestev
aegapidi	vähehaaval, aja jooksul, järk-järgult
aegaviitev	tarbetult aega nõudev
aegaviitmatult	kohe, ilma et muule aega raiskaks, pikemalt mõtlemata
aegavõttev	rohkesti aega kulutav, ajaliselt kaua kestev
aeglus	(väga) aeglane liikumine, tegutsemine või toimimine, (teadlik, sunnitud) mitte kiirustamine
aeglustama	mingit protsessi või liikumist aeglase(ma)ks muutma
aeglustuma	aeglase(ma)ks muutuma või jääma
aeglustus	millegi aeglase(ma)ks muutmine või muutumine, aeglasemaks jäämine
Aegna	saar Soome lahes Tallinna lähedal
aegne	määratud aega kuuluv või kuulunud, sellest ajast pärit
aegruum	(relatiivsusteoorias:) aeg ja ruum mateeria eksisteerimise ühtse vormina, aja ja ruumi suhtelisuse, sündmuste maailma neljamõõtmeline tervik (üks ajaline ja kolm ruumimõõdet)
aegsalt	piisava ajavaruga
aegsasti	piisava ajavaruga
aegselt	millegagi samaaegsena, millegi ajal või jooksul
aegu	(ligikaudu) mingil ajal
aeguma	oma ajakohasust kaotama, oma aja äraelanuks muutuma, moraalselt vananema
aegumatu	mitte kunagi aeguv
Aegviidu	alev Harju maakonnas Anija vallas (Ambla kihelkonnas)
Aela	küla Harju maakonnas Kose vallas (Juuru kihelkonnas)
aelema	eesmärgita, tegevusetult ringi hulkuma või kolama
aer	labast ja varrest koosnev vahend paadi (varem ka laeva) liikumapanekuks inimjõul
aerodroom	lennukite startimiseks, maandumiseks ja hoolduseks kohandatud maa-ala
aerofoto	õhust pildistatud maapinna foto
aerofotograafia	õhust pildistamine
aerograaf	seade, mis mingit ainet pihustab suruõhu toel (nt puhastustöödel, värvimustrite riidele kandmisel)
aeroobik	inimene, kes tegeleb aeroobikaga
aeroobika	"vastav treeningutund	 intensiivne rütmikas võimlemine või tantsimine muusika saatel"
aeroobikaharrastaja	inimene, kes tegeleb aeroobikaga
aeroplaan	õhust raskem tiibadega õhusõiduk, mis lendab jõuseadme abil tekitatud tõstejõu toimel
aerutaja	aerutamise kui võistlusalaga tegelev sportlane, hrl kanuu- või süstasportlane
Aesoo	küla Pärnu maakonnas Tori vallas (Tori kihelkonnas)
Aespa	alevik Rapla maakonnas Kohila vallas (Hageri kihelkonnas)
aevastus	aevastamisega kaasnev õhu ninast (ja suust) väljapurskamine
afaasia	ajukahjustusest põhjustatud võimetus end sõnades ja kirjas väljendada või kõnest ja kirjast aru saada
aferist	afääridega tegeleja, sahkerdaja, petis
afgaani	Afganistani rahaühik
afgaani keel	Iraani keel, mida kõneldakse peamiselt Afganistanis ja Põhja-Pakistanis
Afganistan	riik Ees-Aasias Iraani ja Pakistani vahel
afišš	reklaamkuulutus (või plakat) nt tänavatel ülespanemiseks
afoonia	"haiguslik seisund, kus hääle tekkimine on täielikult häiritud	 täielik häälekaotus"
afrikaani keel	hollandi keele alusel kujunenud keel, mida kõneldakse Lõuna-Aafrika Vabariigis
afroameerika	afroameeriklastega seotud
afroameeriklane	mustanahaline ameeriklane
Ag	valge läikiv väärismetall, keemiline element järjenumbriga 47
aga	(vastandavalt:) seob lauseid või lauseosi, mis sisaldavad vastandavaid või piiravaid väiteid või asjaolusid
Agali	küla Tartu maakonnas Kastre vallas (Võnnu kihelkonnas)
aganad	viljapeksul ja -puhastusel teravilja või heinaseemne hulgast eralduvad õisikute ja lehtede peenemad, kergemad osakesed
aganane	aganaid sisaldav, aganaid täis, aganatega koos
aganik	viljapuhastuse jääkide ehk aganate vms hoidmise ruum
agar	innukalt millegagi tegutsev või tegelev või midagi tegev, hakkaja ja ettevõtlik
agarus	innukus, suur ettevõtlikkus ja pealehakkamine
Agasilla	paik (küla) Pärnu maakonnas Pärnu linna halduspiirkonnas (Audru kihelkonnas)
Agban	linn Venemaal, Hakassia pealinn
agens	mõju avaldav asjaolu, nähtus vms, mõjuv tegur
agent	luure, politsei vms salajane kaastööline
Ageri	küla Järva maakonnas Järva vallas (Järva-Madise kihelkonnas)
agitaator	hrl poliitilise selgitustöö tegija, midagi tegema õhutaja
agitatsioon	rahva poliitiline mõjustamine vestluste, meedia vm kaudu
agiteerima	midagi tegema innustama, milleski veenma
agoonia	organismi talitluste vaibumise järk surma eel
Agra	linn Indias Uttar Pradeshi osariigis
agraafia	ajukahjustusest põhjustatud osaline või täielik võimetus kirjutada
agraar	maavaldusse ja maakasutusse puutuv, põllumajandusega seotud
agraar-industriaalne	nii põllumajanduse kui ka tööstusega seotud, agraarne ja industriaalne
agraarajalugu	põllumajandust käsitlev majandusajaloo osa
agraarkord	(feodaalaja) põllumajanduslike suhete ning maavalduse süsteem
agraarne	maavaldusse ja maakasutusse puutuv, põllumajandusega seotud
agraarpoliitika	valitsuse kehtestatud abinõude süsteem, mis on suunatud oma riigi põllumajanduse arendamisele
agressiivne	füüsilise jõuga, sõnadega vm viisil kallale tungiv või rünnata tahtev
agressioon	ühe või mitme riigi relvis kallaletung teisele riigile
agressor	riik, kes tungib kallale teisele riigile
agro	põllumajanduse, põllundusega seotud
agroindustriaalne	nii põllumajanduse kui ka tööstusega seotud, agraarne ja industriaalne
agrokeemia	teadus, mis uurib taime, mulla ja väetiste vastastikuseid seoseid
agrometeoroloogia	teadusharu, mis uurib meteoroloogilisi, klimaatilisi ja hüdroloogilisi tingimusi, mis mõjutavad põllumajandust
agronoom	maaviljeluse eriteadlane
agronoomia	põllumajanduslikku tootmist, esmajoones maaviljelust uuriv rakendusteadus
agronoomiline	põllumajanduse, põllumajandusteadusega seotud
agrotööstuskoondis	mingi maa-ala põllumajandust ja sellega seotud tööstust ühendanud ettevõte Nõukogude Liidus
agroökosüsteem	ökosüsteem, milles orgaanilist ainet toodavad kultuurtaimed, kuid ka umbrohud, parasiidid jt kaaslejad
agu	varahommikune hämar aeg enne päikesetõusu, koiduaegne helendus idataevas
agueoon	Maa geoloogilises ajaloos teine suurim (ühtlasi pikim) ajavahemik (järgneb arhaikumile ehk ürgeoonile ja eelneb fanerosoikumile)
agul	ääre- või eeslinn, kus elab (või on algselt elanud) vaesem rahvas
