Katsesõna	Tähendus
kargutama	"(looma kohta:) sugutama	 (mehe kohta:) kedagi magatama, kellegagi seksima"
kassikontsert	kassi(de) kisa
kaukaaslane	tugeva kehaehitusega võõraste suhtes umbusaldava loomuga koer, keda kasutatakse peamiselt karja ja kodu kaitsmisel
keksima	millestki uhkeldades rääkima, ennast sel viisil tähtsaks tegema või tähelepanu püüdma
kepitama	kepikõndi tegema
keretäis	kõhtu täitev, küllalt suur kogus (söödavat, joodavat)
kibedik	"alkoholi sisaldav kange jook, mis näeb välja nagu vesi	 peamiselt teraviljast või kartulist saadav kange värvitu alkohoolne jook, mis sisaldab vett ja destilleeritud etanooli"
kihvt	(hinnanguna:) väga tore, vaimustust või imetlust äratav
kirevane	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
kirvenägu	jämedajooneline, rohmakas, tuim nägu (inimesel)
klants	sära, läige
klatt	korda aetud, korras
kleepekas	väike info- või reklaamsilt mingile pinnale kleepimiseks (elektrooniline või liimikihiga silt)
klohmima	peksma, taguma
koba	kohmakas ja saamatu või kehvade oskustega
kobima	kohmitsedes, tüdinult kuhugi (nagu sisse pugedes) minema või midagi tegema
kobisema	pomisedes rääkima, hrl rahulolematust väljendades, millegi üle õiendama
kodinad	kuhugi kaasavõetavad tarbeasjad (nt reisivarustus, sporditarbed, riided)
kohi	"kastreeritud	 suguvõimetu"
kooberdama	viletsalt, vaevaliselt käima, vaevaliselt edasi liikuma
koss	(suur) jalats
krapp	reproduktor, ka transistorraadio
krehvtine	kange, teravamaitseline
krempel	"vähehinnatav üritus	 väheväärtuslik, kulunud kraam kogumina"
kriimsilm	"hall metsloom, kes on välimuselt koera moodi ja sööb liha	 suure koera sarnane enamasti halli värvi kiskja"
krimka	kriminaaljutt, -romaan või -film
kroonu	sõjavägi, sõjaväeteenistus
kroonu	riik, riigivõim
krutski	taipamist eeldav, nuputama, leiutama sundiv asjaolu (mis tähelepanuta olekus võib märkamata jääda)
kuli	(hrl semulikult poiste või meeste kohta:) kutt, sell
kupatus	asjade, inimeste, toitude, olukordade vm kogum koos kõige juurdekuuluvaga
kuradinahk	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
kuriloom	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
kurinahk	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
kurjam	pahategija, kurikael
kutu	otsas, omadega läbi
kõlakas	suust suhu liikuv jutt, sõnum vms, millel ei pruugi tõepõhja olla
kõngema	surema
käpard	kohmakas ja saamatu või kehvade oskustega
kärbsesitt	kärbeste tekitatud mustus, hrl kärbeste väljaheited
kärvama	surema
könn	(üleolevalt kellegi meelest alaväärse inimese, harvemini looma kohta)
küljeluu	(roide kohta)
küpse	(inimese oleku, seisundi kohta:) omadega läbi, pehmeks tehtud, vastupanuvõimeta
ladna	(inimese kohta:) lahke, sõbraliku rahvameheliku olekuga
laga	lahja vesine jook või toit
lake	lahja vesine jook või toit
lantima	(seks)partnerit otsima, kedagi (või midagi) kätte saada püüdma
limusk	tigu vm limune
liru	õhuke ja hõre, vähe vastupidav
litakas	"löök, hoop	 pauk"
lobi	söök (hrl vedel toit või supp)
lohv	painduvast materjalist toru hrl vedeliku või gaasi teisaldamiseks
lokerdama	"(kolisedes ja raputades) aeglaselt sõitma	 kolisedes, raputades aeglaselt sõitma"
lubjakas	vanainimene
luukamber	oskuste kontroll (nt laulukooris)
lõuakas	suure jutuga, sõnakas
lõust	(halvustades või sõimates:) ebameeldiv, veider, koletislik nägu või olend
maamuna	planeet Maa
maha lööma	kedagi ära tapma
mammi	vanem naisterahvas
mampsel	(mitte enam noor) naine
mamsel	(mitte enam noor) naine
maoldama	pikaliasendis kõhuli olema või lohakalt, lõdvalt kuskil lebama
maotäis	kõhtu täitev, küllalt suur kogus (söödavat, joodavat)
masinavärk	asjade käik, mingi protsessi või nähtuse toimumise mehhanism
mestima	ühel nõul tegutsema, kellegagi seltsima
mill	"1 000 000	 tuhat tuhandet (106, 1 000 000)"
millas	"küsiv-siduv sõna: mis ajal	 mis ajal"
misjaoks	"(küsimusena:) mille pärast, mis põhjusel	 mis põhjusel"
musu	"(väike, kerge) suudlus	 kerge suudlus"
muti	"naine, kellel on laps või lapsed	 naissoost vanem, naine oma lapse või laste suhtes"
mutukas	(parasiit)putukas
mängumees	meeskondlikus sportmängus osaleja, mängust osavõtja (nt korvpallis)
mögin	(kokku segatud) püdel mass
mögisema	"rahulolematust väljendades õiendama	 segast juttu ajama (ka rääkimise kohta üldse)"
möku	ettevõtlikkuseta, otsustusvõimetu, saamatu
nahatäis	(peksaandmise või -saamise, karistamise kohta)
naistekas	naisi huvitava sisuga meelelahutuslik romaan, filmisari, ajakiri vms
nodi	"kraam, asjad, esemed	 toidukraam"
nokka pidi	(inimeste kohta:) ninapidi, lähestikku (koos)
nokkapidi	(inimeste kohta:) ninapidi, lähestikku (koos)
nokutama	"pead üles-alla liigutama (nt nõusoleku, heakskiidu märgiks, tervituseks, loomadel reflektoorse liigutusena)	 pead üles ja alla liigutama, tavaliselt selleks, et vastata mingile küsimusele ""jah"" või väljendada nõusolekut"
nottima	kedagi tapma, surmama
nudima	(raha, mõju vms kohta:) kärpima, (ülemäära) vähendama
näh	tähelepanu juhtiv hüüatus, kasutatakse seletades, nentides, kinnitades või midagi pakkudes
näpukas	kirjaviga, mis on tehtud kogemata, tähelepanematusest, mitte oskamatusest
OK	"(suhtluses kasutatav ütlus, mis väljendab kinnitust, nõusolekut või mööndust)	 sõna, millega sa näitad, et oled nõus, või mida sa kasutad, kui vahetad teemat või tegevust"
omasooihar	inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet samast soost inimese vastu
opakas	rumal, loll, tobe
otu	(hrl heatahtlikult:) rumal, taipamatu
pasandama	(vedelat) roojama
pasane	pasaga koos, räpane, väga määrdunud
peale hüppama	sõnadega ründama, kellegagi kärkima
penss	"igakuiselt makstav rahasumma vanaduse, invaliidsuse või toitjakaotuse korral või nõutava pikkusega tööpanuse olemasolul	 raha, mida riik maksab iga kuu vanale inimesele, kes enam ei tööta"
personaalia	"asutuse või ettevõtte töötajad	 organisatsiooni liikmed"
pinss	"igakuiselt makstav rahasumma vanaduse, invaliidsuse või toitjakaotuse korral või nõutava pikkusega tööpanuse olemasolul	 raha, mida riik maksab iga kuu vanale inimesele, kes enam ei tööta"
pissu	"(lastega ühenduses:) piss	 pissimine"
pleku	plekist nõu, ahi, velg vm ese
pleku	(auto)plekksepp
pläru	"sigaret	 sigaret või pabeross"
poja	pojake, poisike
poju	pojake, poisike
pookstav	omakäeliselt kirjatähtedega kirjutatud nimi teksti all
poose	moekas, eriti soositud, (väga) populaarne
poriorikas	(porise, määrdunud inimese kohta)
porken	köögiviljana kasvatatav sulgjate lehtede ja hrl oranžika pikliku juurikaga rohttaim
porno	"suguelundeid ja seksi nilbelt kujutav film, foto, raamat vm	 suguelundite ja seksi nilbe kujutamine pildis ja sõnas"
praavitama	(tervisega seoses:) ravima, ravides terveks tegema
prill	"kahest (optilisest) klaasist ja raamist koosnev ese, mida kantakse nägemise parandamiseks ja korrigeerimiseks või silmade kaitseks	 kahest klaasist ja raamist koosnev ese, mida inimesed kannavad silmade ees, et paremini näha"
proff	"mingil alal kutseliselt tegev isik	 oma ala meister"
prohvus	omaaegne leebe kirumissõna
pussakas	"(vana ja) imelik, korratult istuv riideese	 pulstunud, sassis karvaga loom"
püüne	lava näidendi vm lavateose esitamiseks, ka teatri kohta üldse
rahapaber	paberist vm pehmest materjalist maksevahend
raksus	vargil, varastamas
rets	kurjategija, kes pärast karistuse kandmist paneb toime uue kuriteo, paadunud kurjategija
ruudune	pindalalt teatud arvu ruutmeetrite suurune
ruunama	isast hobust (täkku) vm isaslooma kastreerima
saltser	tsingi lahustamisel soolhappega saadava ühendi vesilahus, mida kasutatakse erinevate metallide (nt raua, terase, vase) tinaga jootmisel või puidu immutamiseks
samagonn	kodustes tingimustes valmistatud viin
samasooihar	inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet samast soost inimese vastu
sedapsi	sedamoodi, niimoodi
seebikas	peamiselt suhteid käsitlev (sentimentaalne, melodramaatiline) televisioonisari, milles on palju tegelasi ja tegevusliine ning mida näidatakse hrl igal argipäeval
seesamane	sama, seesama
seesamune	sama, seesama
sehkendama	millegagi tegevuses olema, siia-sinna liikudes askeldama
sellane	selleaegne
sellane	selline, niisugune
semmima	kellegagi sõbrustama, teda meelitama, hrl millegi saavutamise nimel
sihverplaat	(näo kohta)
sihverplaat	kella, mõõteriista tunni- vm jaotisega osa
siilipea	lühikeseks lõigatud püstjuuksed
sindrima	leebe kirumissõna, mida kasutatakse kellegi või millegi üle pahandades, kedagi sarjates, harva ka tunnustades
sitane	räpane, väga määrdunud, mustusega või sitaga koos
sitaratas	(sõimusõna)
sittuma	päraku kaudu väljaheiteid, rooja väljutama
sogama	segast juttu rääkima, millegi kohta vassima, fakte moonutama
sosku	lutipudel või lutt
spets	"inimene, kes teab teatud valdkonnast palju	 inimene, kes tunneb hästi oma ala, hrl vastava haridusega inimene"
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada
studeerima	(kõrgkoolis) õppima
studeerima	uurima, tundma õppima
surmalaupäev	(aja kohta vahetult enne surma, surma läheduse kohta)
susla	endisaegne kitsarööpmelise raudtee rong või vedur
säh	(andmise, pakkumisega kaasnev väljend:) võta! võta vastu!
sähke	(andmise, ulatamise, pakkumisega kaasnev väljend:) võtke (vastu)!
sünt	klaverit meenutav elektrooniline muusikariist, mis tekitab ja töötleb helisid
süümekas	suur hingeline kannatus omaenese (halbade) tegude ja teistele põhjustatad kahju pärast, südametunnistuse piin
süütis	süüde, tulehakatis
tagument	istmik, tagumik
taguots	tagumik, istmik
tagupool	"kehaosa, millel istutakse	 see osa kehast, mille peal sa istud"
takkajärele	"millegi toimumisest hiljem, mingi aja järel	 millegi toimumisest hiljem, pärastpoole, teatud aja järel"
takkatraavi	muule lisaks, ka veel
tankist	isik, kelle nime all tegutseb keegi teine
tatikas	(lapse, liiga noore inimese kohta, ka halvustavalt või sõimusõnana)
tatitõbi	(nohu kohta)
tattnina	(lapse, liiga noore inimese kohta, ka halvustavalt või sõimusõnana)
teisesooihar	inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet teisest soost inimese vastu
teisesooihar	teisest soost inimese vastu seksuaalset ja emotsionaalset tõmmet tundev
tengelpung	"väike kott raha hoidmiseks ja kaasaskandmiseks	 väike kott raha jaoks"
tips	tütarlaps, neiu
tipsi	tütarlaps, neiu
tissitama	last rinnaga toitma
tohm	rumal, ohmakas, loll
tohmakas	rumal, ohmakas, loll
tohter	"arst (kasutatakse sageli arsti perekonnanime ees)	 inimene, kelle töö on haigeid ravida	 kõrgema meditsiinilise haridusega inimene, kellele on antud õigus haigeid uurida ja ravi määrata"
tolk	aru, mõistus, taip(amine)
topka	"viina- vms pits	 väike napsiklaas, (viina)pits"
toto	kihlveokassa (nt hobuste võiduajamistel)
totu	(hrl heatahtlikult:) rumal, taipamatu
transa	transportimine, vedu
transa	transporditööline
trukk	"hoog	 rõhk, surve"
trööpama	ohtralt kasutama, selle tõttu (ära) kulutama või rikkuma
tsiviil	erariie (hrl vastanduses sõjaväevormile)
tudeerima	uurima, tundma õppima
tudeerima	(kõrgkoolis) õppima
tuksi	korrast ära mineku kohta, nt rikki, katkiseks, haigeks
tuksis	korrast ära, nt rikkis, katki, haige
turva	"inimene, kelle töö on valvata ja kaitsta mingit hoonet, inimest või asutust	 töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"
täkutama	käivitusjuhtmete abil teiselt akult autot käivitama
uimama	(uimasena) aeglaselt liikuma või tegutsema
umbluu	"(millegi või kellegi ebateaduslikuks või muidu kahtlaseks peetava kohta, hrl seoses mitmesuguste pseudoteadustega, para- ja alternatiivõpetustega)	 segane, mitte tõsiselt võetav jutt, jama, totrus"
vaikelu	vaikne ja rahulik, oluliste sündmusteta ja tegevuseta olek
vanakas	(likööri Vana Tallinn kohta)
veering	raha, eriti väiksem rahasumma
vereproov	analüüsimiseks soonest eraldatud veri
vesistama	"kui sa nutad, siis voolavad su silmadest pisarad, sest sa oled kurb või sul on valus	 kurbust, muret, valu vm pisaratega väljendama"
võmm	"inimene, kes töötab politseis	 politseiasutuses töötav isik"
võrr	väikesemahulise mootoriga kaherattaline sõiduk, abimootoriga jalgratas
õudselt	väga, äärmiselt
äpu	inimene, kelle käes kõik äpardub, saamatu inimene
ärikas	vaheltkasu teenimisega tegeleja, hrl ebaseadusliku äriga tegeleja
üle soolama	liialdama, üle pakkuma
aastanumber	kalendriaastat märkiv arv
ahnepäits	ahne loom või inimene
ainsam	"ainult üks	 selline, mida või keda on ainult üks"
ainumalt	ainult, üksnes
ajutu	totter, ogar, napakas
ajuvaba	totter, ogar, napakas
akuraat	(pedantselt) korralik või korras, nõudeid järgiv või nõuetele täpselt vastav
akuraatne	(pedantselt) korralik või korras, nõudeid järgiv või nõuetele täpselt vastav
alko	"joogid, mis sisaldavad alkoholi, näiteks viin, õlu ja vein	 joovastava toimega jook (nt vein, õlu, viin), mille kangus tuleneb joogis sisalduvast etanooli hulgast"
alla jätma	hinda alandama, odavamalt müüma kui esialgu küsitud
alt minema	"mingis toimingus, otsuses eksima	 petta saama"
alt tõmbama	kedagi petma, tüssama
alukad	"(lühikesed) püksid, mida inimene kannab teiste riiete all	 pesuese, mida kantakse vastu ihu alakeha katteks"
amort	löökide, tõugete ja vibratsiooni mõju leevendav seadis
amps	(hammustatud) suutäis
apetiit	soov, tahtmine süüa
aplodisment	"pihkude plaksu(de)ga kokkulöömine heakskiidu- või poolehoiuavaldusena	 selle heli"
aps	eksitus, viga, eksimus
apsakas	eksitus, viga, eksimus
arapp	mingi maa-ala sissepiiramine ja läbiotsimine jälitatava(te) tabamiseks
arstitäht	"arsti (kirjalik) ettekirjutus, mille alusel patsiendile väljastatakse apteegist sobiv ravim	 see, mille alusel saab apteegist teatud ravimeid osta"
asjaline	"asjamees, (tähtis) tegelane	 see, kes asju ajab või korraldab"
asjalugu	asjade seis või käik, olukord teatud hetkel
asjamees	(tähtis) ametimees, (tähtsalt) milleski osalev inimene
atskoo	kaardimäng, kus võidab see mängija, kelle kaartide punktisumma on kõige suurem, aga ei ületa 21
augutäide	see, mis või kes mingit lünka, tühikut täidab
autolammutus	töökoda, kus lammutatakse autosid ja kaubeldakse nende töökõlblike osadega
baarman	"baaris hrl baarileti taga külastajaid teenindav kelner	 inimene, kelle töö on baaris leti taga külastajaid teenindada"
bakid	ainult kõrvade ette ribana kasvatatud habe
banaanivabariik	väike, hrl ühele (kitsale) valdkonnale keskendunud maa, mis on seetõttu majanduslikult ja poliitiliselt ebakindel
bardakk	kindla, ettenähtud korra puudumine millegi toimimises (nt asutuses, süsteemis)
beib	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
beibe	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
bemar	üks Bayerische Motoren Werke AG automarke
bemm	üks Bayerische Motoren Werke AG automarke
bläkk	piinlik tegu või olukord
bolonka	Lõuna-Itaaliast pärit väike valge karvaga koer, üks koeratõuge
boss	peremees, juht, ülemus
bronn	"hotellikoha, pileti vm tagamine, eelnevalt kinnipanek	 seda tõendav dokument"
bronnima	"(kohta, ruumi, pileteid vm) ette tellima või kinni panema, millegi saamist tagama	 midagi enda jaoks kinni panema, näiteks tuba hotellis, kohti või ruumi restoranis"
bukahoolik	inimene, kes kirglikult armastab raamatuid, on nendest sõltuvuses
burks	"kahe poolega kukkel, mille vahel on liha ja muud lisandid	 toit, kus kahe saia vahel on näiteks soe kotlet, juust, tomat, hapukurk ja salat koos kastmega"
bänner	pikk kitsas kujundatud reklaamtekst (nt veebilehel)
dalmaatslane	mänguhimuline koer, kellel on iseloomulik valge tumedate tähnidega sile karv
diil	"rahaline, äriga seotud toiming või kokkulepe	 toiming või seotud toimingute kogum, milles sisaldub vähemalt üks õiguslikku tagajärge kaasa toov tahteavaldus"
diip	tunnetuse poolest sügav ja mõttetihe
dino	suur sisalikulaadne ürgaja roomaja
disklahv	keeld mingi aja jooksul spordivõistlustel osaleda
dokk	dokumentaalfilm või -sari
drinkima	alkoholi jooma
dubljonka	pööratud lambanahkne (pool)kasukas
ebaklapp	ebakõla, sobimatus
ehitusmees	ehitaja, ehitustööline
ekreiit	Eesti Konservatiivse Rahvaerakonna (EKRE) liige
eks	endine abikaasa või elukaaslane
eksmatt	kustutamine üliõpilaste nimekirjast enne ülikooli lõpetamist
ekstreem	põnevust, pinget, erutust pakkuv olukord
elektrikontakt	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada
eputrilla	edvistav, eputav inimene
eraots	rahateenimiseks tehtav (eraviisiline) kõrvaltöö
ersats	mittetäisväärtuslik, järeletehtud aine, ese vm, alaväärtuslik aseaine
etem	"omaduste, kvaliteedi poolest suuremal määral hea	 omaduste, võimete, seisundi vm poolest millestki või kellestki rohkem väärt olev"
ets kae	väljendab imestust, üllatust, vahel ka pahameelt
etsa kae	väljendab imestust, üllatust, vahel ka pahameelt
eur	"Euroopa Liidu rahaühik. Ühes euros on 100 senti	 Euroopa Liidu suurem rahaühik, Euroopa ühisraha"
exclusive	eksklusiivne, teistest eristuv
fanatt	mingi tegevusala, valdkonna kirglik harrastaja või huviline
flaier	kontserdile või muule üritusele kutsuv reklaamleht
friik	"millegi liialdatud pooldaja või millestki eriti huvitatud isik, vahel kuni veidruseni	 veidrik"
