Katsesõna;Tähendus;Hindaja_1;Hindaja_2;Hindaja_3;Koondarvamus;split
plekk;metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms);EI;EI;JAH;EI;eval
rihtima;oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades;EI;JAH;JAH;JAH;eval
rokk;jahust ja veest segatud loomatoit;EI;EI;JAH;EI;eval
sitsima;(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides;EI;EI;EI;EI;eval
sortsutama;sel viisil kusema väikese koguse kaupa korduvalt valama või voolata laskma;EI;EI;JAH;EI;eval
ära kukkuma;(nurisünnituse kohta);JAH;JAH;JAH;JAH;eval
diiler;narkootikumide vahendaja või edasimüüja;EI;EI;EI;EI;eval
frukt;toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom;EI;EI;EI;EI;eval
frukt;(eriline, iseäralik, konfliktne) tüüp, tegelane;EI;JAH;JAH;JAH;eval
jurama;tüütut, mõttetut, rumalat juttu ajama õiendama;EI;JAH;JAH;JAH;eval
kannikas;üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku;JAH;JAH;JAH;JAH;eval
kara;mehe suguliige;JAH;EI;JAH;JAH;eval
ketrama;millestki korduvalt, vahetpidamata rääkima;JAH;JAH;JAH;JAH;eval
kiilakas;kiilasjää;JAH;JAH;JAH;JAH;eval
klaaruma;segavatest asjaoludest vabanema (nt udust, pilvedest) vaadeldavana puhtamalt, selgemalt paistma hakkama;EI;EI;EI;EI;eval
kontra;(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule;EI;EI;JAH;EI;eval
koperdama;vaevaliselt, komistades, aeglaselt käima;EI;EI;JAH;EI;eval
kräkk;eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast;JAH;JAH;JAH;JAH;eval
kupatama;kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama;JAH;JAH;JAH;JAH;eval
käkkima;midagi kiiruga, kehvasti tegema midagi ära rikkuma;JAH;JAH;JAH;JAH;eval
leegionär;välismaalt palgatud, mitte oma maa klubis mängiv sportlane;EI;EI;JAH;EI;eval
libekala;osava jutuga silmakirjalik tüüp;JAH;JAH;JAH;JAH;eval
luhvtitama;(raha raiskamise, hoogsa kulutamise kohta);JAH;JAH;JAH;JAH;eval
lutikas;väike pealtkuulamisseade;EI;JAH;JAH;JAH;eval
läbu;sisutühi, halvustav vm häiriv jutt internetifoorumis;EI;JAH;JAH;JAH;eval
läbu;joomapidu, kus enda järelt ei koristata;EI;JAH;JAH;JAH;eval
läbu;maha jäetud sodi, räpased jäägid;EI;EI;JAH;EI;eval
läbustama;(hoogsalt, kärarikkalt) pidutsema;EI;JAH;JAH;JAH;eval
läbustama;endast rämpsu ja jäätmeid maha jätma midagi maha ajama või peale tilgutama;EI;EI;JAH;EI;eval
läbustama;internetifoorumis sisutühja, halvustavat või roppu teksti kirjutama;EI;JAH;JAH;JAH;eval
lällama;joobnuna pehmel keelel rääkima, laulujoru ajama vms;EI;JAH;JAH;JAH;eval
lällutama;joobnuna pehmel keelel rääkima, laulujoru ajama vms;EI;JAH;JAH;JAH;eval
mats;heade kommeteta, labase käitumise ja rääkimisega inimene, ka sõimusõnana;EI;EI;JAH;EI;eval
mihkel;millegi peale hakkaja, milleski osav;EI;JAH;JAH;JAH;eval
moor;eakas naine;EI;EI;JAH;EI;eval
mutt;eakas, vana naine;EI;JAH;JAH;JAH;eval
möga;jama, totrus, mõttetus segane, totter, sisuta ja mõtteta jutt;JAH;JAH;JAH;JAH;eval
mööbeldama;kõvasti rahmeldama kärarikkalt toimetama;JAH;JAH;JAH;JAH;eval
naga;(hrl pahameelt väljendades poisikese, nooruki kohta);EI;JAH;JAH;JAH;eval
nitro;kütus, mille üks komponent sisaldab nitrorühma;EI;JAH;JAH;JAH;eval
nõks;kaval võte leidlik toimimisviis, (kaval) võte;EI;EI;JAH;EI;eval
näitemäng;hrl laval esitamiseks mõeldud dialoogivormis kirjandusteos kirjutatud teos, mis on mõeldud näitlejatele teatris esitamiseks selle ettekanne;EI;EI;EI;EI;eval
nöps;keegi või miski väike ja ümar (ning armas, kena);EI;JAH;JAH;JAH;eval
odamees;odaviskega tegelev sportlane;EI;EI;JAH;EI;eval
pasundama;üliagaralt kuulutama, teatama või edasi rääkima;JAH;JAH;JAH;JAH;eval
pehmik;leebe ja järeleandlik, abituna mõjuv, mittekarm inimene, hrl mehe kohta;JAH;JAH;JAH;JAH;eval
perse;tagumik;EI;JAH;JAH;JAH;eval
pill;televiisor, muusikakeskus, auto, fotokaamera vms riist;JAH;JAH;JAH;JAH;eval
pillitama;hellitama, poputama;EI;JAH;JAH;JAH;eval
pillitama;nututama;EI;JAH;JAH;JAH;eval
pillitama;(jahti pidades) vilega lindu või looma peibutama;JAH;EI;JAH;JAH;eval
pilves;narkootikumist tingitult joobeseisundis, narkouimas;JAH;JAH;JAH;JAH;eval
pipstükk;mingi paremat, peenemat sorti toit või toidupala;EI;JAH;JAH;JAH;eval
pipstükk;peps (nõudlik ja valiv) inimene;EI;JAH;JAH;JAH;eval
plass;(näovärvi kohta:) kahvatu, jumetu (värvide kohta:) ereduseta, erksuseta;EI;EI;JAH;EI;eval
poppar;popmuusik popmuusika fänn;JAH;JAH;JAH;JAH;eval
porte;mustriga ilustatud riba, lint või nöör rõivaste, tapeedi vm äärel;EI;EI;EI;EI;eval
prahmakas;ebaõnnestumine ekslik tegu, (suur) viga;EI;EI;JAH;EI;eval
puukeel;purssiv võõrkeele kõnelemine;JAH;JAH;JAH;JAH;eval
põrakas;(tugev) hoop pauk või plahvatus;EI;JAH;JAH;JAH;eval
pätakas;(väike) laps;JAH;JAH;JAH;JAH;eval
reaktiiv;ühe või mitme reaktiivmootoriga lennuk;JAH;EI;JAH;JAH;eval
ropsima;kui sa oksendad, siis tuleb toit su kõhust suu kaudu välja pooleldi seeditud toitu koos maomahlaga tahtele allumatult suu kaudu välja paiskama;JAH;JAH;JAH;JAH;eval
satikas;(parasiit)putukas;EI;EI;JAH;EI;eval
siiberdama;edasi-tagasi (logelevalt, lõdvalt) liikuma, sel viisil midagi tegema;JAH;JAH;JAH;JAH;eval
sittama;mustaks, räpaseks tegema, jäätmetega saastama, reostama;EI;JAH;JAH;JAH;eval
soss;saamatu, käpardlik;EI;EI;JAH;EI;eval
suksutama;naisega armusuhtes olema, sellele ahvatlema;JAH;JAH;JAH;JAH;eval
surmasõlm;(lennunduses:) vigurlennu element, mida sooritav lennuk teeb õhus vertikaalse ringi;EI;EI;JAH;EI;eval
sutsakas;lühiajaline sooritus, eriti väike teatri- või filmiroll;JAH;JAH;JAH;JAH;eval
sürr;(sürrealistlikke) nägemusi, (veidraid) kujutluspilte sisaldav või muul moel uskumatu ja põnev;JAH;JAH;JAH;JAH;eval
tatine;tatiga koos, tatiga määrdunud;EI;EI;JAH;EI;eval
tatt;(lapse, liiga noore inimese kohta, ka halvustavalt või sõimusõnana);EI;JAH;JAH;JAH;eval
tatt;ninast erituv lima, ninasekreet sülg;EI;EI;JAH;EI;eval
tiiskant;(kõrge kileda hääle kohta) kõrge lapse-, poisihääl koorilaulus;EI;EI;EI;EI;eval
tirts;(väike) tüdruk, tütarlaps;EI;EI;JAH;EI;eval
tohlakas;hoop, löök;JAH;JAH;JAH;JAH;eval
trehvama;kellegagi kokku sattuma, kedagi (juhuslikult) kohtama;JAH;EI;JAH;JAH;eval
töss;jõuetu, energiata, saamatu, vilets;EI;JAH;JAH;JAH;eval
tümakas;monotoonse tugeva rütmiga muusika;JAH;JAH;JAH;JAH;eval
vargapesa;pistik, mis võimaldab mitu elektririista vooluvõrku lülitada, harupistik;JAH;JAH;JAH;JAH;eval
vibra;mehaaniline võnkumine;JAH;JAH;JAH;JAH;eval
vitsutama;rohkesti ja aplalt sööma;EI;JAH;JAH;JAH;eval
volüüm;heli tugevus;EI;EI;JAH;EI;eval
värdjas;(vastumeelsust äratava inimese kohta, ka sõimusõnana);EI;JAH;JAH;JAH;eval
aidaa;(lahkumisel öeldav sõna:) nägemiseni, kohtumiseni;EI;EI;JAH;EI;eval
alias;varjunimi;EI;EI;JAH;EI;eval
amarüll;Kesk- ja Lõuna-Ameerikast pärit suurte hrl punaste või valgete kellukjate õitega sibullill, Eestis toataim;EI;EI;JAH;EI;eval
ARK;riiklik teenindusbüroo, kus korraldatakse sõiduki ostu- ja müügitoiminguid, juhilubade taotlemist vms sõidukite registreerimise büroo;EI;EI;JAH;EI;eval
asjapulk;(tähtis) ametimees, (tähtsalt) milleski osalev inimene;JAH;JAH;JAH;JAH;eval
baka;kõrghariduse madalaima astme õpe, mille kestel üliõpilane omandab eriala alusteadmised ja -oskused;JAH;JAH;JAH;JAH;eval
baka;inimene, kes on lõpetanud hrl kolmeaastase õppekava ja saanud bakalaureusekraadi vastav akadeemiline kraad;JAH;JAH;JAH;JAH;eval
debiilne;ülimalt totter, äärmiselt rumal;EI;EI;JAH;EI;eval
eba;millegi poolest sobimatu, kohatu, mitte hea, meeldiv ega õige tobe, nõme;EI;EI;JAH;EI;eval
ekstra;erilisse, valitud klassi kuuluv eriti, eriliselt;EI;EI;JAH;EI;eval
erakas;(omaette) korter, hrl vastandatuna ühiselamule või ametikorterile;JAH;JAH;JAH;JAH;eval
flegma;(temperamenditüüp:) pikaldane, tasakaalukas, väliselt nõrgalt reageeriv inimene;JAH;JAH;JAH;JAH;eval
frits;(Natsi-Saksamaa sõjaväelase kohta);EI;EI;JAH;EI;eval
haltuura;rahateenimiseks tehtav (eraviisiline) kõrvaltöö;JAH;JAH;JAH;JAH;eval
hiigla;tohutult, üliväga;EI;JAH;JAH;JAH;eval
hiiglama;tohutult, üliväga;JAH;EI;JAH;JAH;eval
hiinakas;Hiina toite pakkuv söögikoht;JAH;JAH;JAH;JAH;eval
hilp;hrl naiste kergem riietusese vähenõudlik, kehv riideese;EI;JAH;JAH;JAH;eval
hullumaja;haigla, kus ravitakse psüühikahäireid;JAH;EI;JAH;JAH;eval
huulekas;pulgalaadne kosmeetikavahend huulte värvimiseks või võidmiseks vahend, millega naised huuli värvivad;JAH;JAH;JAH;JAH;eval
hädapasun;alatasa hädaldav inimene;JAH;JAH;JAH;JAH;eval
igatepidi;igal moel, igas suhtes igas suhtes, igas mõttes igas suhtes, igas mõttes, igal moel;JAH;EI;JAH;JAH;eval
jahvatama;millestki tüütuseni palju rääkima;JAH;JAH;JAH;JAH;eval
jamama;mitteasjalikku, segast või tõele mittevastavat juttu ajama;JAH;EI;JAH;JAH;eval
jamps;totrus, rumal või segane jutt või tegu;JAH;JAH;JAH;JAH;eval
jeekim;tont, kuradike, paha vaim, koll;EI;EI;JAH;EI;eval
jobutama;rumalusi, totrat juttu rääkima, jobujuttu ajama;JAH;JAH;JAH;JAH;eval
jobutus;miski totter, rumal rumal, totter jutt;JAH;JAH;JAH;JAH;eval
joomavend;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
jubetu;väga kole, väga inetu;JAH;EI;JAH;JAH;eval
jumalavili;(teravilja, ka muude viljade või üldse toidu kohta);EI;JAH;JAH;JAH;eval
jurakas;suur ja jäme (ning raske);JAH;JAH;JAH;JAH;eval
jõmmkärakas;jässakas tugev (jooma- ja lööma)mees;JAH;JAH;JAH;JAH;eval
kabelimats;tappev või väga ränk löök;JAH;JAH;JAH;JAH;eval
kaif;uimasti vm mõnuaine pruukimisel tekkiv joobe-, naudinguseisund;EI;JAH;JAH;JAH;eval
kanapea;alkoholi talumise seisukohalt kehv, vilets pea vilets, halb mälu või taip;JAH;JAH;JAH;JAH;eval
kapo;asutus, mille ülesanne on tagada riiklik julgeolek, võidelda terrorismiga ja riigi vastu suunatud kuritegudega;EI;JAH;JAH;JAH;eval
karauul;vahtkond valve;EI;JAH;JAH;JAH;eval
kargutama;(looma kohta:) sugutama (mehe kohta:) kedagi magatama, kellegagi seksima;JAH;JAH;JAH;JAH;eval
kassikontsert;kassi(de) kisa;EI;JAH;EI;EI;eval
kaukaaslane;tugeva kehaehitusega võõraste suhtes umbusaldava loomuga koer, keda kasutatakse peamiselt karja ja kodu kaitsmisel;JAH;EI;JAH;JAH;eval
keksima;millestki uhkeldades rääkima, ennast sel viisil tähtsaks tegema või tähelepanu püüdma;JAH;JAH;JAH;JAH;eval
kepitama;kepikõndi tegema;JAH;JAH;JAH;JAH;eval
keretäis;kõhtu täitev, küllalt suur kogus (söödavat, joodavat);JAH;JAH;JAH;JAH;eval
kibedik;alkoholi sisaldav kange jook, mis näeb välja nagu vesi peamiselt teraviljast või kartulist saadav kange värvitu alkohoolne jook, mis sisaldab vett ja destilleeritud etanooli;EI;JAH;JAH;JAH;eval
kihvt;(hinnanguna:) väga tore, vaimustust või imetlust äratav;EI;JAH;JAH;JAH;eval
kirevane;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;EI;JAH;JAH;JAH;eval
kirvenägu;jämedajooneline, rohmakas, tuim nägu (inimesel);JAH;JAH;JAH;JAH;eval
klants;sära, läige;EI;EI;JAH;EI;eval
klatt;korda aetud, korras;JAH;EI;JAH;JAH;eval
kleepekas;väike info- või reklaamsilt mingile pinnale kleepimiseks (elektrooniline või liimikihiga silt);EI;JAH;JAH;JAH;eval
klohmima;peksma, taguma;EI;JAH;JAH;JAH;eval
koba;kohmakas ja saamatu või kehvade oskustega;EI;JAH;JAH;JAH;eval
kobima;kohmitsedes, tüdinult kuhugi (nagu sisse pugedes) minema või midagi tegema;EI;JAH;JAH;JAH;eval
kobisema;pomisedes rääkima, hrl rahulolematust väljendades, millegi üle õiendama;JAH;JAH;JAH;JAH;eval
kodinad;kuhugi kaasavõetavad tarbeasjad (nt reisivarustus, sporditarbed, riided);EI;JAH;JAH;JAH;eval
kohi;kastreeritud suguvõimetu;EI;EI;JAH;EI;eval
kooberdama;viletsalt, vaevaliselt käima, vaevaliselt edasi liikuma;EI;JAH;JAH;JAH;eval
koss;(suur) jalats;JAH;JAH;JAH;JAH;eval
krapp;reproduktor, ka transistorraadio;EI;EI;JAH;EI;eval
krehvtine;kange, teravamaitseline;EI;JAH;JAH;JAH;eval
krempel;vähehinnatav üritus väheväärtuslik, kulunud kraam kogumina;EI;JAH;JAH;JAH;eval
kriimsilm;hall metsloom, kes on välimuselt koera moodi ja sööb liha suure koera sarnane enamasti halli värvi kiskja;EI;JAH;JAH;JAH;eval
krimka;kriminaaljutt, -romaan või -film;JAH;JAH;JAH;JAH;eval
kroonu;sõjavägi, sõjaväeteenistus;EI;EI;JAH;EI;eval
kroonu;riik, riigivõim;JAH;JAH;JAH;JAH;eval
krutski;taipamist eeldav, nuputama, leiutama sundiv asjaolu (mis tähelepanuta olekus võib märkamata jääda);EI;JAH;JAH;JAH;eval
kuli;(hrl semulikult poiste või meeste kohta:) kutt, sell;EI;JAH;JAH;JAH;eval
kupatus;asjade, inimeste, toitude, olukordade vm kogum koos kõige juurdekuuluvaga;EI;JAH;JAH;JAH;eval
kuradinahk;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;EI;JAH;JAH;JAH;eval
kuriloom;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;EI;JAH;JAH;JAH;eval
kurinahk;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;EI;JAH;JAH;JAH;eval
kurjam;pahategija, kurikael;EI;JAH;JAH;JAH;eval
kutu;otsas, omadega läbi;JAH;JAH;JAH;JAH;eval
kõlakas;suust suhu liikuv jutt, sõnum vms, millel ei pruugi tõepõhja olla;JAH;JAH;JAH;JAH;eval
kõngema;surema;EI;JAH;JAH;JAH;eval
käpard;kohmakas ja saamatu või kehvade oskustega;EI;EI;JAH;EI;eval
kärbsesitt;kärbeste tekitatud mustus, hrl kärbeste väljaheited;EI;JAH;JAH;JAH;eval
kärvama;surema;EI;JAH;JAH;JAH;eval
könn;(üleolevalt kellegi meelest alaväärse inimese, harvemini looma kohta);EI;JAH;JAH;JAH;eval
küljeluu;(roide kohta);EI;EI;JAH;EI;eval
küpse;(inimese oleku, seisundi kohta:) omadega läbi, pehmeks tehtud, vastupanuvõimeta;JAH;JAH;JAH;JAH;eval
ladna;(inimese kohta:) lahke, sõbraliku rahvameheliku olekuga;JAH;JAH;JAH;JAH;eval
laga;lahja vesine jook või toit;EI;JAH;JAH;JAH;eval
lake;lahja vesine jook või toit;EI;JAH;JAH;JAH;eval
lantima;(seks)partnerit otsima, kedagi (või midagi) kätte saada püüdma;EI;JAH;JAH;JAH;eval
limusk;tigu vm limune;EI;EI;JAH;EI;eval
liru;õhuke ja hõre, vähe vastupidav;EI;JAH;JAH;JAH;eval
litakas;löök, hoop pauk;EI;JAH;JAH;JAH;eval
lobi;söök (hrl vedel toit või supp);EI;EI;JAH;EI;eval
lohv;painduvast materjalist toru hrl vedeliku või gaasi teisaldamiseks;JAH;EI;JAH;JAH;eval
lokerdama;(kolisedes ja raputades) aeglaselt sõitma kolisedes, raputades aeglaselt sõitma;EI;JAH;JAH;JAH;eval
lubjakas;vanainimene;EI;JAH;JAH;JAH;eval
luukamber;oskuste kontroll (nt laulukooris);EI;JAH;JAH;JAH;eval
lõuakas;suure jutuga, sõnakas;EI;JAH;JAH;JAH;eval
lõust;(halvustades või sõimates:) ebameeldiv, veider, koletislik nägu või olend;EI;JAH;JAH;JAH;eval
maamuna;planeet Maa;EI;JAH;JAH;JAH;eval
maha lööma;kedagi ära tapma;EI;JAH;JAH;JAH;eval
mammi;vanem naisterahvas;EI;JAH;JAH;JAH;eval
mampsel;(mitte enam noor) naine;EI;JAH;JAH;JAH;eval
mamsel;(mitte enam noor) naine;EI;JAH;JAH;JAH;eval
maoldama;pikaliasendis kõhuli olema või lohakalt, lõdvalt kuskil lebama;EI;JAH;JAH;JAH;eval
maotäis;kõhtu täitev, küllalt suur kogus (söödavat, joodavat);EI;JAH;JAH;JAH;eval
masinavärk;asjade käik, mingi protsessi või nähtuse toimumise mehhanism;EI;JAH;JAH;JAH;eval
mestima;ühel nõul tegutsema, kellegagi seltsima;EI;JAH;JAH;JAH;eval
mill;1 000 000 tuhat tuhandet (106, 1 000 000);JAH;JAH;JAH;JAH;eval
millas;küsiv-siduv sõna: mis ajal mis ajal;JAH;JAH;JAH;JAH;eval
misjaoks;(küsimusena:) mille pärast, mis põhjusel mis põhjusel;JAH;EI;JAH;JAH;eval
musu;(väike, kerge) suudlus kerge suudlus;EI;JAH;JAH;JAH;eval
muti;naine, kellel on laps või lapsed naissoost vanem, naine oma lapse või laste suhtes;EI;JAH;JAH;JAH;eval
mutukas;(parasiit)putukas;EI;JAH;JAH;JAH;eval
mängumees;meeskondlikus sportmängus osaleja, mängust osavõtja (nt korvpallis);EI;JAH;JAH;JAH;eval
mögin;(kokku segatud) püdel mass;EI;JAH;JAH;JAH;eval
mögisema;rahulolematust väljendades õiendama segast juttu ajama (ka rääkimise kohta üldse);JAH;JAH;JAH;JAH;eval
möku;ettevõtlikkuseta, otsustusvõimetu, saamatu;EI;JAH;JAH;JAH;eval
nahatäis;(peksaandmise või -saamise, karistamise kohta);EI;EI;JAH;EI;eval
naistekas;naisi huvitava sisuga meelelahutuslik romaan, filmisari, ajakiri vms;EI;JAH;JAH;JAH;eval
nodi;kraam, asjad, esemed toidukraam;EI;JAH;JAH;JAH;eval
nokka pidi;(inimeste kohta:) ninapidi, lähestikku (koos);EI;JAH;JAH;JAH;eval
nokkapidi;(inimeste kohta:) ninapidi, lähestikku (koos);EI;JAH;JAH;JAH;eval
nokutama;"pead üles-alla liigutama (nt nõusoleku, heakskiidu märgiks, tervituseks, loomadel reflektoorse liigutusena) pead üles ja alla liigutama, tavaliselt selleks, et vastata mingile küsimusele ""jah"" või väljendada nõusolekut";EI;JAH;JAH;JAH;eval
nottima;kedagi tapma, surmama;EI;JAH;JAH;JAH;eval
nudima;(raha, mõju vms kohta:) kärpima, (ülemäära) vähendama;EI;JAH;JAH;JAH;eval
näh;tähelepanu juhtiv hüüatus, kasutatakse seletades, nentides, kinnitades või midagi pakkudes;EI;JAH;JAH;JAH;eval
näpukas;kirjaviga, mis on tehtud kogemata, tähelepanematusest, mitte oskamatusest;EI;JAH;JAH;JAH;eval
OK;(suhtluses kasutatav ütlus, mis väljendab kinnitust, nõusolekut või mööndust) sõna, millega sa näitad, et oled nõus, või mida sa kasutad, kui vahetad teemat või tegevust;JAH;JAH;JAH;JAH;eval
omasooihar;inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet samast soost inimese vastu;EI;JAH;JAH;JAH;eval
opakas;rumal, loll, tobe;EI;JAH;JAH;JAH;eval
otu;(hrl heatahtlikult:) rumal, taipamatu;EI;JAH;JAH;JAH;eval
pasandama;(vedelat) roojama;EI;JAH;JAH;JAH;eval
pasane;pasaga koos, räpane, väga määrdunud;EI;JAH;JAH;JAH;eval
peale hüppama;sõnadega ründama, kellegagi kärkima;EI;JAH;JAH;JAH;eval
penss;igakuiselt makstav rahasumma vanaduse, invaliidsuse või toitjakaotuse korral või nõutava pikkusega tööpanuse olemasolul raha, mida riik maksab iga kuu vanale inimesele, kes enam ei tööta;JAH;JAH;JAH;JAH;eval
personaalia;asutuse või ettevõtte töötajad organisatsiooni liikmed;EI;EI;JAH;EI;eval
pinss;igakuiselt makstav rahasumma vanaduse, invaliidsuse või toitjakaotuse korral või nõutava pikkusega tööpanuse olemasolul raha, mida riik maksab iga kuu vanale inimesele, kes enam ei tööta;JAH;JAH;JAH;JAH;eval
pissu;(lastega ühenduses:) piss pissimine;EI;JAH;JAH;JAH;eval
pleku;plekist nõu, ahi, velg vm ese;JAH;JAH;JAH;JAH;eval
pleku;(auto)plekksepp;JAH;JAH;JAH;JAH;eval
pläru;sigaret sigaret või pabeross;JAH;JAH;JAH;JAH;eval
poja;pojake, poisike;EI;JAH;JAH;JAH;eval
poju;pojake, poisike;EI;JAH;JAH;JAH;eval
pookstav;omakäeliselt kirjatähtedega kirjutatud nimi teksti all;EI;EI;JAH;EI;eval
poose;moekas, eriti soositud, (väga) populaarne;JAH;JAH;JAH;JAH;eval
poriorikas;(porise, määrdunud inimese kohta);EI;JAH;JAH;JAH;eval
porken;köögiviljana kasvatatav sulgjate lehtede ja hrl oranžika pikliku juurikaga rohttaim;EI;JAH;JAH;JAH;eval
porno;suguelundeid ja seksi nilbelt kujutav film, foto, raamat vm suguelundite ja seksi nilbe kujutamine pildis ja sõnas;EI;EI;JAH;EI;eval
praavitama;(tervisega seoses:) ravima, ravides terveks tegema;EI;EI;JAH;EI;eval
prill;kahest (optilisest) klaasist ja raamist koosnev ese, mida kantakse nägemise parandamiseks ja korrigeerimiseks või silmade kaitseks kahest klaasist ja raamist koosnev ese, mida inimesed kannavad silmade ees, et paremini näha;JAH;EI;JAH;JAH;eval
proff;mingil alal kutseliselt tegev isik oma ala meister;EI;EI;JAH;EI;eval
prohvus;omaaegne leebe kirumissõna;EI;JAH;JAH;JAH;eval
pussakas;(vana ja) imelik, korratult istuv riideese pulstunud, sassis karvaga loom;EI;JAH;JAH;JAH;eval
püüne;lava näidendi vm lavateose esitamiseks, ka teatri kohta üldse;EI;JAH;EI;EI;eval
rahapaber;paberist vm pehmest materjalist maksevahend;JAH;EI;JAH;JAH;eval
raksus;vargil, varastamas;EI;JAH;JAH;JAH;eval
rets;kurjategija, kes pärast karistuse kandmist paneb toime uue kuriteo, paadunud kurjategija;EI;JAH;JAH;JAH;eval
ruudune;pindalalt teatud arvu ruutmeetrite suurune;JAH;EI;JAH;JAH;eval
ruunama;isast hobust (täkku) vm isaslooma kastreerima;EI;EI;JAH;EI;eval
saltser;tsingi lahustamisel soolhappega saadava ühendi vesilahus, mida kasutatakse erinevate metallide (nt raua, terase, vase) tinaga jootmisel või puidu immutamiseks;EI;EI;JAH;EI;eval
samagonn;kodustes tingimustes valmistatud viin;EI;JAH;JAH;JAH;eval
samasooihar;inimene, kes tunneb seksuaalset ja emotsionaalset tõmmet samast soost inimese vastu;EI;JAH;JAH;JAH;eval
sedapsi;sedamoodi, niimoodi;EI;JAH;JAH;JAH;eval
seebikas;peamiselt suhteid käsitlev (sentimentaalne, melodramaatiline) televisioonisari, milles on palju tegelasi ja tegevusliine ning mida näidatakse hrl igal argipäeval;EI;JAH;JAH;JAH;eval
seesamane;sama, seesama;EI;EI;JAH;EI;eval
seesamune;sama, seesama;EI;EI;JAH;EI;eval
