Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	"Sõna ""vaib"" on argikeelne ja slängilik väljend, mis on viimasel ajal populaarsust kogunud, eriti noorte seas ja sotsiaalmeedias. See ei ole tavaline kirjakeel ega ilmu sageli formaalsetes tekstides."	õhkkond, meeleolu, atmosfäär
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	"Sõna ""nett"" kasutatakse antud tähenduses pigem argikeeles ja tehnoloogiateemalistes, kuid mitteametlikes kontekstides. See on lühem ja lihtsam variant ametlikumatele terminitele, mis on tüüpiline informaalsetele registritele."	arvutivõrk, andmesidevõrk, Internet
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	"Sõna ""pontšik"" kõlab minu treeningandmete põhjal pigem argikeelselt ja seostub eeskätt suulise kõne või mitteametliku kirjaliku suhtlusega. See on sõna, mida pigem kasutatakse sõpradega vesteldes või blogipostituses, mitte ametlikus dokumendis või teadusartiklis."	sõõrik
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	"Sõna ""sõõrik"" on üsna tavaline ja viisakas sõna, mida kasutatakse nii argikeeles kui ka ametlikumas kontekstis toidu nimetusena. See ei viita otseselt kõnekeelele ega slängile."	ei kohaldu
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp	neutraalsetes/formaalsetes	"Sõna ""santehnik"" on küllaltki levinud ja neutraalne termin, mida kasutatakse nii igapäevakõnes kui ka ametlikes kontekstides torutööde spetsialisti kohta. Kuigi slängis võib olla ka muid nimetusi, on ""santehnik"" peamine ja aktsepteeritud termin."	ei kohaldu
hinnakahvel	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnakahvel' on minu andmete põhjal kasutuses pigem äri- ja finantsvaldkonna tekstides, mis viitab neutraalsemale või formaalsemale registrile.	ei kohaldu
hinnavahemik	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	"Sõna ""hinnavahemik"" seostub pigem majanduse ja kaubandusega, mis on valdkonnad, kus üldjuhul kasutatakse neutraalset ja formaalset keelt. See on tehniline termin, mida kasutatakse hinnakujunduse ja turuanalüüsi kontekstis. Informaalsed registrid kasutaksid tõenäolisemalt lihtsamaid ja vähem spetsiifilisi väljendeid."	ei kohaldu
ökojalajälg	näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga	neutraalsetes/formaalsetes	"Sõna ""ökojalajälg"" on spetsiifiline termin, mida kasutatakse keskkonnaalastes aruteludes, teaduslikes publikatsioonides, poliitikadokumentides ja muudes formaalsemates kontekstides, et väljendada inimtegevuse mõju keskkonnale. See ei ole släng või argikeel, mis viitaks informaalsetele registritele."	ei kohaldu
plagama	põgenema, ära jooksma; kiiresti jooksma	informaalsetes	"Sõna ""plagama"" seostub pigem argikeele ja kõnekeelega, mida kasutatakse tihti mitteametlikes olukordades, näiteks sõpradega vesteldes või sotsiaalmeedias. See on üldiselt vähem levinud formaalsetes tekstides või ametlikes dokumentides."	põgenema, jooksma, kiiresti lahkuma
putket panema	põgenema, ära jooksma, jalga laskma	informaalsetes	"Fraas ""putket panema"" on slängilik ja kõnekeelne väljend, mida kasutatakse pigem vabas ja sundimatus suhtluses, näiteks sõprade vestlustes või mitteametlikes tekstides. See ei ole tüüpiline ametlikus või kirjakeeles."	põgenema, ära jooksma, jalga laskma
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada	informaalsetes	"Sõna ""stepsel"" on pigem argikeelne väljend. Kuigi see on arusaadav, kasutatakse ametlikumas kontekstis pigem neutraalsemaid termineid. See ilmneb ka sellest, et sõna ""stepsel"" esineb sagedamini vestlustes ja vähem ametlikes tekstides."	pistikupesa, kontaktpesa
igatemoodi	igas suhtes, igas mõttes, igal moel	informaalsetes	"Sõna ""igatemoodi"" kõlab suupäraselt ja tavakeelselt, olles omane pigem igapäevasele suhtlusele ja vähem ametlikule keelekasutusele. See viitab informaalsetele registritele."	igati, igas suhtes, igal moel, kõigiti
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk 	informaalsetes	"Sõna ""poisiklutt"" kannab endas hellitavat ja familiaarset varjundit, mida üldjuhul formaalsetes või neutraalsetes kontekstides ei kasutata. See sobib paremini argikeelde ja isiklikesse suhtlusringkondadesse."	poiss, poisike
moor	eakas naine; naissoost abielupool; ema või vanaema	informaalsetes	"Sõna ""moor"" on vanamoeline ja kohati pisut familiaarne või isegi humoorikas viis eakast naisest rääkida. See on pigem kõnekeelne väljend ja seda esineb tihti raamatutegelaste otsekõnes. Seetõttu paigutub see informaalsetesse registritesse."	Eakas naine, abikaasa, ema, vanaema (olenevalt kontekstist)
sämplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	"Sõna ""sämplima"" on laen inglise keelest (sampling) ja seotud digitaalse helitöötlusega. Sellised terminid on eesti keeles sageli kasutusel just informaalsetes vestlustes, blogides ja muudes veebipõhistes aruteludes, kus tehnoloogiast vabamalt räägitakse. Kuigi sõna on arusaadav ka laiemale auditooriumile, kasutatakse seda harvem ametlikes tekstides või formaalsetes olukordades."	helilõiku digitaliseerima, helinäidist võtma
samplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	"Sõna ""samplima"" on tehniline termin, mis viitab helitöötlusele digitaalses keskkonnas. Kuigi tegemist on professionaalse valdkonnaga, kasutatakse seda sõna pigem informaalsetes kontekstides, nagu arutelud muusikaprogrammide kasutajate foorumites, blogides, sotsiaalmeedias ja muudes vaba vormiga aruteludes, kus terminoloogiat ei pruugita alati rangelt järgida."	helilõiku digitaliseerima, digitaalselt talletama, helisignaali töötlema
