Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	Sõna 'ajaleht' kasutatakse laialdaselt nii igapäevases kõnekeeles kui ka ametlikus ja formaalses kontekstis. See on üldtuntud ja neutraalne sõna, millel puudub kõnekeelne, informaalne või slängilik varjund. Ajalehti loetakse ja neist räägitakse väga erinevates olukordades, alates hommikusöögilauast kuni tõsiste uudistesaadeteni. Sõna esineb nii kõne- kui kirjakeeles ega ole piiratud kindlate registritega.	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Sõna ""seitung"" on informaalne variant sõnast ""ajaleht"". Seda kasutatakse pigem kõnekeeles, sotsiaalmeedias, foorumites ja muudes vabama keelekasutusega kontekstides. Formaalsetes ja neutraalsetes registrites eelistatakse ametlikumat sõna ""ajaleht""."	ajaleht
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	neutraalsetes/formaalsetes	Sõna 'moekas' kasutatakse nii informaalsetes kui ka neutraalsetes/formaalsetes registrites, kuid see on siiski pigem neutraalne sõna. Seda leiab nii ilukirjandusest, ajakirjandusest kui ka teadustekstidest. Sõna ei ole kõnekeelne ega sisalda hinnangulisi varjundeid, mistõttu sobib see hästi ka neutraalsetesse kontekstidesse.	ei kohaldu
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	Sõna 'trendikas' kasutatakse pigem kõnekeelsetes ja vabama stiiliga tekstides nagu blogid, sotsiaalmeedia postitused, foorumid jms. Formaalsetes ja ametlikes tekstides eelistatakse neutraalsemaid sünonüüme. Sõna 'trendikas' kannab teatud slängilikku ja noortepärast varjundit.	moodne, ajakohane, kaasaegne, uudne, populaarne, nüüdisaegne, tänapäevane
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'käkerdis' on kõnekeelne ja ekspressiivne väljend, mida kasutatakse pigem informaalsetes registrites nagu igapäevane kõnekeel, blogid, foorumid jms. Neutraalsetes või formaalsetes tekstides eelistatakse üldjuhul kirjakeelsemaid ja vähem hinnangulisi sõnu.	kehvasti tehtud töö, vilets töö, lohakalt tehtud töö, korratu töö, praaktöö
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'plätserdus' on kõnekeelne ja ekspressiivne väljend, mida kasutatakse pigem informaalsetes registrites nagu kõnekeel, blogid, foorumid jms. Sõna väljendab hinnangut ja emotsiooni, mis ei sobi ametlikku või formaalsesse keelekasutusse. Neutraalsetes ja formaalsetes registrites eelistatakse selle asemel kirjakeelsemaid ja neutraalsemaid väljendeid.	kehv töö, vusserdis, lohakalt tehtud töö, praak
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	Sõna 'vaib' kasutamine tähenduses 'eriline meeleolu või tunne' on pigem iseloomulik kõnekeelele ja vabamale eneseväljendusele. Seda leidub rohkem blogides, foorumites, sotsiaalmeedias ja ilukirjanduse tegelaskõnes. Ametlikes ja formaalsetes tekstides eelistatakse selle asemel neutraalsemaid sünonüüme.	atmosfäär, õhkkond, aura, tunne, meeleolu
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	Sõna 'nett' on kõnekeelne lühend sõnast 'internet'. Seda kasutatakse pigem vabamas igapäevases suhtluses, näiteks sotsiaalmeedias, foorumites, blogides ja vahetus vestluses. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul sõna 'internet' või teisi täpsemaid termineid.	internet, veeb, võrk, arvutivõrk
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	Sõna 'pontšik' on vene keelest laenatud kõnekeelne sõna, mida kasutatakse peamiselt informaalses suhtluses ja kõnekeeles. Sõna ei esine ametlikes dokumentides ega formaalses kirjakeeles, kus eelistatakse eestikeelseid vasteid.	sõõrik, keedusai
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	Sõna 'sõõrik' on eesti keeles levinud ja neutraalse alatooniga sõna, mida kasutatakse nii kõnekeeles kui ka ametlikumas kontekstis. See ei ole slängisõna ega kanna endas hinnangulist varjundit. 'Sõõrik' on toidunimetus, mida leiab retseptidest, toidumenüüdest ja muudest neutraalsetest või formaalsetest allikatest.	ei kohaldu
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp	informaalsetes	Sõna 'santehnik' on vene keelest laenatud kõnekeelne väljend, mida kasutatakse pigem informaalsetes registrites nagu igapäevane kõnekeel, sotsiaalmeedia, foorumid. Ametlikus ja formaalses keelekasutuses eelistatakse eestikeelseid vasteid.	torulukksepp, torutööde spetsialist
hinnakahvel	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnakahvel' on majandustermin, mida kasutatakse peamiselt ametlikes ja erialastes tekstides nagu majandusajakirjandus, ettevõtete hinnakirjad, analüüsid jms. Sõna kõlab pigem tehniliselt ja formaalselt ning ei ole tavakõnes väga levinud. Informaalsetes registrites eelistataks ilmselt lihtsamaid ja kõnekeelsemaid väljendeid.	ei kohaldu
hinnavahemik	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnavahemik' on neutraalne termin, mida kasutatakse ametlikes ja formaalsetes kontekstides nagu hinnakirjad, tootekirjeldused, majandus- ja äritekstid. See on otsene ja selge viis väljendada võimalike hindade vahemikku. Sõna ei sisalda kõnekeelseid või informaalseid nüansse.	ei kohaldu
ökojalajälg	näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga	neutraalsetes/formaalsetes	Sõna 'ökojalajälg' on spetsiifiline termin, mida kasutatakse peamiselt teaduslikes, akadeemilistes ja keskkonnaalastes tekstides. See viitab konkreetsele näitajale, mis on seotud inimtegevuse keskkonnamõjuga. Selline sõnakasutus on omane pigem neutraalsetele ja formaalsetele registritele nagu teadusartiklid, ametlikud dokumendid, analüüsid jms. Sõna kõlab ametlikult ja tehniliselt ega ole tavapärane kõnekeelne väljend, mida kohtaks sageli informaalsetes registrites nagu sotsiaalmeedia postitused, foorumid või blogid.	ei kohaldu
plagama	põgenema, ära jooksma; kiiresti jooksma	informaalsetes	Sõna 'plagama' on slängisõna, mida kasutatakse pigem kõnekeeles ja informaalsetes registrites nagu sotsiaalmeedia postitused, foorumid, blogid jms. Neutraalses ja formaalses keelekasutuses eelistatakse üldjuhul standardseid sünonüüme.	põgenema, (ära) jooksma, liduma, putku pistma, jalga laskma
putket panema	põgenema, ära jooksma, jalga laskma	informaalsetes	"Väljend ""putket panema"" on slängilik ja kõnekeelne viis öelda ""põgenema"" või ""jalga laskma"". Sellist väljendit kasutatakse pigem informaalses kõnes või kirjas, näiteks sõprade vahel rääkides, sotsiaalmeedias või foorumites, mitte ametlikus suhtluses või formaalsetes tekstides."	põgenema, pagema, plehku pistma, jalga laskma, liduma, minema lippama, uttu tegema
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada	informaalsetes	Sõna 'stepsel' on kõnekeelne ja slängipärane väljend pistikupesa kohta. Seda kasutatakse pigem mitteametlikus suhtluses, näiteks igapäevases kõnekeeles, foorumites, sotsiaalmeedia vestlustes jms. Ametlikus ja formaalses keelekasutuses eelistatakse neutraalsemat sõna 'pistikupesa'.	pistikupesa, seinakontakt, seinapistik
igatemoodi	igas suhtes, igas mõttes, igal moel	neutraalsetes/formaalsetes	Sõna 'igatemoodi' on üldkeelne väljend, mida kasutatakse erinevates neutraalsetes ja formaalsetes registrites. See ei ole kõnekeelne ega vaid informaalsetele registritele omane sõna. 'Igatemoodi' sobib kasutamiseks nii igapäevases neutraalses keelekasutuses kui ka ametlikumas kontekstis.	ei kohaldu
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk 	informaalsetes	"Sõna ""poisiklutt"" on deminutiivne liitsõna, mis viitab väikesele poisile hellitavas või sõbralikus toonis. Selline hellitav ja mitte väga ametlik toon on iseloomulik just informaalsetele registritele nagu igapäevane kõnekeel, sotsiaalmeedia postitused, blogid jms. Sõna teine pool ""klutt"" lisab veel omakorda familiaarsust ja mängulisust. Neutraalsetes või formaalsetes tekstides eelistataks ilmselt ametlikumat sõna nagu ""poiss"" või ""poisike""."	poiss, poisike, poisiohtu, nooruk
moor	eakas naine; naissoost abielupool; ema või vanaema	informaalsetes	Sõna 'moor' tähenduses 'eakas naine; naissoost abielupool; ema või vanaema' on pigem kõnekeelne ja familiaarne väljend. Seda kasutatakse rohkem argivestlustes, mitte ametlikus või formaalses keelekasutuses. Sõna on veidi arhailine ja kohati ka humoorikas.	eakas naine, abikaasa, naine, ema, vanaema
