Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
frukt	(eriline, iseäralik, konfliktne) tüüp, tegelane	informaalsetes	"Sõna ""frukt"" selles tähenduses viitab kõnekeelsele ja slängile lähedasele väljendusele, mida kasutatakse isiku iseloomustamiseks humoorikalt-negatiivses või iroonilises võtmes.  Seega sobib see pigem mitteametlikku suhtlusse ja kontekstidesse, nagu blogid, foorumid ja vestlused. Formaalsetes tekstides ja ametlikus suhtluses on selle kasutamine vähetõenäoline."	
jurama	"tüütut, mõttetut, rumalat juttu ajama	 õiendama"	informaalsetes	"""Jurama"" omab negatiivset ja emotsionaalselt laetud tähendust. Seda kasutatakse tavaliselt mitteametlikes vestlustes ja kontekstides, kus väljendatakse pahameelt või halvustavat suhtumist kellegi jutu suhtes.  See ei sobi ametlikku kõnekeelde ega formaalsetesse tekstidesse."	
kannikas	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku	informaalsetes	"Sõna ""kannikas"" tagumiku kohta on rahvalik ja humoorikas.  Seda kasutatakse pigem mitteametlikes olukordades ja naljatledes. Neutraalsetes või formaalsetes tekstides kasutatakse pigem sõnu ""tuhar"" või ""tagumik""."	
kara	mehe suguliige	informaalsetes	"Sõna ""kara"" mehe suguelundi kohta on selgelt labane ja ebaviisakas.  Seda kasutatakse peamiselt väga informaalsetes olukordades, näiteks meeste omavahelises ropus kõnepruugis. Neutraalsetes või formaalsetes tekstides on see täiesti kohatu."	
ketrama	millestki korduvalt, vahetpidamata rääkima	informaalsetes	"""Ketrama"" tähenduses ""millestki korduvalt, vahetpidamata rääkima"" on suhteliselt ekspressiivne ja emotsionaalselt laetud sõna, mis viitab sageli tüütule või mõttetule jutuvadale. Seega sobib see pigem argikeelseks suhtluseks ja informaalseteks tekstideks. Kuigi sõna ei ole otseselt labane, kannab see endas teatavat ebaviisakust ja halvustavat varjundit, mistõttu ametlikes ja formaalsetes tekstides seda üldiselt vältida tuleks."	
kiilakas	kiilasjää	informaalsetes	"""Kiilakas"" on rahvapärane ja emotsionaalselt laetud sõna, mis sobib pigem argikäibesse ja mitteametlikku suhtlusse.  See kõlab familiaarselt ja võib olla isegi pisut halvustav. Tõsisemas ja ametlikumas kontekstis kasutatakse pigem neutraalsemat sõna ""kiilaspea"" või ""kiilasjäämine""."	
klaaruma	"segavatest asjaoludest vabanema (nt udust, pilvedest)	 vaadeldavana puhtamalt, selgemalt paistma hakkama"	neutraalsetes/formaalsetes	"""Klaaruma"" selles tähenduses kirjeldab objektiivset protsessi ja sobib seega nii neutraalsesse kui ka formaalsesse keelekasutusse.  Kuigi sõna ei ole väga spetsiifiline, ei ole see ka släng ega argikeelne.  Seda võiks kasutada nii ilmateates (""Taevas hakkab klaaruma"") kui ka kirjanduslikus tekstis (""Mõtted hakkasid klaaruma"").  Seega puudub alus pidada seda informaalseks."	
kontra	(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule	neutraalsetes/formaalsetes	"""Kontra"" antud tähenduses on sporditermin ja seetõttu sobib kasutamiseks nii neutraalsetes kui ka formaalsetes spordiuudistes, -reportaažides ja -analüüsides.  Kuigi sõna võib esineda ka informaalsetes vestlustes, on selle peamine kasutusvaldkond siiski sporditerminoloogia."	
koperdama	vaevaliselt, komistades, aeglaselt käima	informaalsetes	"""Koperdama"" omab kõnekeelset varjundit ja kirjeldab tegevust ebamääraselt ja emotsionaalselt. See sobib hästi argisesse suhtlusse ja mitteametlikesse tekstidesse, kus täpsus pole primaarne. Formaalsemas või ametlikumas keeles kasutataks pigem täpsemaid ja neutraalsemaid vasteid, näiteks ""vaevaliselt liikuma"", ""komistades käima"" või ""aeglaselt edasi liikuma""."	
kräkk	eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast	informaalsetes	"Sõna ""kräkk"" viitab illegaalsele narkootikumile ja selle tarvitamisele. Seega on see teema, mida tõenäolisemalt käsitletakse mitteametlikes ja informaalsetes kontekstides, näiteks uimastitarbimise foorumites või tänaval kõnekeeles. Formaalsetes ja neutraalsetes tekstides, nagu teadusartiklid või ametlikud dokumendid, kasutatakse tõenäolisemalt meditsiinilist terminit või üldnimetust ""kokaiin""."	
kupatama	kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama	informaalsetes	"""Kupatama"" selles tähenduses kõlab kõnekeelse ja argise sõnana.  See sobiks hästi otsekõnesse või mitteformaalsesse suhtlusse, aga ametlikes või akadeemilistes tekstides oleks see pigem kohatu."	
käkkima	"midagi kiiruga, kehvasti tegema	 midagi ära rikkuma"	informaalsetes	"Sõna ""käkkima"" kannab endas negatiivset ja ebaviisakat varjundit. See on släng ja sobib seetõttu kasutamiseks eelkõige mitteametlikes olukordades ja informaalsetes tekstides nagu näiteks sõpradega vestluses või internetikommentaarides.  Ametlikes tekstides ja formaalses suhtluses on soovitatav kasutada neutraalsemaid ja viisakamaid alternatiive."	
leegionär	välismaalt palgatud, mitte oma maa klubis mängiv sportlane	neutraalsetes/formaalsetes	"""Leegionär"" sportlase kontekstis viitab professionaalsele ja ametlikule olukorrale. Seega sobib see termin pigem neutraalsesse või formaalsesse registrisse, mida kasutatakse näiteks spordiuudiste, -artiklite ja -analüüside puhul. Kuigi sõna võib esineda ka informaalsetes vestlustes, on selle peamine kasutusvaldkond siiski ametlikum."	
libekala	osava jutuga silmakirjalik tüüp	informaalsetes	"Sõna ""libekala"" kannab endas negatiivset ja halvustavat varjundit. See on rahvalik ja emotsionaalselt laetud väljend, mida kasutatakse pigem mitteametlikes vestlustes ja olukordades kellegi iseloomu negatiivseks kirjeldamiseks.  Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt teisi, vähem emotsionaalseid ja halvustavaid sõnu."	
luhvtitama	(raha raiskamise, hoogsa kulutamise kohta)	informaalsetes	"""Luhvtitama"" kõlab kõnekeelse ja ekspressiivsena, viidates sageli kergemeelsele või hoolimatule kulutamisele.  See sobib hästi argisesse suhtlusse ja emotsionaalsemate väljendustega tekstidesse, mis on informaalsetele tekstidele omased.  Formaalsetes või neutraalsetes tekstides kasutataks pigem sõnu nagu ""raiskama"", ""kulutama"" või ""laristama""."	
lutikas	väike pealtkuulamisseade	informaalsetes	"""Lutikas"" pealtkuulamisseadme tähenduses on slängisõna ja seetõttu esineb see pigem informaalsetes tekstides, nagu näiteks spiooniromaanide tegelaste dialoogides või internetifoorumites.  Formaalsemas keeles kasutataks pigem sõna ""pealtkuulamisseade""."	
läbu	sisutühi, halvustav vm häiriv jutt internetifoorumis	informaalsetes	"Sõna ""läbu"" omab negatiivset ja halvustavat varjundit. Seda kasutatakse internetifoorumites ja argisuhtluses ebameeldiva või sisutu jutu kirjeldamiseks.  Seega sobib see pigem informaalsesse keelekasutusse.  Formaalsetes või neutraalsetes tekstides kasutataks tõenäoliselt teisi,  asjalikumaid ja vähem emotsionaalselt laetud sõnu."	
läbu	joomapidu, kus enda järelt ei koristata	informaalsetes	"Sõna ""läbu"" kannab endas negatiivset ja halvustavat varjundit ning viitab ebakorrektsele ja vastutustundetule käitumisele. Seega sobib see pigem informaalsesse suhtlusse ja konteksti, kus selline toon on aktsepteeritav. Formaalsetes ja neutraalsetes tekstides kasutatakse pigem sõnu nagu ""pidu"", ""peoõhtu"" või ""üritus""."	
läbu	maha jäetud sodi, räpased jäägid	informaalsetes	"Sõna ""läbu"" selles tähenduses viitab millelegi ebameeldivale ja räpasele. See on kõnekeelne ja emotsionaalselt laetud sõna, mida kasutatakse pigem ebaviisakas või halvustavas kontekstis. Seega sobib see pigem informaalsesse suhtlusse, kus selline toon on aktsepteeritav.  Formaalsetes või neutraalsetes tekstides kasutataks pigem sõnu nagu ""praht"", ""prügi"", ""jäägid"" või ""sodi""."	
läbustama	(hoogsalt, kärarikkalt) pidutsema	informaalsetes	"""Läbustama"" kannab endas lõbusa ja kergemeelse pidutsemise konnotatsiooni, mis sobib pigem argisema ja mitteametliku suhtlusstiiliga.  See ei oleks sobiv sõna ametlikes dokumentides või akadeemilistes tekstides pidustuste kirjeldamiseks."	
läbustama	"endast rämpsu ja jäätmeid maha jätma	 midagi maha ajama või peale tilgutama"	informaalsetes	"Sõna ""läbustama"" antud tähenduses ('endast rämpsu ja jäätmeid maha jätma; midagi maha ajama või peale tilgutama') on selgelt kõnekeelne ja ebaviisakas.  See sobib kasutamiseks humoorikates või sarkastilise alatooniga mitteametlikes vestlustes, aga ametlikes või neutraalsetes tekstides oleks see kohatu."	
läbustama	internetifoorumis sisutühja, halvustavat või roppu teksti kirjutama	informaalsetes	"Sõna ""läbustama"" antud tähenduses viitab ebaviisakale ja ebakonstruktiivsele käitumisele internetis. See on slängisõna, mida kasutatakse pigem argikeeles ja mitteametlikes olukordades, nagu foorumid, kommentaariumid ja jututoad. Formaalsemates tekstides ja ametlikus suhtluses on tavaliselt eelistatud neutraalsemad ja viisakamad väljendid."	
lällama	joobnuna pehmel keelel rääkima, laulujoru ajama vms	informaalsetes	"Sõna ""lällama"" omab selgelt kõnekeelset ja mitteametlikku varjundit.  See viitab kergelt pilkava tooniga joobnud inimese ebakoherentsele kõnele ja seostub pigem argise suhtlusega.  Ametlikes või formaalsetes tekstides kasutataks pigem neutraalsemaid ja täpsemaid väljendeid nagu ""joobes olekus ebaselgelt rääkima"" või ""ebakainelt laulma""."	
lällutama	joobnuna pehmel keelel rääkima, laulujoru ajama vms	informaalsetes	"Sõna ""lällutama"" omab selgelt ebasobivat ja halvustavat varjundit, mis viitab ebakainusele ja kontrollimatule kõnele. Seega sobib see pigem informaalsesse suhtlusse, kus selline toon on aktsepteeritav. Formaalsetes või neutraalsetes tekstides kasutataks pigem sõnu nagu ""ebaselgelt rääkima"", ""laulma"" või ""joobnult lobisema""."	
mats	heade kommeteta, labase käitumise ja rääkimisega inimene, ka sõimusõnana	informaalsetes	"Sõna ""mats"" omab negatiivset ja halvustavat varjundit, mis teeb selle sobimatuks formaalseks või neutraalseks suhtluseks.  Seda kasutatakse pigem emotsionaalselt laetud olukordades, tülides või ebaviisaka käitumise kirjeldamiseks, mis on iseloomulik informaalsele keelekasutusele."	
mihkel	millegi peale hakkaja, milleski osav	informaalsetes	"Sõna ""mihkel"" selles tähenduses ('millegi peale hakkaja, milleski osav') on rahvapärane ja humoorikas.  Seega sobib see pigem mitteametlikku, argisesse suhtlusse ja informaalsetesse tekstidesse.  Formaalsetes või neutraalsetes tekstides kasutataks pigem teisi, kirjakeelsemaid sünonüüme nagu ""osav"", ""hakkaja"", ""andekas"" jne."	
moor	eakas naine	informaalsetes	"Sõna ""moor"" eaka naise kohta on halvustav ja ebaviisakas. Seega kasutatakse seda pigem informaalsetes tekstides, kus selline toon on aktsepteeritavam.  Formaalsetes ja neutraalsetes tekstides kasutatakse viisakamaid ja lugupidavamaid alternatiive."	
mutt	eakas, vana naine	informaalsetes	"Sõna ""mutt"" vanainimese kohta on halvustav ja ebaviisakas.  Seda kasutatakse peamiselt mitteametlikes olukordades, kus kõneleja ei hooli viisakusnormidest või soovib kedagi solvata. Sellist sõnakasutust ametlikes tekstides või lugupidaval suhtlemisel kindlasti ei kohta."	
möga	"jama, totrus, mõttetus	 segane, totter, sisuta ja mõtteta jutt"	informaalsetes	"Sõna ""möga"" kannab endas negatiivset ja halvustavat hinnangut ning on emotsionaalselt laetud. Seega sobib see pigem argikeelde ja mitteametlikku suhtlusse, näiteks vestlustesse sõpradega või internetikommentaaridesse. Formaalsemates tekstides ja ametlikus suhtluses kasutatakse tavaliselt neutraalsemaid ja objektiivsemaid väljendeid."	
mööbeldama	"kõvasti rahmeldama	 kärarikkalt toimetama"	informaalsetes	"""Mööbeldama"" kõnekeelses tähenduses ""kõvasti rahmeldama, kärarikkalt toimetama"" on pigem ekspressiivne ja ebaviisakas sõna, mida kasutatakse mitteametlikes olukordades ja tekstides.  See sobib hästi argikeelde, aga ametlikes või formaalsetes tekstides mõjuks see kohatu."	
naga	(hrl pahameelt väljendades poisikese, nooruki kohta)	informaalsetes	"Sõna ""naga"" selles tähenduses on halvustav ja emotsionaalselt laetud. See sobib pigem argikeelde ja informaalsesse suhtlusse, kus väljendatakse pahameelt või ärritust lapse suhtes. Formaalses või neutraalses kontekstis kasutataks pigem teisi, viisakamaid väljendeid."	
nitro	kütus, mille üks komponent sisaldab nitrorühma	informaalsetes	"""Nitro"" kütusena viitab tavaliselt nitrometäänile või nitroetaanile, mida kasutatakse võidusõiduautodes ja mudelmootorites. See on spetsiifiline termin, mida kohtab pigem auto- ja motospordi harrastajate seas, foorumites, blogides ja mitteformaalsetes vestlustes. Teaduslikes ja ametlikes tekstides kasutatakse täpsemaid keemilisi nimetusi."	
nõks	"kaval võte	 leidlik toimimisviis, (kaval) võte"	informaalsetes	"Sõna ""nõks"" selles tähenduses viitab millelegi kavalale ja mitteametlikule. See sobib hästi igapäevakõnesse ja mitteformaalsesse suhtlusse, kuid ametlikes või formaalsetes tekstides kõlaks see liiga arglikult.  Seega on ""nõks"" pigem informaalse stiiliga sõna."	
näitemäng	"hrl laval esitamiseks mõeldud dialoogivormis kirjandusteos	 kirjutatud teos, mis on mõeldud näitlejatele teatris esitamiseks	 selle ettekanne"	neutraalsetes/formaalsetes	"Sõna ""näitemäng"" on oma olemuselt kirjanduslik ja teatrimaailmaga seotud termin. Seega sobib see hästi ametlikku ja akadeemilisse konteksti.  Samas ei ole tegemist ülemäära spetsiifilise terminiga ja seda võib kohata ka igapäevakõnes ja vähem formaalsetes tekstides, kus räägitakse teatrist või kirjandusest. Seega sobib see nii neutraalsesse kui ka formaalsesse registrisse.  Kuigi sõna ""näitemäng"" ei ole iseenesest informaalne, ei ole see ka keelatud informaalsetes tekstides. Küll aga võib informaalsetes tekstides eelistada sünonüüme nagu ""näidend"" või lihtsalt ""tükk""."	
nöps	keegi või miski väike ja ümar (ning armas, kena)	informaalsetes	"Sõna ""nöps"" selles tähenduses kannab endas emotsionaalset ja hellitavat varjundit, mis on omane pigem informaalsele suhtlusstiilile.  See kõlab lapsekeelse ja mänguliselt, mistõttu sobib hästi näiteks blogipostitustesse, kommentaaridesse või sotsiaalmeediasse, kus väljendatakse isiklikke tundeid ja suhtutakse asjadesse emotsionaalsemalt.  Formaalsetes või neutraalsetes tekstides kasutataks pigem täpsemaid ja objektiivsemaid sõnu."	
