estonian_headword,german_equivalent,part_of_speech,estonian_declension,estonian_synonyms,german_synonyms,latin_explanation,estonian_mwu,translated_mwu,page_number
äbba walge,die Abend-Dämmerung,,,,,,,,84
ähwardama,drohen,,,,,,,,84
ähwardam inne,das drohen,,,,,,,,84
äi,der Schwieger-Vater,,"6, 8",,,,,,84
ärk,die Egge,,"4, 1",,,,,,84
ärkeldane,abhängig,,,,præcipitant,,,,84
ärkilinne,eilig,,,ärkine,"übereilend, hastig",,,,84
ärkiste,eylig,adv.,,ärkiselt,plötzlich,,,,84
ärslid,Heckerling,,,,,,,,84
ärwibhane,jachzornig,,,,,,,,84
ällima,siehe ällima,,,,,,,,84
älotama,im Busche schreyen,,,,,,,,84
äm,die Schwieger-Mutter,,,,Hebamme,,,,84
ämmarik,die Morgendämmerung,,"7, 1",,,,,,84
ämmarus,die Dunckelheit,,,,,,,,84
äppardus,unvermuthet Unglück,,,,,,willi äppardab,das Getreyde ist nicht wohl gerathen,84
ärdaste,kläglich,adv.,,,,,,,84
ärkama,siehe älles,,,ärratama,,,,,84
ärmatus,der Reif auf der Erden,,,,,,,,84
ärra,weg,,,,"von, nicht",,,,84
ärrandan,ich vermag,,,,,,,,84
ärranis,ins besondere,adv.,,,a parte,,,,84
ärras,mitleidig,,"14, 14",,,,,,84
ärritama,reitzen,,,,vexiren,,,,84
ärrites ülles wötnud,zur Probe genommen,,,,,,,,84
agga,aber,,,,"nur, sondern",,,,84
aggar,fleißig,,,,,,wanna aggar tö innime,ein sehr fleißiger Mensch,84
aggaraste,fleißig,adv.,,,,,,,84
ahhan,ich stecke eine Riege auf,,6,,,,,,84
ahhastan,"ich ängstige mich, zage",,,,,,,,84
ahhastus,die Angst,,,,Bangigkeit,,,,84
ahhelad,die Kette,,"14, 11",,,,,,84
ahher,güst,,"13, 5",,gelte,,,,84
ahhi,der Ofen,,"6, 2. g. o",,,,,,84
ahhing,das Stecheysen,,"5, 2. ac. it, a, id",,,,,,84
ahjo peälne,ein Wäär-Wolf,,,,,,,,84
ahne,geitzig,,"4, 1",,,,,,84
ahnus,der Geitz,,,,,,,,84
ahraste,güst,adv.,,,,,,,84
ahwatama,locken,,,,,,,,84
ahwates,die Lock-Speise,,,,,,,,84
ahwen,der Bars,,"10, 3",,,,,,84
ai,das genehete an Bauer-Weiber-Röcken,,"6, 8",,,,,,84
aialdes,zeitig,adv.,,,,,,,84
aialik,zeitlich,,"7, 1",,,,,,84
aialikkult,zeitlich,adv.,,,,,,,84
aiama,treiben,,,,nöthigen,,ello aiama,sein Leben führen,84
tagga aiama,nachtreiben,,,,,,,,84
asjad aiama,seine Sachen treiben,,,,verrichten,,,,84
aia,,,,,,,,,84
aia mo habbe ärra hal-biere mich doch,biere mich doch,,,,,,,,85
ma aian se neljas korda jo läbbi,ich lese es schon zum 4ten mal durch,,,,,,,,85
ta aiab sulla-jutto,er giebt gute süsse Worte,,,,,,,,85
ennast sirgets aiama,sich gerade in die Höhe richten,,,,,,,,85
süüd aiama teise peäle,die Schuld auf den andern schieben,,,,,,,,85
aigna-saar,Wulfsund (eine Insul.),,,,,,,,85
aiawiteks,zum Zeit-Vertreib,,,,,,,,85
aim,eine kleine Schimmerung,,"9, 3",,,,,,85
aimama,schimmern,,,,,,kül ma woin wähha aimata,ich kan es noch ein bisgen schimmern sehen,85
aimoke,ein kleiner Schein,,,,,,,,85
ainus,eintzig,,"14, 8. g. no und nuwa ac. numast und ainust",,,,,,85
aio,das Gehirn,,g. no. ac. aio,,,,,,85
aioti,"dann und wann, zuweilen",,,,,,,,85
ais,die Femerstange,,"14, 1. acc. o",,,,,,85
ait,die Kleete,,"15, 1. g. a. acc. to",,,,,,85
aitaja,der Helfer,,,,,,,,85
aitma,"helfen, sich behelfen",,,,,,,,85
aitummal,grossen Danck (für aita Jummal),,,,,,,,85
ak,die Dohle,,"15, 3",,,,,,85
akken,das Fenster,,,,,,,,85
al,unter,,,,,,,,85
algama,anfangen,,,,,,,,85
algatus,der Anfang,,,alguinne,,,,,85
alla,"stets während, beständig",,,,,,,,85
allakorralinne,"ein Arbeiter, der beständig für einen andern am Hofe seyn muß",,,,,,,,85
alla,hinunter,,,,,,,,85
allamad,die Unterthanen,,,,,,,,85
allamale,niedriger,adv.,,,,,,,85
allandama,erniedrigen,,,,,,,,85
allandik,demüthig,,"7, 1",,,,,,85
allandikkult,demüthig,adv.,,,,,,,85
allandus,die Demuth,,,,,,,,85
allanema,"niedrig werden, abnehmen",,,,,,,,85
allantlikkult,demüthig,adv.,,,,,,,85
allapiddi,unterwerts,adv.,,,,,,,85
allasi,der Amboß,,"g. 1. acc. it, a, id",,,,,,85
allasti,bloß,adv.,,,,,,,85
allastus,die Blösse,,,,,,,,85
allati,immerdar,adv.,,allatsi,,,,,85
alle ma,gebrannt Land,,,,,,,,85
alles,annoch,,,,,,,,85
allew,die Vorstadt,,"17, 1. ac. it",,,,,,85
allidus,das Bezwingen,,,,,,ei sa allidust,man kans nicht bezwingen,85
alluminne,das untere,,,allune,,,,,85
sü-allune,ein Schuldiger,,,,,,,,85
allus,der Grund,,,,,,,,85
"alt, alpiddi",von unten,,,,,,,,85
alw,gering,,"17, 3",,,,,,85
alwalt,gering,adv.,,,,,,,86
alwatud,vom Schlag gerührt,,,,,,,,86
am,die Amme,,,,,,,,86
ambo,der Flitsch-Bogen,,"11, 5",oder ammo,,,,,86
ammet,das Amt,,"15, 4",,,,,,86
ammet-mees,der Hand-wercks-Mann,,,,item der eine böse Gewohnh. hat,,,,86
ammo,vorlängst,adv.,,,,,,,86
ammogi,vorlängst,adv.,,,,,,,86
ammuks se on?,ists schon lange?,,,,,,,,86
suud ammuli pannema,ein breit Maul machen,,,,,,,,86
ammust aiast,von langer Zeit her,,,,,,,,86
ammust sadik,von langer Zeit her,,,,,,,,86
ammuma,blöcken wie das Vieh,,,,,,,,86
ammutama,blöcken wie das Vieh,,,,,,,,86
and,"die Gabe, Geschenck",,"3, 4. ac. et, di. acc. di.",,,,,,86
andeks-andma,"verzeihen, vergeben",,,,,,,,86
andeks-andminne,die Vergebung,,,,,,,,86
andma,geben,,3,,,,,,86
armo andma,schonen,,,,,,,,86
ärra-andma,"übergeben, verrathen",,,,,,,,86
holeks andma,anvertraut,,,,,,,,86
kohto sisse ennast andma,vors Gericht gehen,,,,,,,,86
käe andmed,das Verlöbniß,,,,,,,,86
ang,ein zusammen getriebener Schneeberg,,"g. et, ac. e, acc. id.",,,,,,86
ang,die Heu-Gabel,,"5, 2. g. et, ac. o.",,,,,,86
angetab,"es geliefert, gerinnet wie Talg",,,,,,,,86
angrias,der Aal,,"14, 11",,,,,,86
ankima,"regieren, bezwingen",,,,,,,,86
ankur,der Ancker,,"g. kro, ac. urt.",,,,,,86
antskas,"der im Speisen wählet, u. nicht alles isset",,"14, 11",,,,,,86
arg,"schüchtern, blöde",,"5, 4",,,,,,86
argus,die Blödigkeit,,,,,,,,86
arm,"die Narbe, Schmarre",,"8, 1",,,,,,86
arm,"die Liebe, Gnade",,"9, 3",,,,,,86
armas,"lieb, werth, angenehm",,"14, 8",,,,,,86
armastan,ich liebe,,,,,,,,86
armastaminne,das Lieben,,,,,,,,86
armastus,die Liebe,,,,,,,,86
armatsema,"lieben, liebkosen",,,,,,,,86
armid,das Creutz in einem Mühl-Rad,,,,,,,,86
armolik,gnädig,,"7, 1",,,,,,86
armolinne,gnädig,,,,,,,,86
armolikult,gnädig,adv.,,,,,,,86
armolissem,gnädiger,,,,,,,,86
armo-öppetus,"die Gnaden-Lehre, das Evangelium",,,,,,,,86
armoto,armselig,,"11, 2",,,,,,86
armsaste,"liebreich, freundlich",adv.,,,,,,,86
arpolojad,Hexenmeister mit dem Siebe,,,,,,,,86
arraks teggema,scheu machen,,,,,,,,86
arro,"eine Linie von der Familie, Arm vom Bache, Wegescheide",,"11, 5",,,,,,86
arro-ma,hart Land,,"1, 3",,,,,,87
suggu-arro,der Stamm,,"11, 5",,,,,,87
