katsesõna;valimisse_sai_märgendiga;ÜSis_tähendusi_kokku;ÜSis_tähenduste_küljes_olevad_ja_õigeks_loetavad_märgendid;SkE_2023_sagedus;vektoriseerimine;korp_tähenduse_nr;korp_tähendus;korp_koond_tähendus_olemas_ja_adekvaatne;korp_tähenduste_arv_kokku;korps_sagedus;korp_näited;korp_tekstiregister;korp_registri_adekvaatsus;korp_registri_põhjendus;korp_registri_kindlus;korp_märgend;korp_märgendi_adekvaatsus;korp_märgendi_põhjendus;treening_tähenduse_nr;treening_tähendus;treening_koond_tähendus_olemas_ja_adekvaatne;treening_tähenduste_arv_kokku;treening_sagedus;treening_näited;treening_tekstiregister;treening_registri_adekvaatsus;treening_registri_põhjendus;treening_registri_kindlus;treening_märgend;treening_märgendi_adekvaatsus;treening_märgendi_põhjendus
;;; ;;;3;küsisõna (kes see);jah;3;vähene;Kesse Priit on? | Kesse ütles, et J-l pole enam palavikku? | Kesse, ma küsin? | Kesse ütles, et seda vaja oli. | Kesse ütles, et lastekirjanikul peab olema igal ajahetkel uus idee peas olemas.;informaalsetes;jah;"Sõna ""Kesse"" küsisõnana esineb peamiselt mitteametlikes ja kõnekeelsetes kontekstides, kus see asendab standardset küsisõna ""kes see"". Selline kasutus on iseloomulik kõnekeelele ja mitteametlikule suhtlemisele, kus keelekasutus on vaba ja vähem formaalne. Näiteks kasutatakse seda sõna vestlustes ja sotsiaalmeedias, kus keelekasutus on sageli lõdvem ja vähem reeglipärane. Selline kasutus viitab sellele, et sõna on selles tähenduses informaalne.";pigem kindel;kõnekeelne;jah;"Sõna ""Kesse"" küsisõnana on kõnekeelne, kuna see asendab standardset küsisõna ""kes see"" mitteametlikes ja kõnekeelsetes kontekstides. Selline kasutus on iseloomulik kõnekeelele ja mitteametlikule suhtlemisele, kus keelekasutus on vaba ja vähem formaalne. Näiteks kasutatakse seda sõna vestlustes ja sotsiaalmeedias, kus keelekasutus on sageli lõdvem ja vähem reeglipärane. Selline kasutus viitab sellele, et sõna on selles tähenduses informaalne.";;;;;;;;;;;;;
kõmmima;kõnekeelne;1;kõnekeelne;90;ei;1;tulistama või laskma relvaga;jah;5;sage;Kui just ei olnudki, et otse ülevalt kõmmiti. | Mulle tõepoolest sobib,300 meetri pealt eriti rebast ei kõmmi. | Kui sa loodad ,et keegi nüüd julgustab sind püssi võtma ja minema linna vareseid kõmmima. | Viimased postitused on ikka täielikud On jäljed ja kantslid, isegi siht on metsa sisse tehtud,kus saaks põtru kõmmida. | Mitte ei või enam isu täis kõmmida vaid lausa on kohus ( trahvihirmuga) jahimeestel täita normid.;informaalsetes;jah;Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda jahipidamise või sõjalise tegevuse kontekstis, mis on sageli mitteametlikud või kõnekeelsed arutelud. Sõna „kõmmima“ on siin asendatud neutraalsemate väljenditega nagu „tulistama“ või „laskma“.;pigem kindel;kõnekeelne;jah;Sõna „kõmmima“ kasutamine tulistamise tähenduses on kõnekeelne, kuna see on mitteametlik ja sageli kasutatav igapäevases kõnes, mitte ametlikes dokumentides.;1;Tulistama, laskma (relvaga);jah;3;sage;"""Sõdurid hakkasid vaenlase pihta kõmmima."" | ""Ta kõmmis metsas sihtmärke."" | ""Jahimees kõmmis püssiga."" | ""Lahingus kõmmisid nad vaenlase pihta."" | ""Politseinik kõmmis kurjategija pihta.""";neutraalsetes/formaalsetes;ei;Seda tähendust kasutatakse pigem neutraalsetes ja formaalsetes tekstides, kuna see viitab konkreetsele tegevusele, mis on seotud relvade ja laskmisega. Selline sõnakasutus on levinud ametlikes aruannetes, sõjaväelistes kontekstides ja uudistes, kus täpsus ja neutraalsus on olulised. Seetõttu ei ole see tähendus seotud kõnekeelse või informaalsete väljenditega.;väga kindel;ei kohaldu;ei;ei kohaldu
;;; ;;;2;koputama või lööma millegi vastu;jah;5;keskmine;Uksele kõmmiti. | Käratsedes ning kätega vastu raudeesriiet kõmmides jäävad tondid. | Käratsedes ning kätega kõmmides jäävad tondid. | Kõmmisin aga naelu ja arvasin esmalt, et seepärast peapööritus. | Krišnaiidid on vist suvepuhkusel – linnas kõmmib ringi ainult kolmeliikmeline tiim.;neutraalsetes/formaalsetes;ei;Seda tähendust kasutatakse pigem neutraalsetes/formaalsetes tekstides. Näiteks uksele koputamise või millegi vastu löömise kirjeldamisel ei ole sõna „kõmmima“ stiililiselt markeeritud ja see võib esineda ka ametlikumates kirjeldustes.;pigem kindel;ei kohaldu;ei;Ei kohaldu, kuna see kasutus ei ole stiililiselt markeeritud ja võib esineda nii ametlikes kui mitteametlikes tekstides.;2;Pildistama, klõpsima (kaameraga);ei;3;keskmine;"""Fotograaf kõmmis modellist pilte."" | ""Ta kõmmis kogu ürituse üles."" | ""Puhkusel olles kõmmis ta palju pilte."" | ""Kaameraga kõmmides jäädvustas ta hetki."" | ""Sõber kõmmis minust foto.""";informaalsetes;ei;Seda tähendust kasutatakse pigem informaalsetes tekstides, kuna pildistamise kontekstis on sõna „kõmmima” kõnekeelne ja rahvapärane. See väljendab tegevust, mis on seotud igapäevase ja mitteametliku suhtlusega, näiteks sotsiaalmeedias või sõprade vahelises vestluses. Sõna „kõmmima” pildistamise tähenduses ei ole ametlikus keeles tavapärane.;pigem kindel;kõnekeelne;ei;Sõna „kõmmima” pildistamise tähenduses on kõnekeelne ja rahvapärane, kuna see väljendab tegevust, mis on seotud igapäevase ja mitteametliku suhtlusega. Seda kasutatakse sageli mitteametlikes olukordades, näiteks sõprade vahelises vestluses või sotsiaalmeedias, kus formaalsus ei ole vajalik. See ei ole ametlikus keeles tavapärane, mistõttu sobivad märgendid „kõnekeelne” ja „rahvapärane”.
;;; ;;;3;seksuaalvahekorras olema;jah;5;vähene;Talunik kohtab kõrtsis pensionil palgamõrvarit. Viskipudeli taga tuleb jutuks mõrvari tehtud töö. Farmer uurib: 'Kuule, naabrimees käib mu naist kõmmimas ...' | Vastutasuks soovin seksi. Raha pole mõtet pakkuda, raha eest ei tööta!!! ... elektri eest kõmmin kedagi Eesti Energiast. | Sobivusel edas pidi tuleks ka naine kampa. Mitte noorem kui 35 ja kindlasti pilt peaks olema. ... kuniks härra meestega kõmmib. | Mausoleum kujutab endast kõrge aia ja tugeva väravaga, muust ilmast eraldet, tsitadelli. Turvamehed avavad selle ainult hetkeks, kui me sisse sõidame. Käratsedes ning kätega kõmmides jäävad tondid. | Kuidas ma kõmmita endale lattu Westonseid mingi 1000 tk osta saaks?;informaalsetes;jah;Seda tähendust kasutatakse pigem informaalsetes tekstides. Seksuaalvahekorda tähistav „kõmmima“ on vulgaarne ja kõnekeelne, sobides pigem mitteametlikesse vestlustesse või kirjeldustesse.;väga kindel;vulgaarne;jah;Sõna „kõmmima“ seksuaalvahekorra tähenduses on vulgaarne, kuna see on labane ja sobib pigem mitteametlikesse vestlustesse.;2;Pildistama, klõpsima (kaameraga);;3;keskmine;"""Fotograaf kõmmis modellist pilte."" | ""Ta kõmmis kogu ürituse üles."" | ""Puhkusel olles kõmmis ta palju pilte."" | ""Kaameraga kõmmides jäädvustas ta hetki."" | ""Sõber kõmmis minust foto.""";informaalsetes;;Seda tähendust kasutatakse pigem informaalsetes tekstides, kuna pildistamise kontekstis on sõna „kõmmima” kõnekeelne ja rahvapärane. See väljendab tegevust, mis on seotud igapäevase ja mitteametliku suhtlusega, näiteks sotsiaalmeedias või sõprade vahelises vestluses. Sõna „kõmmima” pildistamise tähenduses ei ole ametlikus keeles tavapärane.;pigem kindel;rahvapärane;ei;Sõna „kõmmima” pildistamise tähenduses on kõnekeelne ja rahvapärane, kuna see väljendab tegevust, mis on seotud igapäevase ja mitteametliku suhtlusega. Seda kasutatakse sageli mitteametlikes olukordades, näiteks sõprade vahelises vestluses või sotsiaalmeedias, kus formaalsus ei ole vajalik. See ei ole ametlikus keeles tavapärane, mistõttu sobivad märgendid „kõnekeelne” ja „rahvapärane”.
;;; ;;;4;käibemaksu (KM) tähistamine;ei;5;keskmine;Eestis siiski 20% kõmmi juurde. | Kui on kokku lepitud hind ja kindlasti oli see vaikimisi ilma kõmmita. | Kas firma peab maksma makstud summa pealt kõmmi. | KM on riigi raha, Sinu käes lihtsalt hoiul hetkest mil sa arve koos kõmmiga väljastad. | M.K.T. puhul tasub tähele panna, et hinnad on ilma kõmmita.;neutraalsetes/formaalsetes;ei;Seda tähendust kasutatakse pigem neutraalsetes/formaalsetes tekstides. Kuigi „kõmm“ on siin lühend, on see kontekstis, kus räägitakse maksudest ja rahandusest, mis on tavaliselt formaalsed teemad.;pigem kindel;harv;ei;Seda kasutust esineb harva, kuna „kõmm“ kui käibemaksu lühend ei ole laialt levinud ja on pigem spetsiifiline.;3;Kõvasti lööma, paugutama (nt uksi);jah;3;vähene;"""Ta kõmmis ukse kinni."" | ""Laps kõmmis palli vastu seina."" | ""Ta kõmmis rusikaga lauale."" | ""Uks kõmmis tugevalt kinni."" | ""Ta kõmmis kapiukse kinni.""";ei kohaldu;ei;Selle tähenduse puhul ei kohaldu selge eristus, kuna andmeid on vähe ja kasutus võib varieeruda. Mõnel juhul võib see olla informaalne, kuid andmete vähesuse tõttu ei saa kindlat järeldust teha.;pigem ebakindel;harv;ei;Sõna „kõmmima” tähenduses „kõvasti lööma” on harv, kuna andmeid on vähe ja see ei ole levinud kasutus. Märgend „harv” sobib, kuna see tähendus ei ole laialdaselt tuntud ega kasutatud.
;;; ;;;5;kõndima või liikuma;ei;5;vähene;Ei põe. Aga kui minu eas veel keegi käiks ja õiendaks ja manitseks, andes mõista, et ma ei tea, mis ma teen ja kui teen, ei tee hästi, siis see ajaks küll närvi. | Krišnaiidid on vist suvepuhkusel – linnas kõmmib ringi ainult kolmeliikmeline tiim. | Kuidas ma kõmmita endale lattu Westonseid mingi 1000 tk osta saaks? | Krišnaiidid on vist suvepuhkusel – linnas kõmmib ringi ainult kolmeliikmeline tiim. | Kuidas ma kõmmita endale lattu Westonseid mingi 1000 tk osta saaks?;informaalsetes;ei;Seda tähendust kasutatakse pigem informaalsetes tekstides. Sõna „kõmmima“ kasutamine liikumise tähenduses on kõnekeelne ja mitteametlik, sobides pigem igapäevasesse vestlusesse.;pigem ebakindel;kõnekeelne;ei;Sõna „kõmmima“ kasutamine liikumise tähenduses on kõnekeelne, kuna see on mitteametlik ja sobib igapäevasesse vestlusesse.;;;;;;;;;;;;;
soperdis;kõnekeelne;1;kõnekeelne;2230;jah;1;halvasti tehtud või ebaõnnestunud töö või teos;jah;3;sage;Aasta parim soperdis! | Kes selle soperdise tellis? | Seadust nimetas ta soperdiseks. | See soperdis solvab kõiki Eesti naisi ja emasid. | See pole ju mingi pliit vaid pragunenud, mitte tõmbav, katkise uksega ja kõikide muude hädadega SOPERDIS.;informaalsetes;jah;"Sõna ""soperdis"" kasutatakse halvustavalt ja mitteametlikult, et kirjeldada midagi, mis on halvasti tehtud või ebaõnnestunud. Näiteks seaduse või töö kohta, mis ei vasta ootustele või standarditele. Seda kasutatakse sageli kriitilises või negatiivses kontekstis, mis viitab sellele, et tegemist on pigem informaalsete tekstidega. Selline kasutusviis on levinud igapäevases kõnepruugis, kus inimesed väljendavad oma rahulolematust või pettumust. Seetõttu olen väga kindel, et seda kasutatakse informaalsetes tekstides.";väga kindel;kõnekeelne;jah;"Sõna ""soperdis"" kasutatakse sageli halvustavalt, et kirjeldada midagi, mis on halvasti tehtud või ebaõnnestunud. See viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Selline kasutusviis on levinud igapäevases kõnepruugis, kus inimesed väljendavad oma rahulolematust või pettumust. Seetõttu sobivad märgendid ""kõnekeelne"" ja ""halvustav"".";1;halvasti tehtud töö või ese;jah;2;sage;See tool on täielik soperdis. | Tema viimane projekt oli täielik soperdis. | See maal näeb välja nagu soperdis. | Kook, mille ta küpsetas, oli täielik soperdis. | See auto remont on täielik soperdis.;informaalsetes;jah;Sõna „soperdis” kasutatakse sageli igapäevases kõnepruugis, et kirjeldada midagi, mis on halvasti tehtud või ebaõnnestunud. See on pigem kõnekeelne väljend, mida kasutatakse mitteametlikes olukordades, näiteks sõprade või pereliikmete vahel. Sõna kannab endas negatiivset hinnangut ja seetõttu ei sobi see formaalsetesse tekstidesse. Märksõna „soperdis” on tihti seotud emotsionaalse reaktsiooniga, mis viitab pettumusele või rahulolematusele tehtud töö või eseme kvaliteedi suhtes.;väga kindel;kõnekeelne;jah;Sõna „soperdis” on kõnekeelne, kuna seda kasutatakse mitteametlikes olukordades ja see ei sobi formaalsetesse tekstidesse. Samuti on see halvustav, kuna viitab negatiivselt halvasti tehtud tööle või esemele. See väljendab pettumust või rahulolematust ja kannab endas negatiivset hinnangut. Sõna kasutatakse sageli emotsionaalse reaktsiooni väljendamiseks, mis viitab tehtud töö või eseme kvaliteedi puudujääkidele.
;;; ;;;1;halvasti tehtud või ebaõnnestunud töö või teos;;3;sage;Aasta parim soperdis! | Kes selle soperdise tellis? | Seadust nimetas ta soperdiseks. | See soperdis solvab kõiki Eesti naisi ja emasid. | See pole ju mingi pliit vaid pragunenud, mitte tõmbav, katkise uksega ja kõikide muude hädadega SOPERDIS.;informaalsetes;;"Sõna ""soperdis"" kasutatakse halvustavalt ja mitteametlikult, et kirjeldada midagi, mis on halvasti tehtud või ebaõnnestunud. Näiteks seaduse või töö kohta, mis ei vasta ootustele või standarditele. Seda kasutatakse sageli kriitilises või negatiivses kontekstis, mis viitab sellele, et tegemist on pigem informaalsete tekstidega. Selline kasutusviis on levinud igapäevases kõnepruugis, kus inimesed väljendavad oma rahulolematust või pettumust. Seetõttu olen väga kindel, et seda kasutatakse informaalsetes tekstides.";väga kindel;halvustav;jah;"Sõna ""soperdis"" kasutatakse sageli halvustavalt, et kirjeldada midagi, mis on halvasti tehtud või ebaõnnestunud. See viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Selline kasutusviis on levinud igapäevases kõnepruugis, kus inimesed väljendavad oma rahulolematust või pettumust. Seetõttu sobivad märgendid ""kõnekeelne"" ja ""halvustav"".";1;halvasti tehtud töö või ese;;2;sage;See tool on täielik soperdis. | Tema viimane projekt oli täielik soperdis. | See maal näeb välja nagu soperdis. | Kook, mille ta küpsetas, oli täielik soperdis. | See auto remont on täielik soperdis.;informaalsetes;;Sõna „soperdis” kasutatakse sageli igapäevases kõnepruugis, et kirjeldada midagi, mis on halvasti tehtud või ebaõnnestunud. See on pigem kõnekeelne väljend, mida kasutatakse mitteametlikes olukordades, näiteks sõprade või pereliikmete vahel. Sõna kannab endas negatiivset hinnangut ja seetõttu ei sobi see formaalsetesse tekstidesse. Märksõna „soperdis” on tihti seotud emotsionaalse reaktsiooniga, mis viitab pettumusele või rahulolematusele tehtud töö või eseme kvaliteedi suhtes.;väga kindel;halvustav;jah;Sõna „soperdis” on kõnekeelne, kuna seda kasutatakse mitteametlikes olukordades ja see ei sobi formaalsetesse tekstidesse. Samuti on see halvustav, kuna viitab negatiivselt halvasti tehtud tööle või esemele. See väljendab pettumust või rahulolematust ja kannab endas negatiivset hinnangut. Sõna kasutatakse sageli emotsionaalse reaktsiooni väljendamiseks, mis viitab tehtud töö või eseme kvaliteedi puudujääkidele.
;;; ;;;2;ebakvaliteetne või segane tekst või kirjutis;jah;3;keskmine;Keegi su täispeaga kirjutatud soperdisi loeb ka? | Ilusas eesti keeles nimetatakse selliseid kirjutisi soperdisteks. | Täna ilmus minust ja minu firmadest teie sepistatud, ütleme konkreetselt, soperdis. | Kohutavat soperdist lugesin hetkel. | See artikkel on üks paras soperdis.;informaalsetes;jah;"Sõna ""soperdis"" kasutatakse sageli halvustavalt, et kirjeldada tekste või kirjutisi, mis on segased, ebakvaliteetsed või halvasti kirjutatud. Seda kasutatakse tihti kriitilises kontekstis, et väljendada rahulolematust või pettumust kirjutise kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on pigem informaalsete tekstidega, kus inimesed väljendavad oma arvamust või kriitikat. Seetõttu olen pigem kindel, et seda kasutatakse informaalsetes tekstides.";pigem kindel;kõnekeelne;jah;"Sõna ""soperdis"" kasutatakse sageli halvustavalt, et kirjeldada tekste või kirjutisi, mis on segased, ebakvaliteetsed või halvasti kirjutatud. See viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Selline kasutusviis on levinud igapäevases kõnepruugis, kus inimesed väljendavad oma rahulolematust või pettumust. Seetõttu sobivad märgendid ""kõnekeelne"" ja ""halvustav"".";2;segane või arusaamatu tekst või jutt;jah;2;keskmine;See artikkel on täielik soperdis. | Tema kõne oli üks suur soperdis. | Raamatu viimane peatükk oli täielik soperdis. | Tema seletus oli täielik soperdis. | See raport on täielik soperdis.;informaalsetes;jah;Sõna „soperdis” kasutatakse sageli mitteametlikes olukordades, et kirjeldada segast või arusaamatut teksti või juttu. See väljend on pigem kõnekeelne ja seda kasutatakse siis, kui soovitakse rõhutada, et tekst või jutt on halvasti struktureeritud või raskesti mõistetav. Kuna sõna kannab endas negatiivset hinnangut, ei sobi see formaalsetesse tekstidesse. Seda kasutatakse tihti igapäevases suhtluses, et väljendada rahulolematust või segadust teksti või jutu sisu üle.;väga kindel;kõnekeelne;jah;Sõna „soperdis” on kõnekeelne, kuna seda kasutatakse mitteametlikes olukordades ja see ei sobi formaalsetesse tekstidesse. Samuti on see halvustav, kuna viitab negatiivselt segasele või arusaamatule tekstile või jutule. See väljendab rahulolematust või segadust ja kannab endas negatiivset hinnangut. Sõna kasutatakse sageli emotsionaalse reaktsiooni väljendamiseks, mis viitab teksti või jutu sisu puudujääkidele.
;;; ;;;2;ebakvaliteetne või segane tekst või kirjutis;;3;keskmine;Keegi su täispeaga kirjutatud soperdisi loeb ka? | Ilusas eesti keeles nimetatakse selliseid kirjutisi soperdisteks. | Täna ilmus minust ja minu firmadest teie sepistatud, ütleme konkreetselt, soperdis. | Kohutavat soperdist lugesin hetkel. | See artikkel on üks paras soperdis.;informaalsetes;;"Sõna ""soperdis"" kasutatakse sageli halvustavalt, et kirjeldada tekste või kirjutisi, mis on segased, ebakvaliteetsed või halvasti kirjutatud. Seda kasutatakse tihti kriitilises kontekstis, et väljendada rahulolematust või pettumust kirjutise kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on pigem informaalsete tekstidega, kus inimesed väljendavad oma arvamust või kriitikat. Seetõttu olen pigem kindel, et seda kasutatakse informaalsetes tekstides.";pigem kindel;halvustav;jah;"Sõna ""soperdis"" kasutatakse sageli halvustavalt, et kirjeldada tekste või kirjutisi, mis on segased, ebakvaliteetsed või halvasti kirjutatud. See viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Selline kasutusviis on levinud igapäevases kõnepruugis, kus inimesed väljendavad oma rahulolematust või pettumust. Seetõttu sobivad märgendid ""kõnekeelne"" ja ""halvustav"".";2;segane või arusaamatu tekst või jutt;;2;keskmine;See artikkel on täielik soperdis. | Tema kõne oli üks suur soperdis. | Raamatu viimane peatükk oli täielik soperdis. | Tema seletus oli täielik soperdis. | See raport on täielik soperdis.;informaalsetes;;Sõna „soperdis” kasutatakse sageli mitteametlikes olukordades, et kirjeldada segast või arusaamatut teksti või juttu. See väljend on pigem kõnekeelne ja seda kasutatakse siis, kui soovitakse rõhutada, et tekst või jutt on halvasti struktureeritud või raskesti mõistetav. Kuna sõna kannab endas negatiivset hinnangut, ei sobi see formaalsetesse tekstidesse. Seda kasutatakse tihti igapäevases suhtluses, et väljendada rahulolematust või segadust teksti või jutu sisu üle.;väga kindel;halvustav;jah;Sõna „soperdis” on kõnekeelne, kuna seda kasutatakse mitteametlikes olukordades ja see ei sobi formaalsetesse tekstidesse. Samuti on see halvustav, kuna viitab negatiivselt segasele või arusaamatule tekstile või jutule. See väljendab rahulolematust või segadust ja kannab endas negatiivset hinnangut. Sõna kasutatakse sageli emotsionaalse reaktsiooni väljendamiseks, mis viitab teksti või jutu sisu puudujääkidele.
;;; ;;;3;ebakvaliteetne või segane kunstiteos või visuaalne objekt;jah;3;vähene;Hingematvaid soperdisi Kuresaare kesklinnast tõepoolest leiab. | Kui kunst on soperdis, siis see on porno. | Kas praegustest ämbritest (Ferrumid jt. hingematvad soperdised) on veel vähe? | Minu soperdised kahjuks äramärkimist ei leidnud. | Kõike ei saa muidugi päris kunstiks nimetada, sest soperdisi leidub ka.;informaalsetes;jah;"Sõna ""soperdis"" kasutatakse ka kunstiteoste või visuaalsete objektide kohta, mis on ebakvaliteetsed või segased. Seda kasutatakse sageli kriitilises kontekstis, et väljendada rahulolematust või pettumust kunstiteose kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on pigem informaalsete tekstidega, kus inimesed väljendavad oma arvamust või kriitikat. Kuna näiteid on vähem, olen pigem ebakindel, et seda kasutatakse informaalsetes tekstides.";pigem ebakindel;kõnekeelne;jah;"Sõna ""soperdis"" kasutatakse ka kunstiteoste või visuaalsete objektide kohta, mis on ebakvaliteetsed või segased. Seda kasutatakse sageli kriitilises kontekstis, et väljendada rahulolematust või pettumust kunstiteose kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Kuna näiteid on vähem, sobib ka märgend ""harv"". Seetõttu sobivad märgendid ""kõnekeelne"", ""halvustav"" ja ""harv"".";;;;;;;;;;;;;
;;; ;;;3;ebakvaliteetne või segane kunstiteos või visuaalne objekt;;3;vähene;Hingematvaid soperdisi Kuresaare kesklinnast tõepoolest leiab. | Kui kunst on soperdis, siis see on porno. | Kas praegustest ämbritest (Ferrumid jt. hingematvad soperdised) on veel vähe? | Minu soperdised kahjuks äramärkimist ei leidnud. | Kõike ei saa muidugi päris kunstiks nimetada, sest soperdisi leidub ka.;informaalsetes;;"Sõna ""soperdis"" kasutatakse ka kunstiteoste või visuaalsete objektide kohta, mis on ebakvaliteetsed või segased. Seda kasutatakse sageli kriitilises kontekstis, et väljendada rahulolematust või pettumust kunstiteose kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on pigem informaalsete tekstidega, kus inimesed väljendavad oma arvamust või kriitikat. Kuna näiteid on vähem, olen pigem ebakindel, et seda kasutatakse informaalsetes tekstides.";pigem ebakindel;halvustav;jah;"Sõna ""soperdis"" kasutatakse ka kunstiteoste või visuaalsete objektide kohta, mis on ebakvaliteetsed või segased. Seda kasutatakse sageli kriitilises kontekstis, et väljendada rahulolematust või pettumust kunstiteose kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Kuna näiteid on vähem, sobib ka märgend ""harv"". Seetõttu sobivad märgendid ""kõnekeelne"", ""halvustav"" ja ""harv"".";;;;;;;;;;;;;
;;; ;;;3;ebakvaliteetne või segane kunstiteos või visuaalne objekt;;3;vähene;Hingematvaid soperdisi Kuresaare kesklinnast tõepoolest leiab. | Kui kunst on soperdis, siis see on porno. | Kas praegustest ämbritest (Ferrumid jt. hingematvad soperdised) on veel vähe? | Minu soperdised kahjuks äramärkimist ei leidnud. | Kõike ei saa muidugi päris kunstiks nimetada, sest soperdisi leidub ka.;informaalsetes;;"Sõna ""soperdis"" kasutatakse ka kunstiteoste või visuaalsete objektide kohta, mis on ebakvaliteetsed või segased. Seda kasutatakse sageli kriitilises kontekstis, et väljendada rahulolematust või pettumust kunstiteose kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on pigem informaalsete tekstidega, kus inimesed väljendavad oma arvamust või kriitikat. Kuna näiteid on vähem, olen pigem ebakindel, et seda kasutatakse informaalsetes tekstides.";pigem ebakindel;harv;ei;"Sõna ""soperdis"" kasutatakse ka kunstiteoste või visuaalsete objektide kohta, mis on ebakvaliteetsed või segased. Seda kasutatakse sageli kriitilises kontekstis, et väljendada rahulolematust või pettumust kunstiteose kvaliteedi üle. Selline kasutusviis viitab sellele, et tegemist on kõnekeelse ja halvustava kasutusega. Kuna näiteid on vähem, sobib ka märgend ""harv"". Seetõttu sobivad märgendid ""kõnekeelne"", ""halvustav"" ja ""harv"".";;;;;;;;;;;;;
tele;kõnekeelne;3;kõnekeelne;28928;jah;1;Televisioon või sellega seotud tegevused;jah;3;sage;Ent tuleb silmas pidada, et tele on siiski visuaalne meedium. | Tele on ikka vaatamiseks, mitte kuulamiseks. | Tele Tallinn aitab kodanikuühiskonda arendades kaasa Tallinna elanike sotsiaalse sidususe kasvule ja kultuurilisele arengule. | Tele on lihtsalt natuke rohkem tootmine kui teater. | Tele on tohutult kollektiivne töö, seal on hästi palju inimesi ühe asja kallal.;neutraalsetes/formaalsetes;ei;"Televisiooniga seotud tähenduses kasutatakse sõna ""tele"" sageli neutraalsetes ja formaalsetes kontekstides, nagu meediaanalüüsid, ametlikud aruanded ja televisiooni kirjeldavad tekstid. Näiteks kasutatakse seda meediaorganisatsioonide kirjeldamisel või televisiooni kui meediumi analüüsimisel. See viitab sellele, et sõna on selles tähenduses pigem neutraalne ja formaalne, kuna see ei kanna endas kõnekeelset või mitteametlikku varjundit.";väga kindel;ei kohaldu;ei;"Televisiooniga seotud tähenduses ei ole sõna ""tele"" kasutusel eripäraselt, kuna see on üldiselt aktsepteeritud ja standardne termin, mida kasutatakse laialdaselt meedia ja televisiooni kontekstis. Seetõttu ei ole sellele tähendusele vaja lisada eraldi registrimärgendit.";1;ei määratletud;ei;0;ei määratletud;ei leitud;ei määratletud;ei;ei määratletud;pigem ebakindel;ei kohaldu;ei;ei kohaldu
;;;ei kohaldu;;;2;Telekommunikatsioonifirma Tele2;ei;3;keskmine;8 aastat olnud TELE 2, siiamaani rahul! | Tele 2 teeb häid pakkumisi, kas keegi kasutab Tele 2 mobiilset interneti ja kuidas toimib. | Tele 2 on heateeninduse kiituse ära teeninud. | Tele 2 töötajad on alati lahked ja abivalmid. | Tele 2 on Tele 2 ja las ta jääb neile kes on rahul sellega.;informaalsetes;ei;"Telekommunikatsioonifirma Tele2 kontekstis kasutatakse sõna ""tele"" sageli informaalsetes tekstides, nagu foorumipostitused, isiklikud arvamused ja kliendikogemuste jagamised. Need tekstid on tihti vabas vormis ja sisaldavad isiklikke hinnanguid, mis viitab sellele, et sõna kasutatakse pigem mitteametlikus kontekstis. Lisaks on Tele2 sageli seotud igapäevaste teenuste ja kasutajakogemustega, mis on loomult mitteametlikud.";pigem kindel;kõnekeelne;ei;"Telekommunikatsioonifirma Tele2 kontekstis on sõna ""tele"" kasutus kõnekeelne ja rahvapärane, kuna see esineb sageli mitteametlikes tekstides, nagu foorumipostitused ja isiklikud arvamused. See viitab sellele, et sõna kasutatakse igapäevases kõnepruugis ja on rahva seas levinud, kuid mitte ametlik termin.";;;;;;;;;;;;;
;;; ;;;2;Telekommunikatsioonifirma Tele2;;3;keskmine;8 aastat olnud TELE 2, siiamaani rahul! | Tele 2 teeb häid pakkumisi, kas keegi kasutab Tele 2 mobiilset interneti ja kuidas toimib. | Tele 2 on heateeninduse kiituse ära teeninud. | Tele 2 töötajad on alati lahked ja abivalmid. | Tele 2 on Tele 2 ja las ta jääb neile kes on rahul sellega.;informaalsetes;;"Telekommunikatsioonifirma Tele2 kontekstis kasutatakse sõna ""tele"" sageli informaalsetes tekstides, nagu foorumipostitused, isiklikud arvamused ja kliendikogemuste jagamised. Need tekstid on tihti vabas vormis ja sisaldavad isiklikke hinnanguid, mis viitab sellele, et sõna kasutatakse pigem mitteametlikus kontekstis. Lisaks on Tele2 sageli seotud igapäevaste teenuste ja kasutajakogemustega, mis on loomult mitteametlikud.";pigem kindel;rahvapärane;ei;"Telekommunikatsioonifirma Tele2 kontekstis on sõna ""tele"" kasutus kõnekeelne ja rahvapärane, kuna see esineb sageli mitteametlikes tekstides, nagu foorumipostitused ja isiklikud arvamused. See viitab sellele, et sõna kasutatakse igapäevases kõnepruugis ja on rahva seas levinud, kuid mitte ametlik termin.";;;;;;;;;;;;;
