katsesõna;valimisse_sai_märgendiga;ÜSis_tähendusi_kokku;ÜSis_tähenduste_küljes_olevad_ja_õigeks_loetavad_märgendid;SkE_2023_sagedus;vektoriseerimine;korp_tähenduse_nr;korp_tähendus;korp_koond_tähendus_olemas_ja_adekvaatne;korp_tähenduste_arv_kokku;korps_sagedus;korp_näited;korp_tekstiregister;korp_registri_adekvaatsus;korp_registri_põhjendus;korp_registri_kindlus;korp_märgend;korp_märgendi_adekvaatsus;korp_märgendi_põhjendus;treening_tähenduse_nr;treening_tähendus;treening_koond_tähendus_olemas_ja_adekvaatne;treening_tähenduste_arv_kokku;treening_sagedus;treening_näited;treening_tekstiregister;treening_registri_adekvaatsus;treening_registri_põhjendus;treening_registri_kindlus;treening_märgend;treening_märgendi_adekvaatsus;treening_märgendi_põhjendus
;;;;;;2;ettevõtte/brändi nimi;ei;5;sage;8 aastat olnud TELE 2, siiamaani rahul! | Tele 2 teeb häid pakkumisi, kas keegi kasutab Tele 2 mobiilset interneti ja kuidas toimib. | Tallinna Televisioon (edaspidi Tele Tallinn) on euroopalikke väärtusi kandev innovaatiline meediaorganisatsioon. | TELE RADIO on eksperdid juhtmevabade pultide ja kaugjuhtimise alal. | Lansec Tele on TOOTED sertifitseeritud paigaldaja.;neutraalsetes/formaalsetes;ei;"Ettevõtete nimedes esinev ""Tele"" on neutraalne, kuna tegemist on ametlike nimedega. Tekstides esineb see nii ametlikes kirjeldustes kui ka argisemates kontekstides. Firmanimena ei ole see stiililiselt markeeritud. Kasutus on universaalne ja ei sõltu registrist. See on lihtsalt nime osa.";väga kindel;ei kohaldu;ei;ei kohaldu;;;;;;;;;;;;;
;;;;;;3;eesliide kaug-;jah;5;vähene;Nimetus 'telemeditsiin' on kreekakeelse tüvega, tulenedes sõnast 'tele' (kaugel/eemal). | Telegraafside (tuleb Kreeka keelest tele – τηλε ehk 'kaugele' ja graphein – γραφειν ehk 'kirjutamine'). | Järgnevalt arutasime Tarmoga, et tele- on kreeka või ladina keeles kaug-. | Inglise keeles on 'portable' on kantav. Tele- on eesliitema kaug-. | Tele telefon on teie DSLR.;neutraalsetes/formaalsetes;jah;"Eesliide ""tele-"" esineb tekstides teaduslikes ja selgitavates kontekstides. Kasutatakse terminite moodustamisel ja seletamisel. See on neutraalne teaduslik element. Pole ei argine ega kõrgstiilne, vaid täpne termin. Kasutus on akadeemiline ja informatiivne.";väga kindel;ei kohaldu;jah;ei kohaldu;;;;;;;;;;;;;
;;;;;;4;kitarrimudel telecaster;ei;5;vähene;Ise valiks Tele, kuid tegelikult on ikka nii, et kitarri kuju peaksid ise valima. | Kui jazzi ja bluesi, siis on thinline tele vast kõige parem variant. | Müüa custom Tele brass sadulad, kompenseeritavad ja täielikult häälestatavad. | Faded, kust sul Tele alla 3000-ga õnnestus saada? | See tele ei ole päris tele, kuna tal on tehtud õllekõhusüvend sisse.;informaalsetes;ei;"Telecaster-kitarri lühendina esineb ""tele"" muusikafoorumites ja hobiaruteludes. See on spetsiifilise kogukonna argine väljend. Formaalsetes tekstides kasutataks pigem täisnime. Kasutus on selgelt informaalne ja kuulub kitarristide slängi. Tegemist on hobikogukonna argikeelega.";pigem kindel;harv;ei;"Telecaster-kitarri lühendina on ""tele"" kasutus piiratud kitarristide kitsas ringkonnas. Tekstimaterjalis on selliseid näiteid vähe, mis viitab harva kasutusele. Väljaspool muusikute kogukonda pole see tähendus tuntud. Tegemist on spetsiifilise valdkonna terminiga. Kasutus on harv ja piiratud.";;;;;;;;;;;;;
;;;;;;5;verbi sufiksielement;ei;5;vähene;-tle- (-tele-) on enamasti liitsufiks, mis moodustub -le- liitumisel ta-liitelistele verbidele, nt nalja/ta/ma > nalja/t/le/ma ~ nalja/te/le/ma. | küsi/ma > küsi/tle/ma ~ küsi/tele/ma. | tele-rööbikut kasutatakse harvemini ning see on stiililt markeeritud. | Aeg möödus naljatelles ja vallatelles. | Kujutelin kujuteldamatut.;neutraalsetes/formaalsetes;ei;Grammatiline element esineb keeleteaduslikus tekstis. See on lingvistiline termin, mitte argine kasutus. Tekstis on see esitatud teaduslikus kontekstis koos näidetega. Kasutus on akadeemiline ja neutraalne. Tegemist on grammatilise terminiga.;väga kindel;harv;ei;Grammatiline element esineb vähestes verbides ja tekstimaterjalis on ainult paar näidet. See on keeleteaduslik termin, mida tavakasutuses harva kohtab. Produktiivsus on madal ja kasutus piiratud. Tegemist on harva esineva grammatilise elemendiga. Tekstimaterjal kinnitab vähest kasutust.;;;;;;;;;;;;;
jänku;lastekeelne;2;muu täh registrita: jänest kujutav pehme mänguasi;14603;jah;1;küülik/jänes;jah;3;sage;Jänku on keskmist kasvu, avatud, rõõmsameelne, ilusa karvastikuga emane siberi husky. | Nimelt suri mõni päev tagasi meie palavalt armastud Jänku Ta oli 4 aastane ja toodi meile eelmise aasta emadepäeval. | Jänku on tõesti ägeda karvakasukaga:). | Olen alles värske jänku omanik. | Jänku elab ühes aedikus koos oma Brigi ja poolõe Vickyga.;neutraalsetes/formaalsetes;ei;Küüliku või jänese tähenduses kasutatakse sõna peamiselt neutraalsetes ja asjalikes kontekstides. Tekstid pärinevad lemmikloomafoorumitest, müügikuulutustest ja kirjeldustest. Keelekasutus on korrektne ja informatiivne. Puuduvad slängi või kõnekeele tunnused. Sõna kasutatakse täiesti neutraalselt lemmiklooma või looma kohta.;väga kindel;ei kohaldu;ei;ei kohaldu;1;jänes, küülik;jah;2;sage;Väike jänku hüppas üle aia põllule. | Lapsed toitsid jänkut porgandiga. | Metsas nägin valget jänkut põõsa all. | Jänku sõi aias kapsalehti. | Talvel jättis jänku lumele oma jäljed.;ei kohaldu;ei;"Sõna ""jänku"" loomanimetusena kasutatakse nii informaalsetes kui neutraalsetes kontekstides. See on küll lastekeelne ja rahvapärane, kuid pole täielikult informaalne. Esineb nii lastekirjanduses kui igapäevases kõnes. Kuigi ametlikes tekstides eelistatakse ""jänes"", pole ""jänku"" siiski ainult informaalne. Seetõttu on raske teha selget eristust registri osas.";pigem kindel;lastekeelne;jah;"Sõna ""jänku"" on lastekeeles tavaline ja armastatud nimetus jänesele. See esineb sageli muinasjuttudes, lastelauludes ja -luuletustes."
;;;;;;2;mänguasi;jah;3;keskmine;Pehme jänku (25-30 cm). | Mul on väike plüüsist jänku. Ta on hõbedane. | Kaks vallatut jänkut, kel kevad põues ja sära silmis! | Jänku on valmistatud pehmest poolvillasest lõngast. | Õpetuse järgi valmib 22 cm kõrgune värvikirev jänku.;neutraalsetes/formaalsetes;jah;Mänguasja tähenduses esineb sõna käsitööblogides, müügikuulutustes ja tootkirjeldustes. Keelekasutus on neutraalne ja kirjeldav. Tekstid on informatiivsed ja asjalikud. Puuduvad emotsionaalsed või kõnekeelsed väljendid. Sõna kasutatakse standardses kontekstis.;väga kindel;ei kohaldu;jah;ei kohaldu;1;jänes, küülik;;2;sage;Väike jänku hüppas üle aia põllule. | Lapsed toitsid jänkut porgandiga. | Metsas nägin valget jänkut põõsa all. | Jänku sõi aias kapsalehti. | Talvel jättis jänku lumele oma jäljed.;ei kohaldu;;"Sõna ""jänku"" loomanimetusena kasutatakse nii informaalsetes kui neutraalsetes kontekstides. See on küll lastekeelne ja rahvapärane, kuid pole täielikult informaalne. Esineb nii lastekirjanduses kui igapäevases kõnes. Kuigi ametlikes tekstides eelistatakse ""jänes"", pole ""jänku"" siiski ainult informaalne. Seetõttu on raske teha selget eristust registri osas.";pigem kindel;rahvapärane;ei;"Rahvapärane märgend sobib, kuna see on rahva seas levinud mitteametlik nimetus, mida kasutatakse paralleelselt ametlikuma ""jänes"" sõnaga. Sõna on emotsionaalselt soe ja hellitav, mis on iseloomulik just lastekeelele ja rahvapärasele keelekasutusele."
;;;;;;3;hüüdnimi/nimi;ei;3;vähene;Nimi: jänku Vanus: 26 Elukoht: Lääne-Virumaa | Nimi: Jänku (21-aastane)Asukoht: TallinnTutvumiskuulutus: | Mind kutsutakse Yanckowichiks. Lühemalt lihtsalt Jänku. | Hüüdnimi: Jänku. MSN: seda sa tead | Eetla hüüdnimi oli siis Jänku.;informaalsetes;ei;Hüüdnime tähenduses esineb sõna peamiselt tutvumiskuulutustes ja isiklikes tekstides. Keelekasutus on vaba ja mitteformaalne. Tekstides on emotsioone ja kõnekeelseid väljendeid. Kontekst on isiklik ja mitteametlik. Sõna kasutatakse pigem intiimsetes või vabades olukordades.;pigem kindel;kõnekeelne;ei;Hüüdnime tähendus on kõnekeelne, kuna esineb peamiselt mitteformaalsetes tutvumiskuulutustes ja isiklikes tekstides. Keelekasutus on vaba ja argine. Sõna kasutatakse intiimsetes kontekstides. See pole ametlik nimi vaid hellitusnimi või hüüdnimi. Kasutus on iseloomulik just vabale suhtlusele.;2;arg, pelglik inimene;ei;2;vähene;Ära ole selline jänku, mine ja räägi temaga! | Ta on täielik jänku, kardab isegi oma varju. | Jänku ei julgenud ülemusele vastu vaielda. | Sellise jänkuga pole midagi peale hakata. | Poisid kutsusid teda jänkuks, sest ta kartis pimedust.;informaalsetes;ei;"Sõna ""jänku"" arga inimese tähenduses on selgelt informaalne ja kõnekeelne. Seda kasutatakse peamiselt suulises kõnes ja mitteametlikes tekstides. Väljend on halvustav ja sisaldab negatiivset hinnangut. Formaalsetes ja ametlikes tekstides seda kindlasti ei kasutata. See on tüüpiline kõnekeelne sõimusõna.";väga kindel;kõnekeelne;ei;Kõnekeelne märgend sobib, kuna sõna selles tähenduses kuulub selgelt mitteformaalsesse registrisse ja esineb peamiselt suulises kõnes. 
;;;;;;;;;;;;;;;;;;;2;arg, pelglik inimene;;2;vähene;Ära ole selline jänku, mine ja räägi temaga! | Ta on täielik jänku, kardab isegi oma varju. | Jänku ei julgenud ülemusele vastu vaielda. | Sellise jänkuga pole midagi peale hakata. | Poisid kutsusid teda jänkuks, sest ta kartis pimedust.;informaalsetes;;"Sõna ""jänku"" arga inimese tähenduses on selgelt informaalne ja kõnekeelne. Seda kasutatakse peamiselt suulises kõnes ja mitteametlikes tekstides. Väljend on halvustav ja sisaldab negatiivset hinnangut. Formaalsetes ja ametlikes tekstides seda kindlasti ei kasutata. See on tüüpiline kõnekeelne sõimusõna.";väga kindel;halvustav;ei;Halvustav märgend on vajalik, sest sõna sisaldab negatiivset hinnangut ja on mahategev inimese iseloomu suhtes. 
;;;;;;;;;;;;;;;;;;;2;arg, pelglik inimene;;2;vähene;Ära ole selline jänku, mine ja räägi temaga! | Ta on täielik jänku, kardab isegi oma varju. | Jänku ei julgenud ülemusele vastu vaielda. | Sellise jänkuga pole midagi peale hakata. | Poisid kutsusid teda jänkuks, sest ta kartis pimedust.;informaalsetes;;"Sõna ""jänku"" arga inimese tähenduses on selgelt informaalne ja kõnekeelne. Seda kasutatakse peamiselt suulises kõnes ja mitteametlikes tekstides. Väljend on halvustav ja sisaldab negatiivset hinnangut. Formaalsetes ja ametlikes tekstides seda kindlasti ei kasutata. See on tüüpiline kõnekeelne sõimusõna.";väga kindel;harv;ei; Harv märgend on põhjendatud, kuna see tähendus esineb treeningandmetes vähe ja pole nii levinud kui põhitähendus.
pepu;lastekeelne;1;sama täh kõnekeelne;13777;jah;1;tagumik/istmik;jah;2;sage;Mu lapsel on juba pikka aega pepu vahelt punane olnud. | Pepu on üks tundlikumaid, kuid samas kõige vähem hellitusi saav kehaosa. | Kui iga õhtu peput korralikult ei pese ning aluspükse ei vaheta siis momendiga on pepu punane ja valulik. | Peppal on kärsa ja pepu toetuseks lõigatud jogurtitopsist tugevdused, nii saab Peppa ka päris iseseisvalt istuda. | Meestel ei ole peput.;informaalsetes;jah;"Sõna ""pepu"" tagumiku tähenduses esineb valdavalt mitteformaalsetes kontekstides nagu foorumid, kommentaarid, blogid ja isiklikud kirjeldused. Seda kasutatakse peamiselt lastega seotud tekstides, kus räägitakse beebide ja väikelaste hügieenist ning terviseprobleemidest. Samuti esineb sõna argistes vestlustes täiskasvanute kehaosade kohta. Formaalsetes või ametlikes tekstides seda sõna ei kasutata, seal eelistatakse neutraalsemaid termineid. Sõna kannab selgelt kõnekeelset ja lastekeelset varjundit.";väga kindel;kõnekeelne;jah;"Märgend ""kõnekeelne"" sobib, kuna sõna esineb peamiselt mitteformaalsetes tekstides nagu foorumid, kommentaarid ja argised vestlused. Formaalsetes või ametlikes tekstides kasutatakse pigem neutraalsemaid termineid nagu ""tagumik"" või ""istmik"". ";1;inimese (eriti lapse) tagumik, istmik;jah;1;keskmine;Laps kukkus pepu peale maha. | Väike Mari näitas oma uusi pepumustriga pükse. | Istu ilusti pepu peal, ära kiiku toolil. | Beebi pepu oli punane lööve tõttu. | Poiss sai pepu peale, kui ema teda karistas.;informaalsetes;jah;Sõna kasutatakse pigem informaalsetes tekstides. See on tüüpiline lastega suhtlemisel kasutatav sõna, mis esineb peamiselt koduses kontekstis, lastekirjanduses ja peresuhtluses. Formaalsetes või ametlikes tekstides kasutatakse pigem neutraalsemaid termineid nagu tagumik või istmik. Sõna pepu on emotsionaalselt soojema ja pehmema varjundiga kui neutraalsed sünonüümid. See on levinud just väikeste lastega rääkides või neist rääkides.;väga kindel;kõnekeelne;jah;Sõna pepu vajab märgendit kõnekeelne, kuna see kuulub selgelt mitteformaalsesse keelekasutusse ja on vabama registri sõna.
;;;;;;1;tagumik/istmik;;2;sage;Mu lapsel on juba pikka aega pepu vahelt punane olnud. | Pepu on üks tundlikumaid, kuid samas kõige vähem hellitusi saav kehaosa. | Kui iga õhtu peput korralikult ei pese ning aluspükse ei vaheta siis momendiga on pepu punane ja valulik. | Peppal on kärsa ja pepu toetuseks lõigatud jogurtitopsist tugevdused, nii saab Peppa ka päris iseseisvalt istuda. | Meestel ei ole peput.;informaalsetes;;"Sõna ""pepu"" tagumiku tähenduses esineb valdavalt mitteformaalsetes kontekstides nagu foorumid, kommentaarid, blogid ja isiklikud kirjeldused. Seda kasutatakse peamiselt lastega seotud tekstides, kus räägitakse beebide ja väikelaste hügieenist ning terviseprobleemidest. Samuti esineb sõna argistes vestlustes täiskasvanute kehaosade kohta. Formaalsetes või ametlikes tekstides seda sõna ei kasutata, seal eelistatakse neutraalsemaid termineid. Sõna kannab selgelt kõnekeelset ja lastekeelset varjundit.";väga kindel;lastekeelne;jah;"Märgend ""lastekeelne"" on põhjendatud, kuna väga suur osa kasutuskontekstidest on seotud lastega - beebide hügieen, väikelaste terviseprobleemid, laste keelekasutus. Täiskasvanud kasutavad seda sõna sageli just lastega suheldes või lastest rääkides. Sõna kannab endas teatavat hellitlevat ja pehmendavat varjundit, mis on iseloomulik lastekeelele.";1;inimese (eriti lapse) tagumik, istmik;;1;keskmine;Laps kukkus pepu peale maha. | Väike Mari näitas oma uusi pepumustriga pükse. | Istu ilusti pepu peal, ära kiiku toolil. | Beebi pepu oli punane lööve tõttu. | Poiss sai pepu peale, kui ema teda karistas.;informaalsetes;;Sõna kasutatakse pigem informaalsetes tekstides. See on tüüpiline lastega suhtlemisel kasutatav sõna, mis esineb peamiselt koduses kontekstis, lastekirjanduses ja peresuhtluses. Formaalsetes või ametlikes tekstides kasutatakse pigem neutraalsemaid termineid nagu tagumik või istmik. Sõna pepu on emotsionaalselt soojema ja pehmema varjundiga kui neutraalsed sünonüümid. See on levinud just väikeste lastega rääkides või neist rääkides.;väga kindel;lastekeelne;jah;Samuti sobib märgend lastekeelne, sest sõna on eriti iseloomulik just lastega suhtlemisel ja lastekeeles. See on pehme, hellitav viis kehaosa nimetamiseks, mida täiskasvanud kasutavad peamiselt lastega rääkides või laste kohta rääkides. Formaalsetes tekstides või meditsiinilises kontekstis kasutatakse neutraalsemaid termineid. Sõna kuulub selgelt lastekeele põhisõnavarasse.
;;;;;;2;Prantsuse entsüklopeedia lühend;ei;2;vähene;"""Pepu"" (""Petite encyclopédie portative universelle"") on Prantsuse entsüklopeedia ";neutraalsetes/formaalsetes;ei;See tähendus esineb ainult ühes tekstis, kus antakse neutraalses toonis faktiteave Prantsuse entsüklopeedia kohta. Tegemist on entsüklopeedilise kirjega, mis esitab informatsiooni ilma emotsionaalse või stiililise värvinguta. Sõna kasutatakse siin kui nimetust või terminit, mitte argises või lastekeelses kontekstis. Kuigi materjali on vähe, on see esitatud selgelt neutraalses registris. Tegemist on faktilise informatsiooniga.;väga kindel;harv;ei;"Märgend ""harv"" on põhjendatud, kuna kogu tekstimaterjalis esineb see tähendus ainult ühes kohas. Tegemist on väga spetsiifilise kasutusega, mis viitab konkreetsele Prantsuse entsüklopeediale. Eesti keeles pole see tähendus levinud ega üldtuntud. Materjali vähesus ja kasutuse eripära näitavad selgelt, et tegemist on harva esineva tähendusega. Sõna selles tähenduses pole eesti keele tavakasutuses juurdunud.";;;;;;;;;;;;;
punnu;lastekeelne;1;sama täh kõnekeelne;298;ei;1;kõht;jah;3;sage;Biitsebsile või rinnalihasele rõhuvad persoonid peaks tegema kiired 10 kätekõverdust, et muskel rohkem punnuks. | Armsake nii kaugel, et punnu on suurenenud nagu täis puhutud õhupall või ohtralt piima täis lehma udar | No nii nunnu punnu! Naljakas, et esimest tütart läksin sellise kõhuga sünnitama... | Istun siin oma väikse punnuga ning oleksin väga rahul kui õnn naerataks | Heidy- panin su esilehele kirja, sain ma ikka aru, et sündimas teine laps ja poiss?;informaalsetes;jah;Sõna kasutatakse peamiselt argises, sõbralikus suhtluses - blogides, foorumites, isiklikes jutustustes. Eriti sage raseduse kontekstis, kus räägitakse punnust hellitavalt ja familiaarselt. Samuti esineb lastekeeles ja täiskasvanute omavahelises vabas vestluses. Formaalsetes või ametlikes tekstides seda tähendust ei kohta. Kuulub selgelt kõnekeelde.;väga kindel;kõnekeelne;jah;Sõna kuulub selgelt argisesse kõnekeelde, kus kõhtu nimetatakse hellitavalt või huumorimeeles punnuks. Eriti levinud raseduse kontekstis ja lastega suhtlemisel. Formaalsetes tekstides kasutataks neutraalsemaid termineid nagu kõht või meditsiinilises kontekstis abdoomen. Tüüpiline kõnekeelne sõnakasutus.;1;muhk, paiste, kühm;ei;3;sage;Lapse peas oli suur punnu, kus ta ennast ära lõi. | Poisil tekkis otsaette punnu pärast kukkumist. | Sääse hammustusest jäi käele punnis punnu. | Puul kasvas tüvel suur punnu. | Ukse peal oli väike metallist punnu, millest kinni hoida.;neutraalsetes/formaalsetes;ei;See tähendus esineb nii meditsiinilistes kui igapäevastes neutraalsetes tekstides. Sõna on standardne viis kirjeldamaks muhku või paistet kehal. Kasutatakse nii arstide poolt kui tavakeeles ilma stiililise markeerituseta. Pole märke, et see oleks kõnekeelne või vulgaarne. Sobib igasugustesse tekstidesse.;väga kindel;ei kohaldu;ei;ei kohaldu
;;;;;;2;punnu panema (ära minema);jah;3;keskmine;lärmakas ja üliohtlik, kui käest punnu paneb või ketta puruks lööb | Ma küll panin nende eest punnu, aga kaua sa ikka jooksus oled | Pani juba esimesel päeval koolist punnu #badass | Mu aed oleks iiriseid täis kui neil poleks seda 'kommet' kohapealt punnu panna | Peale jutu ajamist pidime kähku sealt punnu panema;informaalsetes;jah;Fraas kuulub selgelt kõnekeelde ja argižargooni. Kasutatakse vabas suhtluses põgenemise või lahkumise väljendamiseks. Neutraalsetes või formaalsetes tekstides seda väljendit ei kasutata, seal öeldaks lahkuma, minema vms. Tüüpiline kõnekeelne väljend.;väga kindel;kõnekeelne;jah;Fraas on tüüpiline kõnekeelne väljend põgenemise või kiire lahkumise kohta. Kuulub argižargooni ja on levinud just vabas suhtluses. Ametlikus keeles seda väljendit ei kasutata. Selge kõnekeelne fraas.;2;nutsakas, punnseisund (silmade kohta);ei;3;keskmine;Laps nuttis silmad punni. | Tüdruk oli terve päeva nutnud ja silmad olid punnis. | Hommikul olid silmad punnis ja nägu paistes. | Väsinud lapse silmad olid punni läinud. | Pärast nutmist jäid silmad punni tükiks ajaks.;informaalsetes;ei;"Väljend ""silmad punnis"" või ""nuttis silmad punni"" on pigem kõnekeelne ja emotsionaalne kirjeldus. Esineb peamiselt ilukirjanduses, lastejuttudes ja igapäevases suhtluses. Formaalsetes tekstides kasutataks pigem neutraalsemaid väljendeid nagu ""paistes silmad"" või ""turses silmalaud"". See on kirjeldav ja piltlik väljend, mis sobib hästi jutustava stiili juurde.";pigem kindel;kõnekeelne;ei;"Väljend ""silmad punnis"" või ""nuttis silmad punni"" on selgelt kõnekeelne. See on emotsionaalne ja piltlik väljend, mida kasutatakse peamiselt mitteformaalsetes tekstides. Formaalsemas keeles öeldaks pigem ""paistes silmad"" või kirjeldataks meditsiinilisemalt. Väljend on omane jutustamisele ja igapäevasele suhtlusele. See pole halvustav ega vulgaarne, vaid lihtsalt mitteformaalne ja kirjeldav."
;;;;;;3;hüüdnimi/nimi;ei;3;keskmine;Punnvõrri külglibisemist lähevad testima 'Saku sääruklubi' | Punnu Matile söögilauas: 'Mati, kas sa leiba hoolid?' | Punnu väidab, et Katrin on vägagi Kati Tootsi moodi | Punnu ei jõudnud täna hommikul kinno Georgi vaatama | Osaühingut Punnu Mesindus pole enam ammu;neutraalsetes/formaalsetes;ei;Kui tegemist on pärisnimega, võib see esineda igas registris. Näiteks ettevõtte nimi Punnu Mesindus või isiku hüüdnimi võib esineda ka ametlikumas kontekstis. Pärisnimed on registri suhtes neutraalsed.;pigem kindel;ei kohaldu;ei;ei kohaldu;3;juuksesoeng (juuksed punnis);ei;3;keskmine;Tüdruk sidus juuksed punni. | Tantsija kandis juukseid kõrges punnis. | Ema tegi tütrele ilusa punni pähe. | Juuksed olid kuklas punnis seotud. | Sportimiseks pani ta alati juuksed punni.;neutraalsetes/formaalsetes;ei;Juuksesoeng punnis on täiesti neutraalne ja standardne väljend. Kasutatakse nii ajakirjanduses, juhendites kui igapäevases keeles. Pole mingit märki stiililisest markeeritusest. See on lihtsalt tavaline viis kirjeldada konkreetset soengut. Sobib kõikidesse registritesse.;väga kindel;ei kohaldu;ei;ei kohaldu
tuduma;lastekeelne;1;;4643;jah;1;magama, uinuma;jah;2;sage;Tuduma jääb ilusti õhtul. | Kell pool 8 otsustasin Uku tuduma panna. | Emme, miks iga päev peab tuduma? | No proovige ise panna üht pahurat titte tuduma!!! | Päike läheb tuduma, sest kõik loomad juba tuduvad.;informaalsetes;jah;Sõna esineb valdavalt lastega seotud kontekstides, blogides, foorumites ja isiklikes kirjeldustes. See on selgelt lastekeelne või lapsega suhtlemise kontekstis kasutatav sõna. Tekstides kasutavad seda peamiselt vanemad väikelastest rääkides või lapsed ise. Formaalsetes tekstides seda praktiliselt ei esine. Sõna on informaalse ja argise keelekasutuse tunnusega.;väga kindel;lastekeelne;jah;Lastekeelne märgend sobib, kuna sõna on selgelt lastekeelde kuuluv või lastega suhtlemise kontekstis kasutatav. Esineb valdavalt väikelaste vanematega seotud tekstides. ;1;magama jääma, uinuma;ei;2;keskmine;Laps tudus ema süles kiiresti ära. | Ta tudus diivanil teleka ees magama. | Väsinud reisija tudus bussis istudes. | Koer tudus kamina ees sooja kätte. | Vanaisa tudus toolil istudes magama.;informaalsetes;ei;"Sõna ""tuduma"" esimeses tähenduses (magama jääma, uinuma) esineb peamiselt argikeelsetes ja ilukirjanduslikes tekstides. See on emotsionaalselt soojema varjundiga kui neutraalne ""magama jääma"" või ""uinuma"". Kasutatakse sageli laste, loomade või lähedaste inimeste kohta. Ametlikes tekstides seda varianti ei kohta. Pigem on tegemist koduse ja familiaarse väljendusviisiga.";pigem kindel;kõnekeelne;ei;"Esimene tähendus on selgelt kõnekeelne, kuna seda kasutatakse peamiselt argisuhtluses ja mitteformaalsetes tekstides. Sõna kannab endas soojust ja lähedust, mis on iseloomulik just kõnekeelele. Ametlikes tekstides eelistatakse neutraalsemaid väljendeid nagu ""uinuma"" või ""magama jääma"". Verb on emotsionaalselt markeeritud ja sobib paremini isiklikku, kodusesse konteksti. See on tüüpiline näide sõnast, mis kuulub igapäevasesse suhtluskeelde."
;;;;;;1;magama, uinuma;;2;sage;Tuduma jääb ilusti õhtul. | Kell pool 8 otsustasin Uku tuduma panna. | Emme, miks iga päev peab tuduma? | No proovige ise panna üht pahurat titte tuduma!!! | Päike läheb tuduma, sest kõik loomad juba tuduvad.;informaalsetes;;Sõna esineb valdavalt lastega seotud kontekstides, blogides, foorumites ja isiklikes kirjeldustes. See on selgelt lastekeelne või lapsega suhtlemise kontekstis kasutatav sõna. Tekstides kasutavad seda peamiselt vanemad väikelastest rääkides või lapsed ise. Formaalsetes tekstides seda praktiliselt ei esine. Sõna on informaalse ja argise keelekasutuse tunnusega.;väga kindel;kõnekeelne;jah;Kõnekeelne märgend sobib, kuna sõna on informaalse suhtluse tunnusega, esineb blogides, foorumites ja argivestlustes, mitte ametlikes tekstides. Sõna on formaalsest keelekasutusest vabamasse registrisse kuuluv.;2;tukkuma, tukastama;jah;2;sage;Ta tudus loengus natuke aega. | Bussijuht tudus rooli taga ohtlikult. | Pärastlõunal meeldib tal diivanil tududa. | Kass tudub päikese käes terve päeva. | Valvur tudus oma postil.;informaalsetes;jah;"Teises tähenduses (tukkuma, tukastama) on ""tuduma"" samuti selgelt kõnekeelne väljend. Seda kasutatakse kerge, lühiajalise une või poolune seisundi kirjeldamiseks argikeeles. Formaalsetes tekstides kasutatakse pigem neutraalsemaid väljendeid nagu ""tukastama"" või ""uinuma"". Verb kannab endas teatavat kergust ja argisust, mis ei sobi ametlikku konteksti. Sageli esineb jutustava laadi tekstides või dialoogides.";pigem kindel;kõnekeelne;jah;"Teine tähendus on samuti kõnekeelne, kuna väljendab lühiajalist tukkumist argisemas, kergemas stiilis. Formaalsetes tekstides kasutatakse pigem ""tukastama"" või kirjeldatakse olukorda täpsemalt. Sõna sobib hästi jutustava laadi tekstidesse ja dialoogidesse, kuid mitte ametlikesse dokumentidesse. See kannab endas teatavat kergust ja vahendlikkust. Kõnekeelsus väljendub ka selles, et sõna kasutatakse sageli koos teiste argikeelsete väljenditega."
;;;;;;2;brändinimi TUDU;ei;2;vähene;TUDU on Eestimaine bränd, mis valmistab kodu- ning ööriideid lastele. | Turule on jõudnud uus ööriiete bränd nimega TUDU. | TUDU esimene kollektsioon kannab nime Uhuu. | TUDU tooteid iseloomustab – hea kvaliteet, mugavus ning armas disaini. | TUDU on Eesti bränd, mis valmistab kodu- ning ööriideid lastele.;neutraalsetes/formaalsetes;ei;Tegemist on ärinimega, mida kasutatakse tootkirjeldustes ja turunduskontekstis. Register on neutraalne, kuna tegemist on pärisnimega, mis esineb ärilistes ja informatiivsetes tekstides. Sõna kasutus ei ole emotsionaalselt markeeritud ega stiililiselt laetud.;väga kindel;ei kohaldu;ei;ei kohaldu;;;;;;;;;;;;;
