Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on üldlevinud neutraalne termin, mida kasutatakse nii igapäevases kõnekeeles kui ka ametlikus kontekstis. See ei ole kuidagi piiratud informaalsete tekstidega, vaid on tavaline ja kohane sõna ajakirjanduslike väljaannete kohta rääkimiseks pea igas olukorras."	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Sõna ""seitung"" on kõnekeelne variant sõnast ""ajaleht"". Seda kasutatakse pigem informaalses kontekstis nagu igapäevane suhtlus, sotsiaalmeedia postitused, blogid jms. Formaalsetes ja neutraalsetes tekstides eelistatakse ametlikumat sõna ""ajaleht""."	ajaleht, leht, väljaanne
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	neutraalsetes/formaalsetes	Sõna 'moekas' on üldlevinud sõna, mida kasutatakse nii kõnes kui kirjas. See ei ole kuidagi piiratud informaalse keelekasutusega, vaid sobib hästi ka neutraalsetesse ja formaalsetesse tekstidesse. Sõna väljendab millegi vastavust käesolevale ajale või moele, olles seega asjakohane mitmesugustes kontekstides moest, trendidest või kaasaegsusest rääkides.	ei kohaldu
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	Sõna 'trendikas' on pigem kõnekeelne ja kasutatakse rohkem informaalsetes tekstides nagu blogid, sotsiaalmeedia postitused ja foorumid. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul ametlikumat sõnastust.	moodne, populaarne, nüüdisaegne, ajakohane, uuenduslik
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'käkerdis' on kõnekeelne ja väljendab negatiivset hinnangut millegi suhtes. Seda sõna kasutatakse pigem informaalses kõnes või kirjas, kui tahetakse rõhutada millegi kehva kvaliteeti või hooletut teostust. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul neutraalsemat sõnastust.	kehvasti tehtud töö, vusserdis, korratu töö, praak
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'plätserdus' tähenduses 'asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö' on kõnekeelne ja ekspressiivne väljend. Seda kasutatakse pigem informaalses kõnes ja kirjas, näiteks blogides, foorumites, kommentaariumides ja sotsiaalmeedias. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul ametlikumat sõnastust.	lohakalt tehtud töö, praaktöö, korratu töö, vilets töö
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	Sõna 'vaib' kasutamine tähenduses 'eriline meeleolu või tunne' on pigem kõnekeelne ja vabam väljendusviis. Sellises tähenduses esineb see rohkem informaalsetes tekstides nagu blogid, foorumid või sotsiaalmeedia postitused, kus keel on vabam ja loomingulisem. Formaalsetes ja neutraalsetes tekstides eelistatakse selle asemel täpsemaid ja ametlikuma kõlaga väljendeid.	meeleolu, atmosfäär, õhkkond, tunne, aura
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	"Sõna ""nett"" on kõnekeelne lühend sõnast ""internet"". Ametlikes ja formaalsetes tekstides eelistatakse kasutada sõna ""internet"" või ""veeb"", sest lühendid on nendes kontekstides ebasobivad. Kõnekeelsetes ja informaalsetes tekstides nagu blogid, foorumid, kommentaariumid jms on ""nett"" aga laialt levinud ja aktsepteeritud termin interneti kohta."	internet, veeb, võrk, võrgustik
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	Sõna 'pontšik' on vene keelest laenatud kõnekeelne sõna, mida kasutatakse pigem informaalses kontekstis nagu igapäevane suhtlus, blogid, foorumid jms. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul eestikeelseid vasteid.	sõõrik, keedusai
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	Sõna 'sõõrik' on eesti keeles tavapärane ja neutraalne nimetus rõngakujulisele või ümmargusele õlis keedetud pirukale. Seda sõna kasutatakse nii kõnekeeles kui ka ametlikumas kontekstis (nt toiduretseptides, söögikohtade menüüdes jne). Sõnal puudub kõnekeelne, informaalne või slängile omane varjund.	ei kohaldu
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp	informaalsetes	"Sõna ""santehnik"" on vene laensõna, mis on eesti keeles kõnekeelne ja pigem informaalne. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul omasõnu või neutraalsemaid termineid."	torulukksepp, torutööde spetsialist
hinnakahvel	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	"Sõna ""hinnakahvel"" on spetsiifiline majandustermin, mis viitab võimaliku kõrgeima ja madalaima hinna vahemikule. Sellist terminit kasutatakse tüüpiliselt ametlikes ja neutraalsetes kontekstides nagu majandusaruanded, analüüsid, hinnapakkumised jms. Sõna koosneb kahest neutraalsest sõnast ""hind"" ja ""kahvel"" (tähenduses vahemik) ning on ise samuti neutraalse stiiliga. Informaalsetes tekstides eelistataks pigem lihtsamat sõnastust nagu ""hinnavahemik""."	ei kohaldu
hinnavahemik	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnavahemik' on spetsiifiline majandustermin, mis viitab mingite toodete või teenuste võimalikule hinnaskaalale. Sellist terminit kasutatakse pigem ametlikes hinnakirjades, analüüsides, aruannetes, pakkumistes jms neutraalsetes või formaalsetes tekstides. Sõna kõlab piisavalt neutraalselt ja oskuskeeleliselt, et sobida hästi ka formaalsesse konteksti. Informaalsetes tekstides eelistataks pigem lihtsamaid ja üldkeelsemaid väljendeid.	ei kohaldu
ökojalajälg	näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga	neutraalsetes/formaalsetes	Sõna 'ökojalajälg' on spetsiifiline termin, mida kasutatakse peamiselt keskkonnateemadel kirjutades või rääkides. See on üsna tehniline mõiste, mida leiab pigem teaduslikest artiklitest, ametlikest dokumentidest, keskkonnaaruannetest jms, mitte niivõrd igapäevasest kõnekeelest või informaalsetest tekstidest. Sõna kõlab ka üsna formaalselt.	ei kohaldu
plagama	põgenema, ära jooksma; kiiresti jooksma	informaalsetes	Sõna 'plagama' on slängisõna, mida kasutatakse pigem kõnekeeles ja informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, blogid jms. Neutraalses ja formaalses keelekasutuses eelistatakse üldjuhul kirjakeelseid sünonüüme.	põgenema, (ära) jooksma, liduma, putku pistma, jalga laskma
putket panema	põgenema, ära jooksma, jalga laskma	informaalsetes	"Väljend ""putket panema"" on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalses kirjakeeles. See on kujundlik väljend põgenemise kohta. Kuna tegu on slängiga, siis neutraalses ja formaalses keelekasutuses seda väljendit pigem välditakse."	põgenema, pagema, plehku panema, jalga laskma, ära jooksma
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada	informaalsetes	"Sõna ""stepsel"" on kõnekeelne ja informaalne termin pistikupesa kohta. Seda sõna kasutatakse peamiselt igapäevases kõnekeeles ja vabamas kirjakeeles nagu blogid, foorumid jms. Formaalsetes ja ametlikes tekstides eelistatakse üldjuhul korrektseid ja neutraalseid termineid."	pistikupesa, seinakontakt, pistikuühendus
igatemoodi	igas suhtes, igas mõttes, igal moel	neutraalsetes/formaalsetes	Sõna 'igatemoodi' on neutraalne väljend, mida võib kohata nii kõnekeeles kui ka ametlikumas kontekstis. See ei sisalda slängi ega kõnekeelsust ning sobib kasutamiseks ka formaalsetes tekstides.	ei kohaldu
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk 	informaalsetes	"Sõna ""poisiklutt"" on deminutiivne liitsõna, mis viitab väikesele poisile hellitavas ja familaarses toonis. Selline sõnakasutus on iseloomulik just kõnekeelele ja vabamale suhtlusele, mitte aga formaalsetele tekstidele. Sõna teine pool ""klutt"" lisab veel omakorda mängulisust ja hellitavat varjundit."	poisike, poisu, väike poiss, poisipõnn
moor	eakas naine; naissoost abielupool; ema või vanaema	informaalsetes	Sõna 'moor' tähenduses 'eakas naine; naissoost abielupool; ema või vanaema' on pigem kõnekeelne ja arhailine väljend. Tänapäeval kasutatakse seda sõna harva ning enamasti just informaalsetes tekstides nagu blogid, foorumid või ilukirjanduslik otsekõne. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul täpsemaid ja kaasaegsemaid sõnu.	eakas naine, abikaasa, ema, vanaema
