Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	Sõna 'ajaleht' on neutraalne termin, mida kasutatakse laialdaselt nii ametlikes dokumentides, akadeemilistes tekstides kui ka igapäevases suhtluses. See on eesti keeles üldaktsepteeritud standardne termin perioodilise väljaande tähistamiseks. Sõna kasutatakse nii ajakirjanduses, hariduses kui ka ametlikus asjaajamises ilma stilistiliste piiranguteta.	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	'Seitung' on laensõna saksa keelest (Zeitung) ja on tänapäeval pigem kõnekeelne, vanamoeline või naljatlev väljend. Seda kasutatakse enamasti informaalses kontekstis, näiteks sotsiaalmeedia postitustes või blogides, kus soovitakse teksti muuta humoorikamaks või lisada vanamoelist varjundit. Neutraalsetes või formaalsetes tekstides kasutatakse tavaliselt sõna 'ajaleht'.	ajaleht, päevaleht, leht, ajakirjandusväljaanne
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	võrdselt	Sõna 'moekas' on neutraalne ja laialdaselt kasutatav termin, mis sobib nii igapäevasesse kõnekeelde kui ka formaalsematesse kontekstidesse (nt moeajakirjad, -ülevaated, -analüüsid). Seda kasutatakse nii argises vestluses kui ka professionaalses moemaailmas, ilma et see mõjuks kummaski kontekstis kohatult.	ei kohaldu
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	Sõna 'trendikas' on kõnekeelsem variant, mida kasutatakse rohkem mitteametlikus suhtluses, sotsiaalmeedias, blogides ja muudes vabama stiiliga tekstides. See on tuletis ingliskeelsest sõnast 'trendy' ning kannab endas teatud slängilikku varjundit. Ametlikes või neutraalsetes tekstides eelistatakse kasutada neutraalsemaid väljendeid.	moodne, ajakohane, kaasaegne, moepärane, populaarne, nüüdisaegne
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'käkerdis' on halvustava tooniga kõnekeelne väljend, mida kasutatakse peamiselt mitteametlikus suhtluses. See on emotsionaalselt laetud sõna, mis väljendab rahulolematust millegi kehvasti tehtud asja või töö suhtes. Sellist sõnakasutust kohtab sageli internetikommentaarides, blogides ja igapäevases suulises suhtluses, kuid mitte ametlikes dokumentides või akadeemilistes tekstides.	praaktöö, ebakvaliteetne töö, vilets töö, kehv töötulemus
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'plätserdus' on kõnekeelne ja halvustava varjundiga väljend, mida kasutatakse peamiselt mitteametlikus suhtluses. See sõna on deskriptiivne ja emotsionaalne, viidates halvasti tehtud tööle. Sellist väljendusviisi välditakse ametlikes või professionaalsetes kontekstides, kus eelistatakse neutraalsemaid termineid.	praaktöö, ebakvaliteetne töö, lohakas töö, kehv töö, vilets töö
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	Sõna 'vaib' on inglise keelest (vibe) tulnud laensõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes keskkondades, eriti noorte seas ning sotsiaalmeedias. See pole veel keelendina piisavalt juurdunud, et seda neutraalsetes või formaalsetes tekstides kasutada. Ametlikes tekstides või kirjanduses eelistatakse eestikeelseid vasteid.	meeleolu, atmosfäär, õhkkond, aura, meeleoluvarjund, tundevärelus
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	Sõna 'nett' on kõnekeelne lühend sõnast 'internet' ning seda kasutatakse peamiselt mitteametlikus suhtluses, sotsiaalmeedia postitustes, foorumites ja igapäevases kõnekeeles. Ametlikes dokumentides, teadustekstides ja formaalsetes kontekstides kasutatakse pigem täispikka vormi 'internet' või 'arvutivõrk'.	internet, veeb, küberruum, arvutivõrk
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	Sõna 'pontšik' on vene keelest laenatud kõnekeelne sõna (пончик), mida kasutatakse peamiselt argises suhtluses, sotsiaalmeedias ja muudes mitteametlikes kontekstides. Sõna on eriti levinud olnud nõukogude ajast, kuid on säilitanud oma informaalse iseloomu.	sõõrik, rõngassai, berliner (täidisega variandi puhul)
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	Sõna 'sõõrik' on eesti keeles ametlikult aktsepteeritud ja laialdaselt kasutatav termin, mis esineb nii toidumenüüdes, retseptides kui ka toiduainetetööstuses. See on neutraalne kirjakeelne sõna, mida kasutatakse ka ametlikes kontekstides, näiteks toidukaupade nimetustes ja kokandusalases kirjanduses.	ei kohaldu
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp	informaalsetes	'Santehnik' on vene keelest (сантехник) laenatud kõnekeelne sõna, mida kasutatakse peamiselt argises suhtluses ja informaalsetes tekstides. Sõna on küll laialt levinud, kuid ametlikes dokumentides ja formaalsetes tekstides eelistatakse eestikeelseid vasteid.	torulukksepp, torumees, torutööline, torumeister
hinnakahvel	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnakahvel' on majandusalane termin, mida kasutatakse peamiselt ametlikes majandustekstides, börsiteadetes, finantsuudistes ja -analüüsides. See on professionaalne väljend, mis on levinud erialakeeles ja ametlikus kommunikatsioonis. Sõna struktuur ja kasutuskontekst viitavad selgelt formaalsele keelekasutusele.	ei kohaldu
hinnavahemik	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnavahemik' on neutraalne ja formaalne termin, mida kasutatakse laialdaselt ametlikes dokumentides, ärikommunikatsioonis, toodete kirjeldustes, kinnisvarakuulutustes ja muudes professionaalsetes kontekstides. See on täpne ja üheselt mõistetav termin, mis ei sisalda kõnekeelseid või informaalseid konnotatsioone. Sõna kasutatakse sageli ka ajakirjanduses ja ametlikes turuülevaadetes.	ei kohaldu
ökojalajälg	näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga	neutraalsetes/formaalsetes	Sõna 'ökojalajälg' on teaduslik termin, mida kasutatakse peamiselt keskkonnaalastes uuringutes, aruannetes, teadusartiklites ja keskkonnateemalistes uudistes. See on ametlik termin, mis väljendab konkreetset mõõdetavat näitajat. Sõna esineb sageli haridusasutuste materjalides, keskkonnaorganisatsioonide dokumentides ja poliitikadokumentides. Informaalses suhtluses kasutatakse seda harvemini, kuna tegemist on spetsiifilise terminiga.	ei kohaldu
plagama	põgenema, ära jooksma; kiiresti jooksma	informaalsetes	Sõna 'plagama' on kõnekeelne väljend, mida kasutatakse peamiselt mitteametlikus suhtluses ja informaalsetes tekstides. Seda kohtab sageli suulises kõnes, internetifoorumites, sotsiaalmeedia postitustes ja muudes vabama keelekasutusega keskkondades. Ametlikes või neutraalsetes tekstides eelistatakse neutraalsemaid sünonüüme.	põgenema, pagema, ära jooksma, kiiresti lahkuma, minema jooksma
putket panema	põgenema, ära jooksma, jalga laskma	informaalsetes	Tegemist on slängipärase väljendiga, mis on tuletatud soome keelest (putka - minema, kaduma). Seda väljendit kasutatakse peamiselt kõnekeeles ja informaalsetes kirjalikes tekstides nagu foorumid, sotsiaalmeedia ja blogid. Väljend ei sobi ametlikku või neutraalsesse konteksti.	põgenema, pagema, jalga laskma, plehku panema, minema jooksma, kaduma
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada	informaalsetes	'Stepsel' on kõnekeelne laensõna saksa keelest (Steckdose) ning seda kasutatakse peamiselt igapäevases suhtluses ja informaalsetes olukordades. Ametlikes dokumentides, tehnilistes juhendites ja formaalsetes tekstides eelistatakse neutraalsemaid vasteid.	pistikupesa, seinakontakt, elektrikontakt
igatemoodi	igas suhtes, igas mõttes, igal moel	võrdselt	Sõna 'igatemoodi' on neutraalne väljend, mida kasutatakse nii informaalses kui ka formaalses kontekstis. See on standardkeele osa ning sobib kasutamiseks erinevates tekstiliikides, olgu need siis ametlikud dokumendid, ajakirjandus või igapäevane suhtlus. Sõna ei kanna endas stilistilist markeeritust ega ole seotud kindla registriga.	ei kohaldu
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk 	informaalsetes	Sõna 'poisiklutt' on hellitava või familiaarse varjundiga liitsõna, kus on ühendatud 'poisike' ja 'klutt'. See on pigem kõnekeelne väljend, mida kasutatakse enamasti mitteametlikus suhtluses, eriti kui räägitakse väikestest poistest soojalt või heatahtlikult. Sõna ei sobi ametlikku või formaalsesse konteksti, kuna on liiga familiaarne ja emotsionaalne.	poiss, poisike, nooruk, poisiohtu noormees
moor	eakas naine; naissoost abielupool; ema või vanaema	informaalsetes	Sõna 'moor' on kõnekeelne ja veidi familiaarne väljend, mida kasutatakse peamiselt mitteametlikus suhtluses. See võib olenevalt kontekstist olla nii neutraalne kui ka veidi halvustav. Seda ei kohta ametlikes dokumentides või formaalsetes tekstides, vaid pigem igapäevases suulises kõnes, ilukirjanduses või vabamas kirjalikus suhtluses.	vanamemm, vanaproua, eakas naine, vanainimene, (vana)eit, memm; naine, abikaasa; ema, vanaema
