"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"trendikas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"informaalsetes"	"Sõna „trendikas” kasutatakse peamiselt mitteametlikes ja populaarsetes tekstides, nagu blogid, foorumid, sotsiaalmeedia postitused ning otsekõnes. See väljendab moodsust ja ajakohasust, mis on sageli rõhutatud vähem formaalsetes kontekstides."	"moes, moodne, ajakohane"
"käkerdis"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes"	"Sõna ""käkerdis"" kasutatakse peamiselt mitteametlikes ja kõnekeelsetes kontekstides, nagu blogid, foorumid, sotsiaalmeedia postitused ja igapäevane kõne. See väljendab negatiivset hinnangut midagi on tehtud hooletult või kehva kvaliteediga, mistõttu sobib see formaalsemate tekstide asemel pigem sõbralikumasse või vaba stiili."	"kihol, pinnapealne töö, längukool, puudulik töö"
"plätserdus"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes"	"Sõna ""plätserdus"" kasutatakse peamiselt mitteametlikes kontekstides, nagu blogid, foorumid, kommentaariumid, vestlused, sotsiaalmeedia tekstid ja otsekõnes. See väljendab mittetöösaadavat või halva kvaliteediga tööd ning sobib hästi iga päevasele kõnekeelele või sotsiaalsetele interaktsioonidele."	"halva tehtud töö, rusitud töö, hooletu töö, kehv töö"
"vaib"	"eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms"	"neutraalsetes/formaalsetes"	"Sõna ""vaib"" kasutatakse enamasti kirjanduses, ametlikes kirjeldustes ja formaalsetes kontekstides atmosfääri või meeleolu kirjeldamiseks, mitte pigem igapäevases või vabakasutuses keeles."	"ei kohaldu"
"nett"	"arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus"	"neutraalsetes/formaalsetes"	"Sõna ""nett"" kasutatakse peamiselt ametlikes ja tehnilistes kontekstides, mis puudutavad arvutivõrke ja sideteenuseid."	"ei kohaldu"
"pontšik"	"rõngakujuline või ümmargune õlis keedetud pirukas"	"informaalsetes"	"Sõna ""pontšik"" on eesti keeles rohkem kõnekeelne ja kasutatakse sagedamini mitteametlikes kontekstides nagu blogid, foorumid, kommentaarid, chativestlused ja sotsiaalmeedia tekstid. See väljendab igapäevast kõnepruuki, mis sobib hästi vabas vormis suhtluseks ja mitteametlikeks kirjeldusteks."	"sõõrik, saiake"
"sõõrik"	"rõngakujuline või ümmargune õlis keedetud pirukas"	"informaalsetes"	"Sõõrik on tavakasutuses levinud termin, mida sageli kasutatakse mitteametlikes tekstides ning igapäevases kõnes. See sõna kannab kaasaegset ja tuttavlikku varjundit, mistõttu eelistatakse seda vähem formaalsetes või ametlikes kontekstides, kus kasutatakse sageli üldisemaid termineid."	"pirukas"
"santehnik"	"torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp"	"võrdselt"	"Sõna „santehnik“ on standardne ja ametlik termin, mida kasutatakse nii ametlikes kui ka mitteametlikes kontekstides torutööde spetsialiseerunud tööjõu kirjeldamiseks. See on tavaline mõiste nii professionaalsetes dokumentides, teenusepakkujate veebisaitidel kui ka igapäevases kõnes ja kirjanduses."	"ei kohaldu"
"hinnakahvel"	"võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus"	"neutraalsetes/formaalsetes"	"Sõna „hinnakahvel“ kasutatakse peamiselt finants- ja majandustekstides ning ametlikes dokumentides, kus kirjeldatakse hinnavahemikke või hinnatasemeid. See termin sobib hästi analüüside, aruannete ja ametlike väljaannete konteksti, andes täpse ja objektiivse ülevaate hinnatõusude ja -languste eelarvamusest."	"ei kohaldu"
"hinnavahemik"	"võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus"	"võrdselt"	"Sõna „hinnavahemik” kasutatakse nii formaalsetes kui ka informaalsetes kontekstides. Näiteks võib seda leida äridokumentides, müügikampaaniates ning igapäevases suhtluses, mis tähendab, et selle kasutus on levinud mõlemas teksti tüübis."	"ei kohaldu"
"ökojalajälg"	"näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga"	"neutraalsetes/formaalsetes"	"Sõna ""ökojalajälg"" on tehniline ja teaduslik termin, mis kasutatakse peamiselt ametlikes, akadeemilistes ning professionaalsetes tekstides, kus hinnatakse inimtegevuse keskkonnamõju ja jätkusuutlikkust."	"ei kohaldu"
"plagama"	"põgenema, ära jooksma; kiiresti jooksma"	"informaalsetes"	"Sõna ""plagama"" kasutatakse peamiselt mitteametlikes tekstides nagu blogid, foorumid, kommentaariumid, vestlusrühmades, sotsiaalmeedia postitustes ja otsekõnes. See on kõnekeelne väljend, mis sobib hästi vabamuusika ja sõbralikute suhtlusvormidega, kuid ei ole levinud ametlikes või neutraalsetes kontekstides."	"põgenema, ära jooksma, kiirustama"
"putket panema"	"põgenema, ära jooksma, jalga laskma"	"informaalsetes"	"""Putket panema"" on kõnekas ja slängiline väljend, mida kasutatakse peamiselt mitteametlikes kontekstides nagu blogid, foorumid, sotsiaalmeedia postitused ja otsekõne. Selle väljendi stiil on liiga kõnekeelne ja mitteametlik, et sobida hästi formaalsetesse või neutraalsetesse tekstidesse."	"põgenema, ära jooksma, jalga laskma"
"stepsel"	"paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada"	"informaalsetes"	"Sõna ""stepsel"" kasutatakse eesti keeles peamiselt mitteametlikes kontekstides, nagu igapäevane kõne, blogid, foorumid, sotsiaalmeedia postitused ja muud informaalsed tekstid. Ametlikumas või neutraalses keelrežiimis eelistatakse tavaliselt sõna ""pistikupesa""."	"pistikupesa"
"igatemoodi"	"igas suhtes, igas mõttes, igal moel"	"informaalsetes"	"Sõna 'igatemoodi' kasutatakse peamiselt informaalsetes tekstides ja kõnes, nagu blogides, foorumites, sotsiaalmeedias ning igapäevastes vestlustes. See väljendab mitmekülgset või kõikehõlmavat lähenemist, mis sobib lõdvalt struktureeritud või ametlikesse kontekstitesse vähem."	"igalt poolt, igist küljest"
"poisiklutt"	"väike (vahva, tore) poiss, poisike või poisiohtu nooruk "	"informaalsetes"	"Sõna ""poisiklutt"" on hüüdnime või leminime vorm, mida kasutatakse peamiselt kõnekeelses ja mitteametlikus keelkes. See väljendab armastust, hellust või väikese poisi suhtes kasutatud emotsiooni, mistõttu leidub seda eelkõige isiklikus suhtluses, sotsiaalmeedias, blogides ja vestlustes."	"poisike, poiss, poisiohtu"
"moor"	"eakas naine; naissoost abielupool; ema või vanaema"	"informaalsetes"	"Sõna „moor“ kasutatakse peamiselt mitteametlikes tekstides, nagu blogid, foorumid, kommentaarid, chativestlused ja sotsiaalmeedia postitused. See on vähem levinud ametlikes või neutraalsetes kontekstides, mistõttu on see pigem seotud kõnekeelse ja mitteametliku keelekasutusega."	"ema, vanaema, naissoost abielupool, eakas naine"
