"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"trendikas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"informaalsetes"	"Sõna ""trendikas"" kasutatakse sageli igapäevases kõnepruugis, eriti noorte seas ja sotsiaalmeedias, et kirjeldada midagi, mis on moes või populaarne. See sõna on levinud just mitteametlikes kontekstides, kus rõhutatakse stiili ja kaasaegsust."	"moodne, kaasaegne, ajakohane"
"käkerdis"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes"	"Sõna ""käkerdis"" kannab endas negatiivset varjundit ja seda kasutatakse sageli halvustavalt, et kirjeldada midagi, mis on tehtud oskamatult või hooletult. Selline väljenduslaad on iseloomulik informaalsetele tekstidele, kus emotsioonid ja hinnangud väljenduvad otsesemalt ja vähem formaalselt."	"praak, kehv töö, ebaõnnestumine"
"plätserdus"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes"	"Sõna ""plätserdus"" kannab endas negatiivset hinnangut ja viitab oskamatult või hooletult tehtud tööle. Selline väljend on pigem kõnekeelne ja seda kasutatakse sageli igapäevastes vestlustes või mitteametlikes tekstides, et väljendada rahulolematust või kriitikat kellegi töö suhtes."	"praak, kehv töö, vilets töö, lohakus"
"vaib"	"eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms"	"informaalsetes"	"Sõna ""vaib"" kasutatakse sageli noorte seas ja popkultuuris, et kirjeldada teatud atmosfääri või tunnet, mis on seotud muusika, sündmuste või kohtadega. See on laenatud inglise keelest (""vibe"") ja on levinud sotsiaalmeedias, vestlustes ja mitteametlikes olukordades."	"meeleolu, atmosfäär, õhkkond"
"nett"	"arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus"	"informaalsetes"	"Sõna ""nett"" on lühendatud ja kõnekeelne vorm sõnast ""internet"". Seda kasutatakse sageli igapäevases kõnes, sotsiaalmeedias ja mitteametlikes tekstides, et viidata internetile või arvutivõrkudele. Formaalsetes ja neutraalsetes tekstides eelistatakse tavaliselt täisvormi ""internet""."	"internet, arvutivõrk"
"pontšik"	"rõngakujuline või ümmargune õlis keedetud pirukas"	"informaalsetes"	"Sõna ""pontšik"" on sageli kasutusel igapäevases kõnepruugis ja mitteametlikes olukordades, näiteks sõprade vahelises vestluses või sotsiaalmeedias. See on tuttav ja kodune termin, mida kasutatakse tihti just sellistes kontekstides."	"sõõrik (neutraalne/formaalsem)"
"sõõrik"	"rõngakujuline või ümmargune õlis keedetud pirukas"	"neutraalsetes/formaalsetes"	"Sõna ""sõõrik"" on üldkasutatav termin, mida kasutatakse nii igapäevases kõnes kui ka ametlikes tekstides, näiteks menüüdes, retseptides ja toidukirjeldustes. See ei ole släng ega piirdu ainult informaalsete kontekstidega."	"ei kohaldu"
"santehnik"	"torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp"	"neutraalsetes/formaalsetes"	"Sõna ""santehnik"" on ametinimetus, mida kasutatakse laialdaselt nii igapäevases kõnepruugis kui ka ametlikes dokumentides ja tekstides, nagu töökuulutused ja teenuse kirjeldused. See ei kanna endas mingeid slängilisi ega familiaarseid varjundeid, mistõttu sobib kasutamiseks nii neutraalsetes kui ka formaalsetes kontekstides."	"ei kohaldu"
"hinnakahvel"	"võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus"	"neutraalsetes/formaalsetes"	"Sõna ""hinnakahvel"" kasutatakse majanduse ja finantsvaldkonna kontekstis, kus see viitab hinnavahemikule. Sellised terminid on tavaliselt seotud analüüside, aruannete ja ametlike dokumentidega, mis on pigem neutraalsed või formaalsed."	"ei kohaldu"
"hinnavahemik"	"võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus"	"neutraalsetes/formaalsetes"	"Sõna ""hinnavahemik"" on neutraalne termin, mida kasutatakse sageli majanduslikes, finantsilistes ja ärilistes kontekstides, kus on vaja täpselt kirjeldada hinna ulatust. Sellised kontekstid on tavaliselt neutraalsed või formaalsed, näiteks aruanded, analüüsid ja ametlikud dokumendid."	"ei kohaldu"
"ökojalajälg"	"näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga"	"neutraalsetes/formaalsetes"	"Sõna ""ökojalajälg"" on seotud keskkonnateaduse ja ökoloogia valdkonnaga ning seda kasutatakse sageli teaduslikes, hariduslikes ja ametlikes kontekstides, kus arutletakse inimtegevuse mõju üle keskkonnale. Sellised arutelud ja tekstid on tavaliselt neutraalsed või formaalsed."	"ei kohaldu"
"plagama"	"põgenema, ära jooksma; kiiresti jooksma"	"informaalsetes"	"Sõna ""plagama"" on kõnekeelne väljend, mida kasutatakse sageli igapäevases vestluses ja mitteametlikes olukordades. See väljend omab rahvalikku varjundit ja on levinud suulises kõnes, näiteks sõprade vahelises suhtluses või kirjandusteostes tegelaste otsekõnes."	"põgenema, ära jooksma, kiiresti jooksma"
"putket panema"	"põgenema, ära jooksma, jalga laskma"	"informaalsetes"	"Väljend ""putket panema"" on kõnekeelne ja slängilik, mida kasutatakse pigem igapäevases vestluses, noorte seas või mitteametlikes olukordades. Sellised väljendid on tavaliselt levinud sotsiaalmeedias, foorumites ja muudes mitteametlikes tekstides."	"põgenema, ära jooksma, jalga laskma"
"stepsel"	"paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada"	"informaalsetes"	"Sõna ""stepsel"" on kõnekeelne ja seda kasutatakse sageli igapäevastes vestlustes ja mitteametlikes olukordades, näiteks kodustes aruteludes või sõprade vahelises suhtluses. See ei ole ametlik termin, mida leiaksime tehnilistes dokumentides või formaalsetes tekstides."	"pistikupesa, seinakontakt"
"igatemoodi"	"igas suhtes, igas mõttes, igal moel"	"informaalsetes"	"Sõna ""igatemoodi"" on kõnekeelne väljend, mida kasutatakse sageli igapäevases suhtluses ja mitteametlikes tekstides, nagu vestlused ja sotsiaalmeedia postitused. See väljend on vähem tõenäoline, et esineb ametlikes dokumentides või formaalsetes tekstides, kus eelistatakse täpsemat ja neutraalsemat keelekasutust."	"igas suhtes, igas mõttes, igal moel"
"poisiklutt"	"väike (vahva, tore) poiss, poisike või poisiohtu nooruk "	"informaalsetes"	"Sõna ""poisiklutt"" on kõnekeelne ja omab hellitavat või mängulist varjundit, mida kasutatakse sageli igapäevases suhtluses, näiteks pereringis või sõprade vahel. Selline väljend sobib hästi mitteametlikesse olukordadesse, kus rõhutatakse sõbralikkust või lähedust."	"poiss, poisike, nooruk (neutraalsed)"
"moor"	"eakas naine; naissoost abielupool; ema või vanaema"	"informaalsetes"	"Sõna ""moor"" kasutatakse sageli kõnekeeles ja mitteametlikes kontekstides, et viidata eakale naisele, naissoost abikaasale või emale/vanaemale. See on pigem rahvalik ja familiaarne väljend, mida võib kohata näiteks rahvajuttudes, vanasõnades või igapäevases vestluses."	"eakas naine, abikaasa, ema, vanaema"
"sämplima"	"arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama"	"informaalsetes"	"Sõna ""sämplima"" on tuletatud ingliskeelsest sõnast ""sample"" ja seda kasutatakse sageli muusikamaailmas, eriti elektroonilise muusika kontekstis. Sellised laensõnad ja spetsiifilised terminid on tihti levinud just noorte ja muusikahuviliste seas, kes suhtlevad omavahel mitteametlikult."	"digitaalselt helisignaali töötlema, helilõiku digitaalsena talletama"
"samplima"	"arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama"	"informaalsetes"	"Sõna ""samplima"" tuleneb ingliskeelsest sõnast ""sample"" ja on laenatud muusikamaailmast, kus seda kasutatakse sageli mitteametlikes kontekstides, nagu muusikute omavahelised vestlused, foorumid ja sotsiaalmeedia postitused. Sellised laensõnad on tihti levinud just noorte ja muusikahuviliste seas ning neid kasutatakse rohkem igapäevases ja mitteametlikus suhtluses."	"helisignaali töötlema, digitaalselt talletama"
