"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"moekas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"ei kohaldu"	"Sõna ""moekas"" sobib nii neutraalsetes kui ka formaalsetes tekstides, mistõttu registrimärgend ei ole vajalik."	"ei kohaldu"
"trendikas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"neutraalsetes/formaalsetes"	"Sõna „trendikas“ kasutatakse peamiselt neutraalsetes ja formaalsetes tekstides, näiteks ajakirjanduses, kirjanduses või ametlikes kirjades, et kirjeldada tänapäevaseid või moesaatuse trende."	"ei kohaldu"
"käkerdis"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes"	"Sõna „käkerdis” kasutatakse peamiselt mitteametlikes kontekstides, nagu vestlused, foorumid ja sotsiaalmeedia, et kirjeldada midagi tehtud hooletult või kehvas kvaliteedis."	"halva töö, ebaõige töö, hooletu töö"
"plätserdus"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes"	"Sõna 'plätserdus' kasutatakse peamiselt mitteametlikes tekstides, nagu blogid, foorumid, kommentaariumid, chativestlused ja sotsiaalmeedia postitused, et kirjeldada oskamatult või kiiruga tehtud, hooletut tööd."	"laid töö, kõis töö, hooletu töö"
"vaib"	"eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms"	"neutraalsetes/formaalsetes"	"Sõna „vaib” antud tähenduses viitab erilise meeleolu või atmosfäärile, mida tekitab näiteks koht, sündmus või muusikapala. See kasutus sobib paremini kirjanduslikes, ametlikes ning neutraalsetes tekstidesse, mitte pigem informaalsetesse kontekstidesse nagu blogid või sotsiaalmeedia."	"ei kohaldu"
"nett"	"arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus"	"informaalsetes"	"Sõna „nett“ on laensõna inglise keelest „network“ ja kasutatakse peamiselt mitteametlikes tekstides nagu blogid, foorumid, chativestlused ning sotsiaalmeedia postitustes. Standardsetes ja ametlikes kontekstides eelistatakse eestikeelseid vasted nagu „võrk“."	"arvutivõrk, võrk"
"pontšik"	"rõngakujuline või ümmargune õlis keedetud pirukas"	"informaalsetes"	"Sõna 'pontšik' kasutatakse eesti keeles peamiselt kõnekeelsetes või informaalsetes tekstides, nagu blogid, foorumid, kommentaariumid ning sotsiaalmeedia postitused. See viitab konkreetsele magustoidule ja esineb tihti igapäevases kõnes ja kirjutises."	"sõõrik, magus pirukas"
"sõõrik"	"rõngakujuline või ümmargune õlis keedetud pirukas"	"informaalsetes"	"Sõõrik on tavaliselt kasutusel igapäevastes ja mitteametlikes kontekstides nagu blogid, foorumid, sotsiaalmeedia tekstid ning suuline kõne. See sõna on levinud eelkõige ümberkaudses suhtluses ja vähem levinud ametlikes või teaduslikes tekstides."	"õlipirukas"
"santehnik"	"torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp"	"neutraalsetes/formaalsetes"	"Sõna „santehnik“ on ametlik ja neutraalne termin, mida kasutatakse nii ametlikes dokumentides, töökuulutustes kui ka professionaalses suhtluses ilma registreerimismärgenduseta."	"ei kohaldu"
"hinnakahvel"	"võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus"	"informaalsetes"	"Sõna „hinnakahvel“ ei ole eesti keeles laialt levinud ega ametlikus või neutraalses kontekstis standardne termin. See ilmneb pigem vabas kõnekeeles, blogides, foorumites või sotsiaalmeedias, kus kasutatakse mitteametlikke väljendeid hinnavahemike kirjeldamiseks."	"hinnavahemik, hindade vahemik"
"hinnavahemik"	"võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus"	"neutraalsetes/formaalsetes"	"Sõna „hinnavahemik“ kasutatakse peamiselt ametlikes, neutraalsetes ja formaalsetes kontekstides, nagu majandusaruanded, äridokumendid ja teaduslikud tekstid. See väljend kajastab täpset ja objektiivset hinnavahemikku, mistõttu sobib hästi professionaalse suhtluse jaoks."	"ei kohaldu"
"ökojalajälg"	"näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga"	"ei kohaldu"	"Sõna „ökojalajälg” kasutatakse eesti keeles enamasti neutraalsetes ja formaalsetes tekstides keskkonna- ning jätkusuutlikkuse kontekstis."	"ei kohaldu"
"plagama"	"põgenema, ära jooksma; kiiresti jooksma"	"informaalsetes"	"Sõna 'plagama' on slängiline ja kasutatakse peamiselt mitteametlikes kontekstides nagu blogid, foorumid, sotsiaalmeedia postitused ning kõnekeeles. See väljendab kiiresti põgenemist või ärajooksmist, mida leiad tihti kaasajastavates ja mitteametlikes tekstides."	"'põgenema', 'ära jooksma', 'kiirelt jooksma'"
"putket panema"	"põgenema, ära jooksma, jalga laskma"	"informaalsetes"	"""Putket panema"" on slängiline ja kõnekas väljend, mida kasutatakse peamiselt mitteformaalsetes kõnedes ja tekstides, nagu blogid, foorumid, kommentaariumid, vestlused ning sotsiaalmeedia postitused. Selle kasutamine on tüüpilisem igapäevases kõnekeeles ja vaba stiilis kirjutistes, mitte ametlikes või formaalsetes tekstides."	"põgenema, ära jooksma, jalga laskma"
"stepsel"	"paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada"	"informaalsetes"	"Sõna „stepsel“ on kõnekeelne ja eesti keele igapäevases kõnepruugis kasutatav termin elektripistikute palliloome või laajenduste kirjeldamiseks. See ei esine tavaliselt ametlikes või formaalsetes tekstides, vaid levida pigem mitteametlikes kontekstides nagu vestlused, sotsiaalmeedia või tehnikaseadmete kirjeldused igapäevases keeles."	"pistikupesa, pistikmassiiv"
"igatemoodi"	"igas suhtes, igas mõttes, igal moel"	"ei kohaldu"	"Sõna „igatemoodi” kasutatakse peamiselt neutraalsetes ja formaalsetes tekstides, mitte eelkõige informaalsetes."	"ei kohaldu"
"poisiklutt"	"väike (vahva, tore) poiss, poisike või poisiohtu nooruk "	"informaalsetes"	"Sõna 'poisiklutt' on levinud kõnekeelne väljend, mida kasutatakse peamiselt mitteametlikes kontekstides nagu vestlused, sotsiaalmeedia, blogid ja muud mitteametlikud tekstid. See vähendav kuju annab sõnale armsa ja lõdva varjundi, mis sobib eelkõige informaalsetesse suhtlusvormidesse."	"nooruke, noorukas"
"moor"	"eakas naine; naissoost abielupool; ema või vanaema"	"informaalsetes"	"Sõna 'moor' kasutatakse pigem mitteametlikes tekstides ja kõnekeelses keeles, nagu blogides, foorumites, sotsiaalmeedias ning igapäevastes vestlustes. See ei ole levinud formaalsetes või neutraalsetes kirjandustes."	"ema, abikaasa, vanaema"
"sämplima"	"arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama"	"informaalsetes"	"Sõna „sämplima“ on inglise keelest laenatud termin, mida kasutatakse peamiselt mitteformaalses kõnekeeles ja mitteametlikes tekstides nagu blogid, foorumid ja sotsiaalmeedia. Selle kasutus on seotud tehnilise tegevusega, kuid väljend on endiselt slängilisemas või vähem ametlikus registreeris."	"„sampleerima“, „näidistama“"
"samplima"	"arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama"	"informaalsetes"	"Sõna ""samplima"" on ingliskeelne laenõna, mida kasutatakse peamiselt tehnilistes ja mitteametlikes kontekstides nagu blogid, foorumid, kommentaariumid ning sotsiaalmeedia tekstid. See väljendab spetsiifilist tegevust helisignaali töötlemisel digitaalse sampleri abil, mis on tavaliselt seotud noorte, tehnoloogiahuviliste või loomevaldkonna inimeste kasutusega."	"helisignaali töödelda, digitaalselt salvestada"
