Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Sõna ""seitung"" on informaalne variant sõnast ""ajaleht"". Seda kasutatakse pigem kõnekeelsetes ja vabama stiiliga tekstides nagu sotsiaalmeedia postitused, foorumid, blogid jms. Formaalsetes ja neutraalsetes tekstides eelistatakse ametlikumat sõna ""ajaleht""."	ajaleht
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	neutraalsetes/formaalsetes	Sõna 'moekas' kasutatakse nii informaalsetes kui ka neutraalsetes/formaalsetes tekstides, kuid see ei ole kõnekeelne ega slängilik sõna. Sõna 'moekas' on üldkeelne sõna, mida võib kohata nii ajakirjanduses, ilukirjanduses kui ka teadustekstides. Sõna ei kanna endas hinnangulist varjundit ning sobib kasutamiseks erinevates kontekstides ja tekstitüüpides.	ei kohaldu
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	Sõna 'trendikas' kasutatakse pigem informaalsetes tekstides nagu blogid, foorumid, sotsiaalmeedia postitused. See on kõnekeelne ja moodne sõna, mis viitab millelegi populaarsele ja moes olevale. Formaalsetes tekstides eelistatakse neutraalsemaid sünonüüme.	moodne, kaasaegne, ajakohane, populaarne, nüüdisaegne, uusim
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'käkerdis' on kõnekeelne ja ekspressiivne väljend, mida kasutatakse pigem informaalses kontekstis nagu argivestlused, blogid, foorumid jms. Sõna väljendab hinnangut ja emotsiooni, mis ei sobi ametlikku või formaalset stiili. Neutraalsetes ja formaalsetes tekstides eelistatakse üldjuhul kirjakeelsemaid ja neutraalsemaid väljendeid.	kehv töö, vilets töö, lohakalt tehtud töö, praak
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	Sõna 'plätserdus' on kõnekeelne ja ekspressiivne väljend, mida kasutatakse pigem informaalsetes tekstides nagu blogid, foorumid, sotsiaalmeedia postitused. Sõna väljendab hinnangut ja emotsiooni, mis ei sobi ametlikku või formaalset stiili. Neutraalsetes ja formaalsetes tekstides eelistatakse sõna 'plätserdus' asemel kasutada kirjakeelsemaid ja neutraalsemaid sünonüüme.	kehv töö, lohakalt tehtud töö, kiirustades tehtud töö, vilets töö, oskamatu töö, hooletult tehtud töö
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	Sõna 'vaib' tähenduses 'eriline meeleolu või tunne' on pigem kõnekeelne ja kasutatakse rohkem informaalsetes tekstides nagu blogid, foorumid, sotsiaalmeedia postitused. Formaalsetes tekstides eelistatakse selle tähenduse edasiandmiseks teisi, neutraalsema stiiliga sünonüüme.	atmosfäär, õhkkond, meeleolu, tunne, aura
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	Sõna 'nett' kasutatakse pigem informaalsetes tekstides nagu blogid, foorumid, kommentaariumid, sotsiaalmeedia postitused jms. See on kõnekeelne lühend sõnast 'internet'. Formaalsetes ja neutraalsetes tekstides eelistatakse pikemaid ja ametlikumaid variante.	internet, veeb, võrk, arvutivõrk
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	Sõna 'pontšik' on vene keelest laenatud kõnekeelne sõna, mida kasutatakse peamiselt informaalsetes tekstides nagu blogid, foorumid, sotsiaalmeedia postitused jms. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul eestikeelseid vasteid.	sõõrik, keedusai
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	Sõna 'sõõrik' on eesti keeles levinud ja neutraalne sõna, mida kasutatakse nii kõnekeeles kui ka ametlikumates tekstides. See ei ole slängisõna ega kanna endas mingit hinnangulist varjundit. Sõõrik on toiduaine üldnimetus, mida leiab retseptidest, toidumenüüdest ja muudest neutraalsetest või formaalsetest tekstidest.	ei kohaldu
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp	informaalsetes	Sõna 'santehnik' on vene keelest laenatud kõnekeelne väljend, mida kasutatakse pigem informaalsetes tekstides nagu foorumid, sotsiaalmeedia, blogid. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul eestikeelseid vasteid.	torulukksepp, torutööde spetsialist
hinnakahvel	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnakahvel' on majandustermin, mida kasutatakse peamiselt ametlikes ja asjalikes tekstides nagu uudised, aruanded, analüüsid jms. See ei ole kõnekeelne ega informaalne väljend.	ei kohaldu
hinnavahemik	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	Sõna 'hinnavahemik' on neutraalne majandustermin, mida kasutatakse eelkõige ametlikes ja formaalsetes tekstides nagu hinnakirjad, tootekirjeldused, analüüsid jms. See on otsene ja selge väljend, mis ei sisalda kõnekeelsust ega hinnangulisust. Sõna ei kohta eriti informaalsetes tekstides nagu blogid, foorumid või sotsiaalmeedia.	ei kohaldu
ökojalajälg	näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga	neutraalsetes/formaalsetes	Sõna 'ökojalajälg' on spetsiifiline termin, mida kasutatakse peamiselt teaduslikes, akadeemilistes ja keskkonnaalastes tekstides. See viitab konkreetsele näitajale, mis mõõdab inimtegevuse mõju keskkonnale. Selline sõnakasutus on omane pigem neutraalsetele ja formaalsetele tekstidele kui informaalsetele allikatele nagu blogid, foorumid või sotsiaalmeedia.	ei kohaldu
plagama	põgenema, ära jooksma; kiiresti jooksma	informaalsetes	Sõna 'plagama' on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, blogid jms. Sõna ei sobi ametlikku või formaalsesse konteksti.	põgenema, jalga laskma, putku pistma, liduma, minema lippama, plehku panema
putket panema	põgenema, ära jooksma, jalga laskma	informaalsetes	"Väljend ""putket panema"" on slängilik ja kõnekeelne viis öelda ""põgenema"" või ""jalga laskma"". Sellist väljendit kasutatakse pigem informaalses kõnes ja kirjas, näiteks sõprade vahelistes vestlustes, sotsiaalmeedias või foorumites. Ametlikes ja formaalsetes tekstides eelistatakse neutraalsemat sõnavara."	põgenema, pagema, jalga laskma, plehku pistma, ära lippama, liduma, jalga maha võtma
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada	informaalsetes	Sõna 'stepsel' on kõnekeelne ja slängipärane väljend pistikupesa kohta. Seda kasutatakse pigem informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, blogid ja igapäevane kõnekeel. Ametlikes ja formaalsetes tekstides eelistatakse neutraalsemat sõna 'pistikupesa'.	pistikupesa, seinakontakt, seinapistik
igatemoodi	igas suhtes, igas mõttes, igal moel	neutraalsetes/formaalsetes	Sõna 'igatemoodi' on üldkeelne väljend, mida kasutatakse erinevates tekstiliikides, sealhulgas nii informaalsetes kui ka formaalsetes tekstides. See ei ole kõnekeelne ega slängisõna, vaid neutraalne määrsõna, mis sobib kasutamiseks ka ametlikes dokumentides ja kirjakeelsetes tekstides. Sõna ei kanna endas hinnangulist varjundit ega viita familiaarsele keelekasutusele.	ei kohaldu
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk 	informaalsetes	"Sõna ""poisiklutt"" on deminutiivne (vähendav-hellitav) tuletis sõnast ""poiss"", mis annab sellele mängulise ja mitteametliku varjundi. Sellist sõna kasutatakse pigem kõnekeeles, mitte ametlikes tekstides. Sõna teine pool ""klutt"" lisab veel omakorda familiaarsust. Seetõttu sobib ""poisiklutt"" kasutamiseks eelkõige informaalses kontekstis nagu sotsiaalmeedia postitused, blogid, vestlused jms."	poisike, pisipõnn, väike poiss, nooruk, nooruke
moor	eakas naine; naissoost abielupool; ema või vanaema	informaalsetes	Sõna 'moor' tähenduses 'eakas naine; naissoost abielupool; ema või vanaema' on pigem kõnekeelne ja familiaarne väljend. Seda kasutatakse rohkem argivestlustes, mitte niivõrd ametlikus või formaalses keelekasutuses. Sõna on veidi arhailine ja kohati ka humoorikas.	eakas naine, vanaproua, memm, eit, mutt; abikaasa, naine; ema, emme, memm, mamma; vanaema, vanaema, vanamutt
