märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
antratsiit;"ÕS: (hea kivisüsi)
ÜS 1 väga kõva läikivmust süsinikurikkaim kivisüsi
ÜS 2 söe värvi, läikiv mustjashall; seda värvi ese";kivisöe tüüp, mida iseloomustab kõrge süsinikusisaldus ja madal lenduvate ainete sisaldus. Seda sõna kasutatakse peamiselt järgmistes kontekstides: 1. Geoloogia ja maavarade kirjeldused: Antratsiiti mainitakse sageli geoloogilistes uuringutes ja aruannetes, kus kirjeldatakse kivisöe erinevaid tüüpe ja nende omadusi. 2. Energeetika ja kütuste kirjeldused: Antratsiiti kasutatakse kütusena, seega võib seda sõna leida tekstides, mis käsitlevad energia tootmist, kütuste omadusi ja kasutusviise. 3. Tööstus ja kaevandamine: Antratsiiti mainitakse kaevandustööstuse kirjeldustes, sealhulgas kaevandamistehnoloogiate ja -protsesside kirjeldustes. 4. Keskkonnateadus ja -poliitika: Tekstides, mis käsitlevad keskkonnamõjusid ja kliimamuutusi, võib antratsiiti mainida seoses selle põlemisel tekkivate heitmetega.;GEOLOOGIA, ENERGEETIKA, TÖÖSTUS, KAEVANDAMINE, KESKKOND;geoloogia, keemia ja energeetikaga seotud tekstides, kuna see on kõrgeima kvaliteediga kivisüsi.;GEOLOOGIA, KEEMIA, ENERGEETIKA ;registrita, valdkonnamärgendina saaks kaaluda geoloogiat;946 (0.25 per mln);"NONE 673 (tüüpiline)
constr&real estate 75 (tüüpiline)
techn&IT 120 (tüüpiline)
other 89 (tüüpiline, eriti furniture)
education 18 (pole tüüpiline)";"e-commerce 650 (eriti tüüpiline)
NONE 142 (pole tüüpiline)
periodicals 66 (pole tüüpiline)
forums 36 (pole tüüpiline)
encyclopedia 20 (tüüpiline)";domineerib sisekujunduse teema;registrita;kõik sama: geol, kaevand (ok), ükski ei maini sisekujundusega seonduvat (= ÜSi 2. täh);;ÕS;registrita;registrita;jah;;jah;;jah;SKM-idel täpsemad valdkonnad;ei;sama;sama;
bioloogia;"ÕS: eluslooduse teadus
ÜS 1 kõiki elusorganisme (loomi, taimi, seeni, mikroobe), nende ehitust, talitlust ja suhet keskkonnaga uuriv teadusharu; vastav õppeaine
ÜS 2 organismi talitlemine ja eluviis";kasutatakse tekstides, mis käsitlevad elusorganisme ja nende elu protsesse. See võib hõlmata teaduslikke artikleid, õpikuid, uurimustöid, populaarteaduslikke raamatuid, ajakirju ja veebilehti, mis räägivad bioloogilistest teemadest nagu geneetika, ökoloogia, evolutsioon, mikrobioloogia, zooloogia, botaanika ja paljud teised bioloogia harud.;erinevad tekstid, BIOLOOGIA, GENEETIKA, ÖKOLOOGIA, EVOLUTSIOON, MIKROBIOLOOGIA, ZOOLOOGIA, BOTAANIKA;teadus-, haridus- ja meditsiinitekstides, kus kirjeldatakse elusorganismide ja nende funktsioonide uurimist.;teadustekstid, HARIDUS, MEDITSIIN;registrita;30452 (8.05 per mln);"NONE 15148 (pole tüüpiline)
education  5921 (eriti tüüpiline)
cult&entertainment 3780 (keskmine/tüüpiline)
science 2088 (tüüpiline)
nature&environment 1067 (tüüpiline)";"periodicals 11919 (pole tüüpiline)
NONE 7972 (tüüpiline)
blogs 4175 (pole tüüpiline)
forums 1726 (pole tüüpiline)
encyclopedia 1567 (tüüpiline)
academic 1176 (eriti tüüpiline)";esilduvad mõl (ÜSi) tähendused;registrita;kõik sama: teadus- ja haridustekstid;;ÕS;registrita;registrita;jah;;jah;;jah;erinevad valdkonnad;ei;sama;sama;
bioloogiliselt;"ÕS: (puudub)
ÜS: organismide või nende elutegevusega seotult";"kasutatakse tekstides, mis käsitlevad bioloogiat või bioloogilisi protsesse. See võib esineda teadusartiklites, õpikutes, uurimistöödes, populaarteaduslikes artiklites, tervise- ja meditsiinitekstides ning keskkonnateemalistes kirjutistes. Näiteks võib seda kasutada lausetes nagu ""bioloogiliselt aktiivsed ühendid"" või ""bioloogiliselt lagunevad materjalid"".";BIOLOOGIA, teadusartiklid, õpikud, uurimistööd, populaarteadus, TERVIS, MEDITSIIN, KESKKOND ;teadus-, haridus- ja meditsiinitekstides, kus kirjeldatakse elusorganismide ja nende funktsioonide uurimist.;teadustekstid, HARIDUS, MEDITSIIN;registrita;;"NONE 4070 (tüüpiline)
health 738 (eriti tüüpiline)
cult&entertainm 494 (pole tüüpiline)
women&beauty 415 (tüüpiline)
pol&government 341 (pole tüüpiline)";"periodicals 2424 (pole tüüpiline)
NONE 2240 (tüüpiline)
e-commerce 1484 (eriti tüüpiline)
blogs 736 (pole tüüpiline)
forums 349 (pole tüüpiline)";loodus, loodustooted;registrita;kõik sama: teadus ja haridus;;ÕS;registrita;registrita;jah;;jah;;jah;erinevad valdkonnad;ei;sama;sama;
debüteerima;"ÕS: esimest korda avalikult esinema
ÜS: esmakordselt avalikult esinema või esimest korda midagi tegema";kasutatakse eesti keeles tekstides, mis käsitlevad esmakordset esinemist või avalikku ülesastumist. Seda sõna võib leida näiteks: 1. Kultuuri- ja meediavaldkonna tekstides: Artiklid, arvustused ja uudised, mis räägivad uutest filmidest, teatritükkidest, muusikalistest esinemistest või kunstinäitustest. 2. Spordiuudistes: Kirjeldades sportlase esimest osalemist mõnel võistlusel või turniiril. 3. Kirjanduses: Rääkides autori esimesest avaldatud teosest. 4. Äriuudistes: Kui ettevõte või toode ilmub esmakordselt turule.;KULTUUR, MEEDIA, artiklid, arvustused, uudised, SPORT, KIRJANDUS, ÄRINDUS;kunsti-, muusika- ja sporditekstides, kus kirjeldatakse esimest avalikku esinemist või osalemist.;KUNST, MUUSIKA, SPORT;registrita;10577 (2,79 per mln);"5246 sports (tüüpiline, eriti football, rally, hockey)
2488 cult&enter (tüüpiline, eriti books&literature)
1693 NONE (ei ole tüüpiline)
861 tech&it (tüüpiline)
69 science (ei ole tüüpiline)";"5980 periodicals (tüüpiline)
2373 encyclopedia (väga tüüpiline)
1081 NONE (ei ole tüüpiline)
644 forums (ei ole tüüpiline)
359 blogs (ei ole tüüpiline)";vastab Freq infole: sport ja kultuur;registrita;muidu üsna sarnased, ainult korpuses väidab entsükolpeediat väga tüüpiliseks olevat – eks Wiki pärast;;ÕS;registrita;registrita;jah;;jah;;jah;erinevad valdkonnad;ei;sama;sama;
deiraan;"ÕS: (antiloop)
ÜS: Aasia kõrbete ja poolkõrbete väike hall graatsiline antiloop";ei ole eesti keeles laialt tuntud ega kasutusel. See võib olla võõrsõna või spetsiifiline termin, mis ei ole üldlevinud eesti keeles. Kui see sõna on seotud mõne konkreetse valdkonnaga, näiteks bioloogia, zooloogia või mõne kultuurilise kontekstiga, siis võiks see esineda vastava valdkonna tekstides. Ilma täiendava kontekstita ei oska ma täpselt öelda, millistes tekstides seda sõna kasutatakse.;BIOLOOGIA, ZOOLOOGIA, KULTUUR;"araabia kultuuri ja keelega seotud tekstides, kuna see on araabiakeelne sõna, mis tähendab ""naaber"".";ARAABIA;;"9
0";NONE 5 (keskmine), culture & entertainment 2 (tüüpiline), education 1 (tüüpiline), culture & entertainment:theatre 1 (tüüpiline), religion 1 (tüüpiline);"NONE 5 (tüüpiline), 	
encyclopedia 3 (tüüpiline),
periodicals 1 (ebatüüpiline)";harv sõna, kõik näited antiloobi tähenduses;;;;ÕS;registrita (tegelikult ZOOL);registrita;ei;ei teadnud õiget tähendust;ei;liiga vähe näiteid, et registrit määrata;jah;;ei;ei saa vastata;ei saa vastata;
eraots;"ÕS: eratöö
ÜS: KÕNEKEELNE rahateenimiseks tehtav (eraviisiline) kõrvaltöö";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""eraots"". See võib olla haruldane või spetsiifiline termin, mida ei leidu laialdaselt tuntud tekstides.";ei tea;kasutatakse õigusteaduse, politsei ja detektiiviromaanide kontekstis.;ÕIGUSTEADUS, POLITSEI, detektiiviromaanid;ei saa määrata;"abs: 11; rel: 0";"NONE - ebatüüpiline
technology & IT -- tüüpiline
culture & entertainment -- tüüpiline
Religion - tüüpiline
culture & entertainment:books & literature - tüüpilineLiterature Contemporary 2000–2023 tüüpiline
";"Periodicals - tüüpiline
periodicals:journals - ülitüüpiline
Forums - ebatüüpiline
fiction:Novel - tüüpiline
Blogs -ebatüüpiline";väga harv sõna, juba kasutus 2 korda annab hinnangu  tüüpiliseks. ;mitteformaalne, kõnekeelne;;;ÕS;argi;kõnekeelne;ei;ei teadnud sõna;nii ja naa;madal sagedus;ei;;jah;mitte;sama;
fanatt;"ÕS: fanaatik
ÜS: mingi tegevusala, valdkonna kirglik harrastaja või huviline";kasutatakse eesti keeles tavaliselt mitteametlikes tekstides, nagu näiteks sotsiaalmeedia postitustes, blogides, foorumites ja vestlustes. See sõna viitab inimesele, kes on väga kirglik või pühendunud mingi teema, hobi, spordiala, muusikastiili või muu sarnase suhtes. Kui sul on konkreetsem kontekst või tekst, kus seda sõna kasutatakse, saan proovida anda täpsema vastuse.;mitteametlikud tekstid, sotsiaalmeedia, blogid, foorumid, vestlused;ei oska öelda.;;kõnekeelne;1478 (0,39 per mln);NONE 581 (ei ole tüüpiline), technology & IT 387 (tüüpiline), sports 180 (tüüpiline), culture & entertainment 134 (ei ole tüüpiline), women & beauty 24 (ei ole tüüpiline);forums 710 (tüüpiline), blogs 312 (tüüpiline), periodicals 283 (ei ole tüüpiline), NONE 156 (ei ole tüüpiline), e-poed 10 (ei ole tüüpiline);tüüpiline just autode ja jalgpalli alamteemades;kõnekeelne;suht sama;;ÕS;argi;kõnekeelne;jah;;jah;;ei;;ei;sama;sama;
fellah;"ÕS: põlluharija araabia maades 
ÜS: paikne põlluharija araabia maades, eriti Egiptuses";ei ole eesti keeles tavaline ja see ei pärine eesti keelest. Tegemist on araabiakeelse sõnaga (????????, fall??), mis tähendab põllumeest või talupoega, eriti Egiptuses ja teistes Lähis-Ida piirkondades. Seda sõna kasutatakse peamiselt ajaloolistes ja kultuurilistes kontekstides, mis käsitlevad Lähis-Ida ja Põhja-Aafrika põllumajandust ja ühiskonda. Eesti keeles võib seda sõna kohata tõlgetes või tekstides, mis käsitlevad araabia kultuuri, ajalugu või sotsiaalset struktuuri.;ARAABIA AJALUGU,  ARAABIA KULTUUR, ARAABIA SOTSIAALNE STRUKTUUR;kasutatakse ajaloo- ja kultuuritekstides, eriti seoses Egiptuse ja Lähis-Ida kultuuriga.;AJALUGU, KULTUUR;registrita;82 (0,02 per mln);"NONE 43 (keskmine), culture & entertainment 23 (tüüpiline), culture & entertainment:books & literature	5 (tüüpiline), education 5 (tüüpiline), travel & tourism 2 (keskmine), politics & government 2 (ei ole tüüpiline), technology & IT	 2 (ei ole tüüpiline), science 2 (tüüpiline) ";periodicals 28 (ei ole tüüpiline), fiction 19 (tüüpiline), fiction:Novel 19 (tüüpiline), NONE 19 (ei ole tüüpiline), blogs 5 (ei ole tüüpiline), encyclopedia 4 (tüüpiline) ;;registrita;mõlemad pakuvad samu teemasid - kauged maad ja kultuur;;ÕS;registrita;registrita;jah;;jah;;jah;SKM-il täpsem info;ei;sama;sama;
fliseliin;"ÕS: (jäik lausriie)
ÜS: jäik lausriie, mida kasutatakse nt vaheriidena õmblustoodetel";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""fliseliin"".";ei tea;kasutatakse ehitus- ja remonditekstides.;EHITUS, REMONT;Mudelite põhjal ei lisaks. Kuna ainult üks mudel pakkus silte, mis sõna tähendust arvestades ei tundu loogilised.;108 (0,03 per mln);"NONE 96 ei ole tüüpiline, construction & real estate	9 tüüpiline; other:furniture 1 tüüpiline; home, family & children 1 tüüpiline; women & beauty 1 tüüpiline";"e-commerce 52 tüüpiline; NONE 23 keskmine; blogs 17 tüüpiline; forums 9 mittetüüpiline; periodicals 7 mittetüüpiline";;registrita, kuna 108st 96 ei ole valdkonna põhjal jagatud ja e-poe valdkonda sõnastikus ei märgi;Ehitusvaldkonna tõi välja nii korpus kui ka üks mudel.;;ÕS;registrita;registrita;ei;üks mudel pakkus küll paari valdkonda, aga tundus, et ei tundnud ära tegelikult;jah;;jah;korpuses rohkem infot, aga ka üks mudel pakkus paari valdkonda;jah;ei saa vastata;sama;
formeeruma;"ÕS: kujunema, moodustuma
ÜS: kujunema, moodustuma, teatud vormi omandama";kasutatakse eesti keeles tekstides, mis käsitlevad organisatsioonide, struktuuride või üksuste moodustamist või kujunemist. Seda võib leida näiteks sõjaväelistes kontekstides, kus räägitakse üksuste formeerumisest, aga ka laiemalt organisatsiooniteoorias, juhtimises ja sotsioloogias, kus arutatakse gruppide või struktuuride tekkimist ja kujunemist. Kui sul on konkreetne tekst või kontekst, kus seda sõna kasutatakse, saan pakkuda täpsemat selgitust.;SÕJANDUS, JUHTIMINE, ORGANISATSIOONITEOORIA, SOTSIOLOOGIA ;kasutatakse teaduslikes tekstides, eriti bioloogia ja geoloogia valdkonnas, samuti sõjanduses.;teadustekstid, BIOLOOGIA, GEOLOOGIA, SÕJANDUS;registrita, aga ametlikumates tekstides;2356 (0,62 per mln);"1058 NONE (ei ole tüüpiline)
292 pol&gov (tüüpiline)
291 cult&enter (tüüpiline)
144 science (tüüpiline)
122 education (tüüpiline)
103 nature & environ (väga tüüpiline, eriti meteoroloogias)";"1075 periodicals (keskmine)
676 NONE (tüüpiline)
321 blogs (ei ole tüüpiline)
127 forums (ei ole üldse tüüpiline)
54 encyclopedia (tüüpiline)";;registrita;SKM jättis mulje ametlikumast, erialakeelsemast sõnast kui korpus, kust tuli välja, et NONE-Genre tüüpiline, samas kui NONE-Topic mitte, seega pigem ei kasutata niisama ajakirjandustekstes;;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
